nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-07-14
1.0,1.0,1.0,0.0,2021-07-16
1.0,1.0,1.0,0.0,2021-07-23
1.0,1.0,1.0,0.0,2021-07-30
1.001,1.001,1.001,0.001,2021-08-06
1.001,1.001,1.001,0.0,2021-08-13
1.001,1.001,1.001,0.0,2021-08-20
0.995,0.995,0.995,-0.005994006,2021-08-27
0.994,0.994,0.994,-0.0010050251,2021-08-31
0.994,0.994,0.994,0.0,2021-09-03
0.994,0.994,0.994,0.0,2021-09-10
0.994,0.994,0.994,0.0,2021-09-17
0.994,0.994,0.994,0.0,2021-09-24
0.993,0.993,0.993,-0.0010060362,2021-09-30
0.993,0.993,0.993,0.0,2021-10-08
0.993,0.993,0.993,0.0,2021-10-15
1.025,1.025,1.025,0.0322255791,2021-10-22
1.025,1.025,1.025,0.0,2021-10-29
1.025,1.025,1.025,0.0,2021-11-05
1.026,1.026,1.026,0.0009756098,2021-11-12
1.026,1.026,1.026,0.0,2021-11-19
1.026,1.026,1.026,0.0,2021-11-26
1.026,1.026,1.026,0.0,2021-11-30
1.027,1.027,1.027,0.0009746589,2021-12-03
1.027,1.027,1.027,0.0,2021-12-10
1.027,1.027,1.027,0.0,2021-12-17
1.032,1.032,1.032,0.0048685492,2021-12-24
1.033,1.033,1.033,0.0009689922,2021-12-31
1.033,1.033,1.033,0.0,2022-01-07
1.033,1.033,1.033,0.0,2022-01-14
1.034,1.034,1.034,0.0009680542,2022-01-21
1.034,1.034,1.034,0.0,2022-01-28
1.049,1.049,1.049,0.0145067698,2022-02-11
1.049,1.049,1.049,0.0,2022-02-18
1.047,1.047,1.047,-0.0019065777,2022-02-25
1.047,1.047,1.047,0.0,2022-02-28
1.047,1.047,1.047,0.0,2022-03-04
1.048,1.048,1.048,0.0009551098,2022-03-11
1.048,1.048,1.048,0.0,2022-03-18
1.048,1.048,1.048,0.0,2022-03-25
0.979,0.979,0.979,-0.0658396947,2022-03-31
0.98,0.98,0.98,0.0010214505,2022-04-01
0.985,0.985,0.985,0.0051020408,2022-04-08
0.996,0.996,0.996,0.0111675127,2022-04-15
1.025,1.025,1.025,0.0291164659,2022-04-22
1.027,1.027,1.027,0.0019512195,2022-04-29
1.066,1.066,1.066,0.0379746835,2022-05-06
1.061,1.061,1.061,-0.0046904315,2022-05-13
1.069,1.069,1.069,0.0075400566,2022-05-20
1.072,1.072,1.072,0.0028063611,2022-05-27
1.068,1.068,1.068,-0.0037313433,2022-05-31
1.069,1.069,1.069,0.0009363296,2022-06-02
1.072,1.072,1.072,0.0028063611,2022-06-10
1.072,1.072,1.072,0.0,2022-06-17
1.075,1.075,1.075,0.0027985075,2022-06-24
1.077,1.077,1.077,0.0018604651,2022-06-30
1.078,1.078,1.078,0.0009285051,2022-07-01
1.086,1.086,1.086,0.0074211503,2022-07-08
1.089,1.089,1.089,0.0027624309,2022-07-15
1.092,1.092,1.092,0.0027548209,2022-07-22
1.002,1.0957,1.0957,0.0033882784,2022-07-29
1.006,1.0997,1.10007405,0.003992016,2022-08-05
1.006,1.0997,1.10007405,0.0,2022-08-12
1.016,1.1097,1.11100918,0.0099403579,2022-08-19
1.019,1.1127,1.11428972,0.0029527559,2022-08-26
1.021,1.1147,1.11647675,0.0019627085,2022-08-31
1.022,1.1157,1.11757026,0.0009794319,2022-09-02
1.024,1.1177,1.11975729,0.0019569472,2022-09-09
1.025,1.1187,1.1208508,0.0009765625,2022-09-16
1.027,1.1207,1.12303782,0.0019512195,2022-09-23
1.029,1.1227,1.12522485,0.0019474197,2022-09-30
1.034,1.1277,1.13069242,0.0048590865,2022-10-14
1.038,1.1317,1.13506647,0.003868472,2022-10-21
1.04,1.1337,1.13725349,0.0019267823,2022-10-28
1.041,1.1347,1.13834701,0.0009615385,2022-10-31
1.043,1.1367,1.14053403,0.0019212296,2022-11-04
1.052,1.1457,1.15037565,0.0086289549,2022-11-11
1.052,1.1457,1.15037565,0.0,2022-11-18
1.056,1.1497,1.1547497,0.0038022814,2022-11-25
1.057,1.1507,1.15584321,0.0009469697,2022-11-30
1.058,1.1517,1.15693673,0.0009460738,2022-12-02
1.059,1.1527,1.15803024,0.0009451796,2022-12-09
1.0,1.1524,1.15770219,-0.0002832861,2022-12-16
1.004,1.1564,1.16233299,0.004,2022-12-23
1.007,1.1594,1.1658061,0.0029880478,2022-12-30
1.012,1.1644,1.17159461,0.0049652433,2023-01-06
1.018,1.1704,1.17854082,0.0059288538,2023-01-13
1.024,1.1764,1.18548704,0.0058939096,2023-01-20
1.029,1.1814,1.19127555,0.0048828125,2023-01-31
1.03,1.1824,1.19243325,0.0009718173,2023-02-03
1.035,1.1874,1.19822176,0.0048543689,2023-02-10
1.041,1.1934,1.20516798,0.0057971014,2023-02-17
1.046,1.1984,1.21095649,0.004803074,2023-02-24
1.048,1.2004,1.21327189,0.0019120459,2023-02-28
1.047,1.1994,1.21211419,-0.0009541985,2023-03-03
1.049,1.2014,1.21442959,0.0019102197,2023-03-10
1.056,1.2084,1.22253351,0.0066730219,2023-03-17
1.06,1.2124,1.22716432,0.0037878788,2023-03-24
1.053,1.2054,1.2190604,-0.0066037736,2023-03-31
1.056,1.2084,1.22253351,0.0028490028,2023-04-07
1.058,1.2104,1.22484891,0.0018939394,2023-04-14
1.062,1.2144,1.22947972,0.0037807183,2023-04-21
1.065,1.2174,1.23295283,0.0028248588,2023-04-28
1.07,1.2224,1.23874134,0.0046948357,2023-05-05
1.074,1.2264,1.24337215,0.0037383178,2023-05-12
1.077,1.2294,1.24684525,0.0027932961,2023-05-19
1.08,1.2324,1.25031836,0.0027855153,2023-05-26
1.082,1.2344,1.25263376,0.0018518519,2023-05-31
1.084,1.2364,1.25494917,0.0018484288,2023-06-02
1.086,1.2384,1.25726457,0.0018450185,2023-06-09
1.091,1.2434,1.26305308,0.0046040516,2023-06-16
1.091,1.2434,1.26305308,0.0,2023-06-21
1.096,1.2484,1.2688416,0.0045829514,2023-06-30
1.099,1.2514,1.2723147,0.0027372263,2023-07-07
1.102,1.2544,1.27578781,0.0027297543,2023-07-14
1.001,1.256,1.27764013,0.0014519056,2023-07-21
1.004,1.259,1.28146922,0.002997003,2023-07-28
1.005,1.26,1.28274559,0.0009960159,2023-07-31
1.009,1.264,1.28785104,0.0039800995,2023-08-04
1.011,1.266,1.29040377,0.0019821606,2023-08-11
1.014,1.269,1.29423286,0.0029673591,2023-08-18
1.016,1.271,1.29678559,0.0019723866,2023-08-25
1.019,1.274,1.30061468,0.0029527559,2023-08-31
1.019,1.274,1.30061468,0.0,2023-09-01
1.021,1.276,1.30316741,0.0019627085,2023-09-08
1.023,1.278,1.30572013,0.0019588639,2023-09-15
1.03,1.285,1.31465468,0.0068426197,2023-09-22
1.034,1.289,1.31976014,0.0038834951,2023-09-28
1.041,1.296,1.32869468,0.0067698259,2023-10-13
1.044,1.299,1.33252377,0.0028818444,2023-10-20
1.051,1.306,1.34145832,0.0067049808,2023-10-27
1.053,1.308,1.34401105,0.0019029496,2023-10-31
1.054,1.309,1.34528741,0.0009496676,2023-11-03
1.058,1.313,1.35039287,0.0037950664,2023-11-10
1.062,1.317,1.35549832,0.0037807183,2023-11-17
1.068,1.323,1.3631565,0.0056497175,2023-11-24
1.073,1.328,1.36953832,0.0046816479,2023-11-30
1.075,1.33,1.37209105,0.0018639329,2023-12-01
1.077,1.332,1.37464378,0.0018604651,2023-12-08
1.089,1.344,1.38996014,0.0111420613,2023-12-15
1.094,1.349,1.39634196,0.0045913682,2023-12-22
1.098,1.353,1.40144742,0.0036563071,2023-12-29
1.101,1.356,1.40527651,0.0027322404,2024-01-05
1.105,1.36,1.41038196,0.0036330609,2024-01-12
1.111,1.366,1.41804015,0.0054298643,2024-01-19
1.12,1.375,1.42952742,0.0081008101,2024-01-26
1.121,1.376,1.43080378,0.0008928571,2024-01-31
1.123,1.378,1.43335651,0.0017841213,2024-02-02
1.128,1.383,1.43973833,0.0044523598,2024-02-08
1.14,1.395,1.4550547,0.0106382979,2024-02-23
1.142,1.397,1.45760742,0.001754386,2024-02-29
1.143,1.398,1.45888379,0.0008756567,2024-03-01
1.002,1.4029,1.46513797,0.0042869641,2024-03-08
1.003,1.4039,1.46660018,0.000998004,2024-03-15
1.005,1.4059,1.46952461,0.0019940179,2024-03-22
1.007,1.4079,1.47244904,0.0019900498,2024-03-29
1.009,1.4099,1.47537346,0.0019860973,2024-04-03
1.012,1.4129,1.47976011,0.0029732408,2024-04-12
1.013,1.4139,1.48122232,0.0009881423,2024-04-19
1.0151,1.416,1.48429297,0.0020730503,2024-04-26
1.0153,1.4162,1.48458541,0.0001970249,2024-04-30
1.0174,1.4183,1.48765606,0.0020683542,2024-05-10
1.0187,1.4196,1.48955694,0.0012777669,2024-05-17
1.018,1.4189,1.48853339,-0.0006871503,2024-05-24
1.0199,1.4208,1.49131159,0.0018664047,2024-05-31
1.021,1.4219,1.49292003,0.0010785371,2024-06-07
1.0225,1.4234,1.49511335,0.0014691479,2024-06-14
1.0239,1.4248,1.49716045,0.0013691932,2024-06-21
1.0246,1.4255,1.498184,0.0006836605,2024-06-28
1.0271,1.428,1.50183953,0.0024399766,2024-07-05
1.0283,1.4292,1.50359419,0.001168338,2024-07-12
1.0322,1.4331,1.50929682,0.0037926675,2024-07-19
1.0349,1.4358,1.5132448,0.0026157721,2024-07-26
1.0364,1.4373,1.51543812,0.0014494154,2024-07-31
1.0373,1.4382,1.51675411,0.0008683906,2024-08-02
1.0389,1.4398,1.51909365,0.001542466,2024-08-09
1.0399,1.4408,1.52055586,0.0009625566,2024-08-16
1.0399,1.4408,1.52055586,0.0,2024-08-23
1.0405,1.4414,1.52143319,0.0005769786,2024-08-30
1.0415,1.4424,1.5228954,0.0009610764,2024-09-06
1.042,1.4429,1.52362651,0.0004800768,2024-09-13
1.0424,1.4433,1.5242114,0.0003838772,2024-09-20
1.0429,1.4438,1.5249425,0.0004796623,2024-09-27
1.042,1.4429,1.52362651,-0.0008629782,2024-09-30
1.041,1.4419,1.5221643,-0.0009596929,2024-10-11
1.0426,1.4435,1.52450384,0.0015369837,2024-10-18
1.0432,1.4441,1.52538117,0.0005754844,2024-10-25
1.0437,1.4446,1.52611227,0.0004792945,2024-10-31
1.0441,1.445,1.52669716,0.0003832519,2024-11-01
1.045,1.4459,1.52801315,0.0008619864,2024-11-08
1.0464,1.4473,1.53006025,0.0013397129,2024-11-15
1.046,1.4469,1.52947537,-0.000382263,2024-11-22
1.0475,1.4484,1.53166869,0.0014340344,2024-11-29
1.048,1.4489,1.53239979,0.000477327,2024-12-06
1.049,1.4499,1.53386201,0.0009541985,2024-12-13
1.0496,1.4505,1.53473933,0.0005719733,2024-12-20
1.0512,1.4521,1.53707888,0.0015243902,2024-12-27
1.0519,1.4528,1.53810243,0.0006659056,2024-12-31
1.0527,1.4536,1.5392722,0.0007605286,2025-01-03
1.0539,1.4548,1.54102685,0.0011399259,2025-01-10
1.0548,1.4557,1.54234284,0.000853971,2025-01-17
1.0557,1.4566,1.54365884,0.0008532423,2025-01-24
1.0561,1.457,1.54424372,0.0003788955,2025-01-27
1.0578,1.4587,1.54672949,0.0016096961,2025-02-07
1.0586,1.4595,1.54789926,0.0007562866,2025-02-14
1.059,1.4599,1.54848414,0.0003778575,2025-02-21
1.0594,1.4603,1.54906903,0.0003777148,2025-02-28
1.0608,1.4617,1.55111613,0.0013215027,2025-03-07
1.0603,1.4612,1.55038502,-0.0004713424,2025-03-14
1.0584,1.4593,1.54760681,-0.0017919457,2025-03-21
1.0592,1.4601,1.54877658,0.0007558579,2025-03-28
1.0594,1.4603,1.54906903,0.0001888218,2025-03-31
1.069,1.4699,1.56310628,0.0090617331,2025-04-03
1.0459,1.4468,1.52932914,-0.0216089804,2025-04-11
1.0682,1.4691,1.56193651,0.02132135,2025-04-18
1.0829,1.4838,1.58343105,0.0137614679,2025-04-25
1.0766,1.4775,1.5742191,-0.0058177117,2025-04-30
1.0852,1.4861,1.58679414,0.0079881107,2025-05-09
1.075,1.4759,1.57187956,-0.0093991891,2025-05-16
1.0771,1.478,1.57495021,0.0019534884,2025-05-23
1.0729,1.4738,1.56880891,-0.0038993594,2025-05-30
1.0926,1.4935,1.59761452,0.0183614503,2025-06-06
1.109,1.5099,1.62159482,0.0150100677,2025-06-13
1.1081,1.509,1.62027883,-0.0008115419,2025-06-20
1.1125,1.5134,1.62671257,0.0039707608,2025-06-27
1.1082,1.5091,1.62042505,-0.0038651685,2025-06-30
1.1178,1.5187,1.6344623,0.0086626963,2025-07-04
1.1251,1.526,1.64513646,0.0065306853,2025-07-11
1.1343,1.5352,1.65858882,0.0081770509,2025-07-18
