nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-11-10
1.0,1.0,1.0,0.0,2025-11-14
1.0,1.0,1.0,0.0,2025-11-21
1.0,1.0,1.0,0.0,2025-11-28
1.0,1.0,1.0,0.0,2025-12-05
1.011,1.011,1.011,0.011,2025-12-12
1.012,1.012,1.012,0.0009891197,2025-12-19
1.039,1.039,1.039,0.0266798419,2025-12-26
1.024,1.024,1.024,-0.0144369586,2025-12-31
1.055,1.055,1.055,0.0302734375,2026-01-09
1.096,1.096,1.096,0.0388625592,2026-01-16
1.139,1.139,1.139,0.0392335766,2026-01-23
1.123,1.123,1.123,-0.01404741,2026-01-30
1.084,1.084,1.084,-0.0347284061,2026-02-06
1.103,1.103,1.103,0.0175276753,2026-02-13
1.196,1.196,1.196,0.0843155032,2026-02-27
1.182,1.182,1.182,-0.0117056856,2026-03-06
1.186,1.186,1.186,0.0033840948,2026-03-13
1.135,1.135,1.135,-0.0430016863,2026-03-20
1.131,1.131,1.131,-0.0035242291,2026-03-27
1.12,1.12,1.12,-0.0097259063,2026-03-31
1.127,1.127,1.127,0.00625,2026-04-03
1.149,1.149,1.149,0.0195208518,2026-04-10
1.153,1.153,1.153,0.0034812881,2026-04-17
1.127,1.127,1.127,-0.0225498699,2026-04-24
1.12,1.12,1.12,-0.0062111801,2026-04-30
1.196,1.196,1.196,0.0678571429,2026-05-08
1.184,1.184,1.184,-0.0100334448,2026-05-15
1.206,1.206,1.206,0.0185810811,2026-05-22
