nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2017-11-17
1.0,1.0,1.0,0.0,2017-11-24
1.0,1.0,1.0,0.0,2017-11-30
1.0,1.0,1.0,0.0,2017-12-01
1.0,1.0,1.0,0.0,2017-12-08
1.0,1.0,1.0,0.0,2017-12-15
0.999,0.999,0.999,-0.001,2017-12-22
1.001,1.001,1.001,0.002002002,2017-12-29
1.005,1.005,1.005,0.003996004,2018-01-02
1.006,1.006,1.006,0.0009950249,2018-01-03
1.006,1.006,1.006,0.0,2018-01-04
1.009,1.009,1.009,0.0029821074,2018-01-05
1.006,1.006,1.006,-0.0029732408,2018-01-08
1.001,1.001,1.001,-0.0049701789,2018-01-09
0.996,0.996,0.996,-0.004995005,2018-01-10
0.996,0.996,0.996,0.0,2018-01-11
1.001,1.001,1.001,0.0050200803,2018-01-12
0.973,0.973,0.973,-0.027972028,2018-01-15
0.973,0.973,0.973,0.0,2018-01-16
0.99,0.99,0.99,0.0174717369,2018-01-17
0.987,0.987,0.987,-0.003030303,2018-01-18
0.977,0.977,0.977,-0.0101317123,2018-01-19
0.977,0.977,0.977,0.0,2018-01-22
0.983,0.983,0.983,0.0061412487,2018-01-23
0.988,0.988,0.988,0.00508647,2018-01-24
0.991,0.991,0.991,0.0030364372,2018-01-25
0.987,0.987,0.987,-0.0040363269,2018-01-26
0.962,0.962,0.962,-0.0253292806,2018-01-29
0.957,0.957,0.957,-0.0051975052,2018-01-30
0.912,0.912,0.912,-0.0470219436,2018-01-31
0.879,0.879,0.879,-0.0361842105,2018-02-01
0.848,0.848,0.848,-0.0352673493,2018-02-02
0.85,0.85,0.85,0.0023584906,2018-02-05
0.802,0.802,0.802,-0.0564705882,2018-02-06
0.804,0.804,0.804,0.0024937656,2018-02-07
0.812,0.812,0.812,0.0099502488,2018-02-08
0.801,0.801,0.801,-0.013546798,2018-02-09
0.817,0.817,0.817,0.0199750312,2018-02-12
0.818,0.818,0.818,0.0012239902,2018-02-13
0.831,0.831,0.831,0.0158924205,2018-02-14
0.841,0.841,0.841,0.0120336943,2018-02-22
0.842,0.842,0.842,0.0011890606,2018-02-23
0.869,0.869,0.869,0.0320665083,2018-02-26
0.869,0.869,0.869,0.0,2018-02-27
0.866,0.866,0.866,-0.003452244,2018-02-28
0.866,0.866,0.866,0.0,2018-03-01
0.863,0.863,0.863,-0.0034642032,2018-03-02
0.867,0.867,0.867,0.0046349942,2018-03-05
0.871,0.871,0.871,0.0046136101,2018-03-06
0.87,0.87,0.87,-0.0011481056,2018-03-07
0.872,0.872,0.872,0.0022988506,2018-03-08
0.878,0.878,0.878,0.0068807339,2018-03-09
0.891,0.891,0.891,0.0148063781,2018-03-12
0.887,0.887,0.887,-0.0044893378,2018-03-13
0.888,0.888,0.888,0.0011273957,2018-03-14
0.893,0.893,0.893,0.0056306306,2018-03-15
0.9,0.9,0.9,0.0078387458,2018-03-16
0.866,0.866,0.866,-0.0377777778,2018-03-23
0.9,0.9,0.9,0.03926097,2018-03-30
0.891,0.891,0.891,-0.01,2018-04-04
0.901,0.901,0.901,0.0112233446,2018-04-13
0.882,0.882,0.882,-0.0210876804,2018-04-20
0.902,0.902,0.902,0.022675737,2018-04-27
0.916,0.916,0.916,0.0155210643,2018-05-04
0.913,0.913,0.913,-0.0032751092,2018-05-11
0.923,0.923,0.923,0.0109529025,2018-05-18
0.925,0.925,0.925,0.0021668472,2018-05-25
0.901,0.901,0.901,-0.0259459459,2018-05-31
0.895,0.895,0.895,-0.0066592675,2018-06-01
0.895,0.895,0.895,0.0,2018-06-08
0.876,0.876,0.876,-0.0212290503,2018-06-15
0.857,0.857,0.857,-0.0216894977,2018-06-19
0.858,0.858,0.858,0.0011668611,2018-06-20
0.845,0.845,0.845,-0.0151515152,2018-06-21
0.849,0.849,0.849,0.0047337278,2018-06-22
0.848,0.848,0.848,-0.0011778563,2018-06-25
0.855,0.855,0.855,0.008254717,2018-06-26
0.848,0.848,0.848,-0.0081871345,2018-06-27
0.848,0.848,0.848,0.0,2018-06-28
0.874,0.874,0.874,0.0306603774,2018-06-29
0.869,0.869,0.869,-0.0057208238,2018-07-02
0.875,0.875,0.875,0.0069044879,2018-07-03
0.866,0.866,0.866,-0.0102857143,2018-07-04
0.854,0.854,0.854,-0.0138568129,2018-07-05
0.855,0.855,0.855,0.0011709602,2018-07-06
0.861,0.861,0.861,0.0070175439,2018-07-09
0.868,0.868,0.868,0.0081300813,2018-07-10
0.869,0.869,0.869,0.0011520737,2018-07-11
0.874,0.874,0.874,0.0057537399,2018-07-12
0.885,0.885,0.885,0.0125858124,2018-07-13
0.871,0.871,0.871,-0.015819209,2018-07-16
0.877,0.877,0.877,0.0068886338,2018-07-17
0.879,0.879,0.879,0.0022805017,2018-07-18
0.874,0.874,0.874,-0.0056882821,2018-07-19
0.878,0.878,0.878,0.004576659,2018-07-20
0.881,0.881,0.881,0.0034168565,2018-07-23
0.884,0.884,0.884,0.0034052213,2018-07-24
0.885,0.885,0.885,0.0011312217,2018-07-25
0.907,0.907,0.907,0.0248587571,2018-07-26
0.89,0.89,0.89,-0.0187431092,2018-07-27
0.872,0.872,0.872,-0.0202247191,2018-07-30
0.869,0.869,0.869,-0.003440367,2018-07-31
0.857,0.857,0.857,-0.0138089758,2018-08-01
0.828,0.828,0.828,-0.0338389732,2018-08-02
0.819,0.819,0.819,-0.0108695652,2018-08-03
0.816,0.816,0.816,-0.0036630037,2018-08-06
0.82,0.82,0.82,0.0049019608,2018-08-07
0.816,0.816,0.816,-0.0048780488,2018-08-08
0.816,0.816,0.816,0.0,2018-08-09
0.818,0.818,0.818,0.0024509804,2018-08-10
0.817,0.817,0.817,-0.0012224939,2018-08-13
0.816,0.816,0.816,-0.0012239902,2018-08-14
0.814,0.814,0.814,-0.0024509804,2018-08-15
0.814,0.814,0.814,0.0,2018-08-16
0.814,0.814,0.814,0.0,2018-08-17
0.813,0.813,0.813,-0.0012285012,2018-08-20
0.813,0.813,0.813,0.0,2018-08-21
0.812,0.812,0.812,-0.0012300123,2018-08-22
0.812,0.812,0.812,0.0,2018-08-23
0.814,0.814,0.814,0.0024630542,2018-08-24
0.814,0.814,0.814,0.0,2018-08-27
0.814,0.814,0.814,0.0,2018-08-28
0.822,0.822,0.822,0.0098280098,2018-08-29
0.814,0.814,0.814,-0.0097323601,2018-08-30
0.81,0.81,0.81,-0.0049140049,2018-08-31
0.808,0.808,0.808,-0.0024691358,2018-09-03
0.81,0.81,0.81,0.0024752475,2018-09-04
0.808,0.808,0.808,-0.0024691358,2018-09-05
0.805,0.805,0.805,-0.0037128713,2018-09-06
0.812,0.812,0.812,0.0086956522,2018-09-07
0.807,0.807,0.807,-0.0061576355,2018-09-10
0.809,0.809,0.809,0.0024783147,2018-09-11
0.816,0.816,0.816,0.0086526576,2018-09-12
0.818,0.818,0.818,0.0024509804,2018-09-13
0.824,0.824,0.824,0.0073349633,2018-09-14
0.829,0.829,0.829,0.0060679612,2018-09-17
0.844,0.844,0.844,0.0180940893,2018-09-18
0.85,0.85,0.85,0.0071090047,2018-09-19
0.85,0.85,0.85,0.0,2018-09-20
0.86,0.86,0.86,0.0117647059,2018-09-21
0.861,0.861,0.861,0.0011627907,2018-09-25
0.861,0.861,0.861,0.0,2018-09-26
0.853,0.853,0.853,-0.0092915215,2018-09-27
0.863,0.863,0.863,0.0117233294,2018-09-28
0.86,0.86,0.86,-0.0034762457,2018-10-08
0.885,0.885,0.885,0.0290697674,2018-10-09
0.887,0.887,0.887,0.002259887,2018-10-10
0.839,0.839,0.839,-0.0541149944,2018-10-11
0.849,0.849,0.849,0.0119189511,2018-10-12
0.841,0.841,0.841,-0.0094228504,2018-10-15
0.837,0.837,0.837,-0.0047562426,2018-10-16
0.833,0.833,0.833,-0.0047789725,2018-10-17
0.829,0.829,0.829,-0.0048019208,2018-10-18
0.832,0.832,0.832,0.0036188179,2018-10-19
0.844,0.844,0.844,0.0144230769,2018-10-22
0.832,0.832,0.832,-0.0142180095,2018-10-23
0.839,0.839,0.839,0.0084134615,2018-10-24
0.847,0.847,0.847,0.0095351609,2018-10-25
0.851,0.851,0.851,0.0047225502,2018-10-26
0.848,0.848,0.848,-0.0035252644,2018-10-29
0.851,0.851,0.851,0.0035377358,2018-10-30
0.857,0.857,0.857,0.0070505288,2018-10-31
0.862,0.862,0.862,0.0058343057,2018-11-01
0.883,0.883,0.883,0.024361949,2018-11-02
0.881,0.881,0.881,-0.0022650057,2018-11-05
0.88,0.88,0.88,-0.0011350738,2018-11-06
0.879,0.879,0.879,-0.0011363636,2018-11-07
0.877,0.877,0.877,-0.0022753129,2018-11-08
0.867,0.867,0.867,-0.0114025086,2018-11-09
0.875,0.875,0.875,0.0092272203,2018-11-12
0.896,0.896,0.896,0.024,2018-11-13
0.901,0.901,0.901,0.0055803571,2018-11-14
0.917,0.917,0.917,0.0177580466,2018-11-15
0.922,0.922,0.922,0.0054525627,2018-11-16
0.928,0.928,0.928,0.0065075922,2018-11-19
0.913,0.913,0.913,-0.0161637931,2018-11-20
0.918,0.918,0.918,0.0054764513,2018-11-21
0.917,0.917,0.917,-0.0010893246,2018-11-22
0.901,0.901,0.901,-0.0174482007,2018-11-23
