nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-09-30
1.0,1.0,1.0,0.0,2021-10-08
1.0,1.0,1.0,0.0,2021-10-11
1.0,1.0,1.0,0.0,2021-10-12
1.0,1.0,1.0,0.0,2021-10-13
1.0,1.0,1.0,0.0,2021-10-14
1.0,1.0,1.0,0.0,2021-10-15
1.0,1.0,1.0,0.0,2021-10-18
1.0,1.0,1.0,0.0,2021-10-19
1.0,1.0,1.0,0.0,2021-10-20
1.0,1.0,1.0,0.0,2021-10-21
1.0,1.0,1.0,0.0,2021-10-22
1.0,1.0,1.0,0.0,2021-10-25
1.0,1.0,1.0,0.0,2021-10-26
1.0,1.0,1.0,0.0,2021-10-27
1.001,1.001,1.001,0.001,2021-10-28
1.001,1.001,1.001,0.0,2021-10-29
1.002,1.002,1.002,0.000999001,2021-11-01
1.002,1.002,1.002,0.0,2021-11-02
1.002,1.002,1.002,0.0,2021-11-03
1.002,1.002,1.002,0.0,2021-11-04
1.003,1.003,1.003,0.000998004,2021-11-05
1.003,1.003,1.003,0.0,2021-11-08
1.004,1.004,1.004,0.000997009,2021-11-09
1.004,1.004,1.004,0.0,2021-11-10
1.004,1.004,1.004,0.0,2021-11-11
1.004,1.004,1.004,0.0,2021-11-12
1.005,1.005,1.005,0.0009960159,2021-11-15
1.005,1.005,1.005,0.0,2021-11-16
1.005,1.005,1.005,0.0,2021-11-17
1.005,1.005,1.005,0.0,2021-11-18
1.005,1.005,1.005,0.0,2021-11-19
1.005,1.005,1.005,0.0,2021-11-22
1.005,1.005,1.005,0.0,2021-11-23
1.005,1.005,1.005,0.0,2021-11-24
1.005,1.005,1.005,0.0,2021-11-25
1.006,1.006,1.006,0.0009950249,2021-11-26
1.005,1.005,1.005,-0.0009940358,2021-11-29
1.006,1.006,1.006,0.0009950249,2021-11-30
1.006,1.006,1.006,0.0,2021-12-01
1.006,1.006,1.006,0.0,2021-12-02
1.006,1.006,1.006,0.0,2021-12-03
1.006,1.006,1.006,0.0,2021-12-06
1.0,1.0,1.0,-0.0059642147,2021-12-07
1.0,1.006,1.006,0.006,2021-12-08
1.0,1.006,1.006,0.0,2021-12-09
1.0,1.006,1.006,0.0,2021-12-10
1.0,1.006,1.006,0.0,2021-12-13
1.001,1.007,1.007006,0.001,2021-12-14
1.001,1.007,1.007006,0.0,2021-12-15
1.001,1.007,1.007006,0.0,2021-12-16
1.001,1.007,1.007006,0.0,2021-12-17
1.001,1.007,1.007006,0.0,2021-12-20
1.001,1.007,1.007006,0.0,2021-12-21
1.001,1.007,1.007006,0.0,2021-12-22
1.002,1.008,1.008012,0.000999001,2021-12-23
1.002,1.008,1.008012,0.0,2021-12-24
1.002,1.008,1.008012,0.0,2021-12-27
1.003,1.009,1.009018,0.000998004,2021-12-28
1.003,1.009,1.009018,0.0,2021-12-29
1.003,1.009,1.009018,0.0,2021-12-30
1.003,1.009,1.009018,0.0,2021-12-31
1.004,1.01,1.010024,0.000997009,2022-01-04
1.004,1.01,1.010024,0.0,2022-01-05
1.004,1.01,1.010024,0.0,2022-01-06
1.005,1.011,1.01103,0.0009960159,2022-01-07
1.005,1.011,1.01103,0.0,2022-01-10
1.005,1.011,1.01103,0.0,2022-01-11
1.006,1.012,1.012036,0.0009950249,2022-01-12
1.006,1.012,1.012036,0.0,2022-01-13
1.006,1.012,1.012036,0.0,2022-01-14
1.007,1.013,1.013042,0.0009940358,2022-01-17
1.007,1.013,1.013042,0.0,2022-01-18
1.007,1.013,1.013042,0.0,2022-01-19
1.007,1.013,1.013042,0.0,2022-01-20
1.007,1.013,1.013042,0.0,2022-01-21
1.008,1.014,1.014048,0.0009930487,2022-01-24
1.008,1.014,1.014048,0.0,2022-01-25
1.008,1.014,1.014048,0.0,2022-01-26
1.009,1.015,1.015054,0.0009920635,2022-01-27
1.009,1.015,1.015054,0.0,2022-01-28
1.011,1.017,1.017066,0.0019821606,2022-02-07
1.011,1.017,1.017066,0.0,2022-02-08
