nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-06-16
1.0,1.0,1.0,0.0,2020-06-19
1.0,1.0,1.0,0.0,2020-06-24
1.0,1.0,1.0,0.0,2020-06-30
1.0,1.0,1.0,0.0,2020-07-03
1.024,1.024,1.024,0.024,2020-07-10
1.017,1.017,1.017,-0.0068359375,2020-07-17
1.048,1.048,1.048,0.0304818092,2020-07-24
1.052,1.052,1.052,0.0038167939,2020-07-31
1.096,1.096,1.096,0.0418250951,2020-08-07
1.135,1.135,1.135,0.0355839416,2020-08-14
1.16,1.16,1.16,0.0220264317,2020-08-21
1.139,1.139,1.139,-0.0181034483,2020-08-28
1.158,1.158,1.158,0.0166812994,2020-08-31
1.135,1.135,1.135,-0.0198618307,2020-09-04
1.169,1.169,1.169,0.0299559471,2020-09-11
1.174,1.174,1.174,0.00427716,2020-09-18
1.203,1.203,1.203,0.0247018739,2020-09-25
1.229,1.229,1.229,0.0216126351,2020-09-30
1.242,1.242,1.242,0.0105777055,2020-10-09
1.232,1.232,1.232,-0.0080515298,2020-10-16
1.279,1.279,1.279,0.0381493506,2020-10-23
1.293,1.293,1.293,0.0109460516,2020-10-30
1.305,1.305,1.305,0.0092807425,2020-11-06
1.3,1.3,1.3,-0.0038314176,2020-11-13
1.29,1.29,1.29,-0.0076923077,2020-11-20
1.304,1.304,1.304,0.0108527132,2020-11-27
1.303,1.303,1.303,-0.0007668712,2020-11-30
1.328,1.328,1.328,0.0191864927,2020-12-04
1.347,1.347,1.347,0.0143072289,2020-12-11
1.367,1.367,1.367,0.0148478099,2020-12-18
1.412,1.412,1.412,0.0329188003,2020-12-25
1.425,1.425,1.425,0.0092067989,2020-12-31
1.426,1.426,1.426,0.0007017544,2021-01-08
1.447,1.447,1.447,0.0147265077,2021-01-15
1.471,1.471,1.471,0.0165860401,2021-01-22
1.495,1.495,1.495,0.0163154317,2021-01-29
1.479,1.479,1.479,-0.0107023411,2021-02-05
1.486,1.486,1.486,0.0047329277,2021-02-10
1.484,1.484,1.484,-0.001345895,2021-02-19
1.466,1.466,1.466,-0.0121293801,2021-02-26
