nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-03-07
1.0001,1.0001,1.0001,0.0001,2023-03-10
0.9997,0.9997,0.9997,-0.00039996,2023-03-17
0.9994,0.9994,0.9994,-0.00030009,2023-03-24
0.9989,0.9989,0.9989,-0.0005003002,2023-03-31
0.9989,0.9989,0.9989,0.0,2023-04-07
0.9994,0.9994,0.9994,0.0005005506,2023-04-14
1.0013,1.0013,1.0013,0.0019011407,2023-04-21
1.0049,1.0049,1.0049,0.0035953261,2023-04-28
1.0072,1.0072,1.0072,0.002288785,2023-05-05
1.0053,1.0053,1.0053,-0.0018864178,2023-05-12
1.0055,1.0055,1.0055,0.0001989456,2023-05-19
1.0021,1.0021,1.0021,-0.0033814023,2023-05-26
1.0013,1.0013,1.0013,-0.0007983235,2023-05-31
1.0028,1.0028,1.0028,0.0014980525,2023-06-02
1.0035,1.0035,1.0035,0.0006980455,2023-06-09
1.0032,1.0032,1.0032,-0.0002989537,2023-06-16
1.0009,1.0009,1.0009,-0.0022926635,2023-06-21
1.0007,1.0007,1.0007,-0.0001998202,2023-06-30
1.0021,1.0021,1.0021,0.0013990207,2023-07-07
1.0029,1.0029,1.0029,0.0007983235,2023-07-14
1.0006,1.0006,1.0006,-0.0022933493,2023-07-21
1.0061,1.0061,1.0061,0.005496702,2023-07-28
1.0063,1.0063,1.0063,0.0001987874,2023-07-31
1.0066,1.0066,1.0066,0.0002981218,2023-08-04
1.0041,1.0041,1.0041,-0.0024836082,2023-08-11
1.0031,1.0031,1.0031,-0.0009959167,2023-08-18
1.0019,1.0019,1.0019,-0.0011962915,2023-08-25
1.0026,1.0026,1.0026,0.0006986725,2023-08-31
1.0042,1.0042,1.0042,0.0015958508,2023-09-01
1.0043,1.0043,1.0043,9.95818e-05,2023-09-08
1.0029,1.0029,1.0029,-0.0013940058,2023-09-15
1.0038,1.0038,1.0038,0.0008973975,2023-09-22
1.0025,1.0025,1.0025,-0.0012950787,2023-09-28
1.0028,1.0028,1.0028,0.0002992519,2023-10-13
1.0021,1.0021,1.0021,-0.0006980455,2023-10-20
1.0031,1.0031,1.0031,0.0009979044,2023-10-27
1.005,1.005,1.005,0.0018941282,2023-10-31
1.0059,1.0059,1.0059,0.0008955224,2023-11-03
1.0077,1.0077,1.0077,0.0017894423,2023-11-10
1.0125,1.0125,1.0125,0.0047633224,2023-11-17
0.9996,0.9996,0.9996,-0.0127407407,2023-11-24
1.0005,1.0005,1.0005,0.0009003601,2023-11-30
1.0126,1.0126,1.0126,0.012093953,2023-12-01
1.0218,1.0218,1.0218,0.0090855224,2023-12-08
1.018,1.018,1.018,-0.0037189274,2023-12-15
1.0043,1.0043,1.0043,-0.0134577603,2023-12-22
1.0203,1.0203,1.0203,0.0159314946,2023-12-29
0.9882,0.9882,0.9882,-0.0314613349,2024-01-05
0.9772,0.9772,0.9772,-0.0111313499,2024-01-12
0.9524,0.9524,0.9524,-0.0253786328,2024-01-19
0.9748,0.9748,0.9748,0.0235195296,2024-01-26
0.9305,0.9305,0.9305,-0.0454452195,2024-01-31
0.9198,0.9198,0.9198,-0.011499194,2024-02-02
0.9745,0.9745,0.9745,0.0594694499,2024-02-08
1.0481,1.0481,1.0481,0.0755259107,2024-02-23
1.0333,1.0333,1.0333,-0.01412079,2024-02-29
1.0404,1.0404,1.0404,0.0068711894,2024-03-01
1.0625,1.0625,1.0625,0.0212418301,2024-03-08
1.0428,1.0428,1.0428,-0.0185411765,2024-03-15
1.0491,1.0491,1.0491,0.0060414269,2024-03-22
1.074,1.074,1.074,0.0237346297,2024-03-29
1.1154,1.1154,1.1154,0.038547486,2024-04-03
1.1281,1.1281,1.1281,0.0113860498,2024-04-12
1.1257,1.1257,1.1257,-0.002127471,2024-04-19
1.0905,1.0905,1.0905,-0.0312694324,2024-04-26
1.0975,1.0975,1.0975,0.0064190738,2024-04-30
1.1652,1.1652,1.1652,0.0616856492,2024-05-10
1.157,1.157,1.157,-0.0070374185,2024-05-17
1.1492,1.1492,1.1492,-0.006741573,2024-05-24
1.1436,1.1436,1.1436,-0.0048729551,2024-05-31
1.16,1.16,1.16,0.0143406786,2024-06-07
1.1052,1.1052,1.1052,-0.0472413793,2024-06-14
1.0809,1.0809,1.0809,-0.0219869707,2024-06-21
1.0776,1.0776,1.0776,-0.0030530114,2024-06-28
1.0869,1.0869,1.0869,0.0086302895,2024-07-05
1.0529,1.0529,1.0529,-0.0312816266,2024-07-12
1.0248,1.0248,1.0248,-0.0266881945,2024-07-19
1.0075,1.0075,1.0075,-0.0168813427,2024-07-26
1.0348,1.0348,1.0348,0.0270967742,2024-07-31
1.0198,1.0198,1.0198,-0.0144955547,2024-08-02
0.9951,0.9951,0.9951,-0.0242204354,2024-08-09
1.0038,1.0038,1.0038,0.0087428399,2024-08-16
0.987,0.987,0.987,-0.0167364017,2024-08-23
0.9866,0.9866,0.9866,-0.0004052685,2024-08-30
0.9397,0.9397,0.9397,-0.0475369957,2024-09-06
0.9078,0.9078,0.9078,-0.0339470044,2024-09-13
0.9305,0.9305,0.9305,0.0250055078,2024-09-20
1.0423,1.0423,1.0423,0.1201504567,2024-09-27
1.0788,1.0788,1.0788,0.0350187086,2024-09-30
1.0396,1.0396,1.0396,-0.0363366704,2024-10-11
1.0529,1.0529,1.0529,0.0127933821,2024-10-18
1.0747,1.0747,1.0747,0.0207047203,2024-10-25
1.0361,1.0361,1.0361,-0.0359170001,2024-10-31
1.0282,1.0282,1.0282,-0.0076247466,2024-11-01
1.0591,1.0591,1.0591,0.030052519,2024-11-08
1.0443,1.0443,1.0443,-0.013974129,2024-11-15
1.0331,1.0331,1.0331,-0.0107248875,2024-11-22
1.0402,1.0402,1.0402,0.0068725196,2024-11-29
1.0811,1.0811,1.0811,0.0393193617,2024-12-06
1.0788,1.0788,1.0788,-0.0021274628,2024-12-13
1.1356,1.1356,1.1356,0.0526510938,2024-12-20
1.1254,1.1254,1.1254,-0.0089820359,2024-12-27
1.0891,1.0891,1.0891,-0.0322551982,2024-12-31
1.0389,1.0389,1.0389,-0.0460931044,2025-01-03
1.0672,1.0672,1.0672,0.0272403504,2025-01-10
1.108,1.108,1.108,0.0382308846,2025-01-17
1.1528,1.1528,1.1528,0.040433213,2025-01-24
1.1247,1.1247,1.1247,-0.0243754337,2025-01-27
1.1919,1.1919,1.1919,0.0597492665,2025-02-07
1.2031,1.2031,1.2031,0.0093967615,2025-02-14
1.3014,1.3014,1.3014,0.0817055939,2025-02-21
1.2653,1.2653,1.2653,-0.0277393576,2025-02-28
1.2714,1.2714,1.2714,0.0048209911,2025-03-07
1.2661,1.2661,1.2661,-0.004168633,2025-03-14
1.2231,1.2231,1.2231,-0.0339625622,2025-03-21
1.1806,1.1806,1.1806,-0.0347477721,2025-03-28
1.1764,1.1764,1.1764,-0.0035575131,2025-03-31
1.1537,1.1537,1.1537,-0.0192961578,2025-04-03
1.1222,1.1222,1.1222,-0.0273034584,2025-04-11
1.1091,1.1091,1.1091,-0.0116734985,2025-04-18
1.1645,1.1645,1.1645,0.0499504102,2025-04-25
1.1892,1.1892,1.1892,0.0212108201,2025-04-30
1.235,1.235,1.235,0.0385132862,2025-05-09
1.2309,1.2309,1.2309,-0.0033198381,2025-05-16
1.2098,1.2098,1.2098,-0.0171419287,2025-05-23
1.2061,1.2061,1.2061,-0.0030583568,2025-05-30
1.2112,1.2112,1.2112,0.0042285051,2025-06-06
1.2178,1.2178,1.2178,0.0054491413,2025-06-13
1.2093,1.2093,1.2093,-0.0069797996,2025-06-20
1.2239,1.2239,1.2239,0.0120731001,2025-06-27
1.2239,1.2239,1.2239,0.0,2025-06-30
1.2411,1.2411,1.2411,0.0140534357,2025-07-04
1.2529,1.2529,1.2529,0.0095076948,2025-07-11
1.2908,1.2908,1.2908,0.0302498204,2025-07-18
1.2882,1.2882,1.2882,-0.0020142547,2025-07-25
1.2634,1.2634,1.2634,-0.019251669,2025-07-31
1.2581,1.2581,1.2581,-0.0041950293,2025-08-01
