nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-01-19
1.0,1.0,1.0,0.0,2023-01-20
0.9996,0.9996,0.9996,-0.0004,2023-01-31
0.9995,0.9995,0.9995,-0.00010004,2023-02-03
0.998,0.998,0.998,-0.0015007504,2023-02-10
0.9705,0.9705,0.9705,-0.0275551102,2023-02-17
0.9792,0.9792,0.9792,0.0089644513,2023-02-24
0.9793,0.9793,0.9793,0.0001021242,2023-02-28
0.978,0.978,0.978,-0.0013274788,2023-03-03
0.9821,0.9821,0.9821,0.004192229,2023-03-10
0.9654,0.9654,0.9654,-0.0170043784,2023-03-17
0.9921,0.9921,0.9921,0.0276569298,2023-03-24
1.0068,1.0068,1.0068,0.0148170547,2023-03-31
1.0435,1.0435,1.0435,0.0364521255,2023-04-07
1.0237,1.0237,1.0237,-0.0189746047,2023-04-14
0.9708,0.9708,0.9708,-0.0516752955,2023-04-21
0.9433,0.9433,0.9433,-0.0283271529,2023-04-28
0.9276,0.9276,0.9276,-0.0166436977,2023-05-05
0.9043,0.9043,0.9043,-0.0251185856,2023-05-12
0.9281,0.9281,0.9281,0.0263186995,2023-05-19
0.9397,0.9397,0.9397,0.0124986532,2023-05-26
0.9332,0.9332,0.9332,-0.0069171012,2023-05-31
0.9347,0.9347,0.9347,0.0016073725,2023-06-02
0.9399,0.9399,0.9399,0.0055632823,2023-06-09
0.99,0.99,0.99,0.0533035429,2023-06-16
0.969,0.969,0.969,-0.0212121212,2023-06-21
0.9542,0.9542,0.9542,-0.0152734778,2023-06-30
0.9355,0.9355,0.9355,-0.0195975686,2023-07-07
0.9481,0.9481,0.9481,0.0134687333,2023-07-14
0.905,0.905,0.905,-0.0454593397,2023-07-21
0.9026,0.9026,0.9026,-0.0026519337,2023-07-28
0.9037,0.9037,0.9037,0.0012187015,2023-07-31
0.904,0.904,0.904,0.0003319686,2023-08-04
0.8792,0.8792,0.8792,-0.0274336283,2023-08-11
0.8504,0.8504,0.8504,-0.0327570519,2023-08-18
0.8314,0.8314,0.8314,-0.0223424271,2023-08-25
0.8686,0.8686,0.8686,0.0447438056,2023-08-31
0.8664,0.8664,0.8664,-0.0025328114,2023-09-01
0.8549,0.8549,0.8549,-0.0132733149,2023-09-08
0.8415,0.8415,0.8415,-0.0156743479,2023-09-15
0.8366,0.8366,0.8366,-0.0058229352,2023-09-22
0.842,0.842,0.842,0.0064546976,2023-09-28
0.8443,0.8443,0.8443,0.0027315914,2023-10-13
0.8084,0.8084,0.8084,-0.0425204311,2023-10-20
0.8235,0.8235,0.8235,0.0186788718,2023-10-27
0.833,0.833,0.833,0.0115361263,2023-10-31
0.838,0.838,0.838,0.006002401,2023-11-03
0.847,0.847,0.847,0.0107398568,2023-11-10
0.8616,0.8616,0.8616,0.0172373081,2023-11-17
0.8432,0.8432,0.8432,-0.0213556175,2023-11-24
0.8447,0.8447,0.8447,0.0017789374,2023-11-30
0.8517,0.8517,0.8517,0.0082869658,2023-12-01
0.8338,0.8338,0.8338,-0.0210167899,2023-12-08
0.8287,0.8287,0.8287,-0.0061165747,2023-12-15
0.8094,0.8094,0.8094,-0.0232894896,2023-12-22
0.8351,0.8351,0.8351,0.031751915,2023-12-29
0.7927,0.7927,0.7927,-0.0507723626,2024-01-05
0.7846,0.7846,0.7846,-0.0102182415,2024-01-12
0.7706,0.7706,0.7706,-0.0178434871,2024-01-19
0.757,0.757,0.757,-0.0176485855,2024-01-26
