nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2017-02-07
1.0001,1.0001,1.0001,0.0001,2017-02-24
0.9989,0.9989,0.9989,-0.00119988,2017-02-27
0.9994,0.9994,0.9994,0.0005005506,2017-02-28
0.9993,0.9993,0.9993,-0.00010006,2017-03-01
0.9994,0.9994,0.9994,0.00010007,2017-03-02
0.9996,0.9996,0.9996,0.0002001201,2017-03-03
0.9996,0.9996,0.9996,0.0,2017-03-06
0.9996,0.9996,0.9996,0.0,2017-03-07
0.9986,0.9986,0.9986,-0.0010004002,2017-03-08
0.9976,0.9976,0.9976,-0.001001402,2017-03-09
0.9971,0.9971,0.9971,-0.0005012029,2017-03-10
0.9973,0.9973,0.9973,0.0002005817,2017-03-13
0.9976,0.9976,0.9976,0.0003008122,2017-03-14
0.9989,0.9989,0.9989,0.0013031275,2017-03-15
1.0007,1.0007,1.0007,0.0018019822,2017-03-16
1.0001,1.0001,1.0001,-0.0005995803,2017-03-17
1.001,1.001,1.001,0.00089991,2017-03-20
1.0021,1.0021,1.0021,0.0010989011,2017-03-21
1.0011,1.0011,1.0011,-0.0009979044,2017-03-22
1.0023,1.0023,1.0023,0.0011986815,2017-03-23
1.0033,1.0033,1.0033,0.0009977053,2017-03-24
1.0036,1.0036,1.0036,0.0002990133,2017-03-27
1.0032,1.0032,1.0032,-0.0003985652,2017-03-28
1.0019,1.0019,1.0019,-0.0012958533,2017-03-29
1.002,1.002,1.002,9.98104e-05,2017-03-30
1.0039,1.0039,1.0039,0.0018962076,2017-03-31
1.0069,1.0069,1.0069,0.0029883455,2017-04-05
1.0057,1.0057,1.0057,-0.0011917767,2017-04-06
1.0061,1.0061,1.0061,0.0003977329,2017-04-07
1.0005,1.0005,1.0005,-0.0055660471,2017-04-10
1.0033,1.0033,1.0033,0.0027986007,2017-04-11
1.0012,1.0012,1.0012,-0.0020930928,2017-04-12
1.0036,1.0036,1.0036,0.0023971235,2017-04-13
1.0005,1.0005,1.0005,-0.00308888,2017-04-14
0.9957,0.9957,0.9957,-0.0047976012,2017-04-17
0.9941,0.9941,0.9941,-0.0016069097,2017-04-18
0.9962,0.9962,0.9962,0.0021124635,2017-04-19
1.0006,1.0006,1.0006,0.0044167838,2017-04-20
0.9967,0.9967,0.9967,-0.0038976614,2017-04-21
0.9955,0.9955,0.9955,-0.0012039731,2017-04-24
1.0043,1.0043,1.0043,0.008839779,2017-04-25
1.0122,1.0122,1.0122,0.0078661754,2017-04-26
1.0267,1.0267,1.0267,0.0143252322,2017-04-27
1.0243,1.0243,1.0243,-0.0023375864,2017-04-28
1.029,1.029,1.029,0.0045884995,2017-05-02
1.0291,1.0291,1.0291,9.71817e-05,2017-05-03
1.0209,1.0209,1.0209,-0.0079681275,2017-05-04
1.0196,1.0196,1.0196,-0.0012733862,2017-05-05
1.0196,1.0196,1.0196,0.0,2017-05-08
1.0248,1.0248,1.0248,0.0051000392,2017-05-09
1.0168,1.0168,1.0168,-0.0078064012,2017-05-10
1.0376,1.0376,1.0376,0.0204563336,2017-05-11
1.0364,1.0364,1.0364,-0.001156515,2017-05-12
1.0381,1.0381,1.0381,0.0016402933,2017-05-15
1.0692,1.0692,1.0692,0.0299585782,2017-05-16
1.0676,1.0676,1.0676,-0.0014964459,2017-05-17
1.0546,1.0546,1.0546,-0.0121768453,2017-05-18
1.0449,1.0449,1.0449,-0.0091978001,2017-05-19
1.0099,1.0099,1.0099,-0.0334960283,2017-05-22
0.9756,0.9756,0.9756,-0.0339637588,2017-05-23
0.9953,0.9953,0.9953,0.0201927019,2017-05-24
0.9952,0.9952,0.9952,-0.0001004722,2017-05-25
1.0103,1.0103,1.0103,0.0151728296,2017-05-26
1.0143,1.0143,1.0143,0.00395922,2017-05-31
1.0049,1.0049,1.0049,-0.0092674751,2017-06-01
1.0243,1.0243,1.0243,0.0193054035,2017-06-02
1.0418,1.0418,1.0418,0.0170848384,2017-06-05
1.0408,1.0408,1.0408,-0.0009598771,2017-06-06
1.0572,1.0572,1.0572,0.0157571099,2017-06-07
1.0542,1.0542,1.0542,-0.0028376844,2017-06-08
1.0659,1.0659,1.0659,0.0110984633,2017-06-09
1.0584,1.0584,1.0584,-0.0070363073,2017-06-12
1.0684,1.0684,1.0684,0.0094482237,2017-06-13
1.0667,1.0667,1.0667,-0.0015911644,2017-06-14
1.0702,1.0702,1.0702,0.0032811475,2017-06-15
1.0636,1.0636,1.0636,-0.0061670716,2017-06-16
1.066,1.066,1.066,0.0022564874,2017-06-19
1.06,1.06,1.06,-0.0056285178,2017-06-20
1.0684,1.0684,1.0684,0.0079245283,2017-06-21
1.0593,1.0593,1.0593,-0.0085174092,2017-06-22
1.064,1.064,1.064,0.0044368923,2017-06-23
1.0764,1.0764,1.0764,0.0116541353,2017-06-26
1.0804,1.0804,1.0804,0.0037160907,2017-06-27
1.0739,1.0739,1.0739,-0.0060162903,2017-06-28
1.0855,1.0855,1.0855,0.0108017506,2017-06-29
1.0938,1.0938,1.0938,0.007646246,2017-06-30
1.1026,1.1026,1.1026,0.0080453465,2017-07-03
1.1037,1.1037,1.1037,0.0009976419,2017-07-04
1.1067,1.1067,1.1067,0.0027181299,2017-07-05
1.1029,1.1029,1.1029,-0.0034336315,2017-07-06
1.1095,1.1095,1.1095,0.0059842234,2017-07-07
1.0949,1.0949,1.0949,-0.0131590807,2017-07-10
