nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-11-24
1.0,1.0,1.0,0.0,2025-11-25
1.0,1.0,1.0,0.0,2025-11-26
1.0,1.0,1.0,0.0,2025-11-27
0.9999,0.9999,0.9999,-0.0001,2025-11-28
0.9999,0.9999,0.9999,0.0,2025-12-01
0.9999,0.9999,0.9999,0.0,2025-12-02
0.9999,0.9999,0.9999,0.0,2025-12-03
0.9998,0.9998,0.9998,-0.00010001,2025-12-04
0.9998,0.9998,0.9998,0.0,2025-12-05
0.9998,0.9998,0.9998,0.0,2025-12-08
0.9997,0.9997,0.9997,-0.00010002,2025-12-09
0.9997,0.9997,0.9997,0.0,2025-12-10
0.9997,0.9997,0.9997,0.0,2025-12-11
0.9997,0.9997,0.9997,0.0,2025-12-12
0.9996,0.9996,0.9996,-0.00010003,2025-12-15
0.9996,0.9996,0.9996,0.0,2025-12-16
0.9996,0.9996,0.9996,0.0,2025-12-17
0.9996,0.9996,0.9996,0.0,2025-12-18
0.9996,0.9996,0.9996,0.0,2025-12-19
0.9996,0.9996,0.9996,0.0,2025-12-22
0.9995,0.9995,0.9995,-0.00010004,2025-12-23
0.9994,0.9994,0.9994,-0.00010005,2025-12-24
0.9998,0.9998,0.9998,0.0004002401,2025-12-25
0.998,0.998,0.998,-0.0018003601,2025-12-26
0.9929,0.9929,0.9929,-0.0051102204,2025-12-29
0.9937,0.9937,0.9937,0.0008057206,2025-12-30
0.9984,0.9984,0.9984,0.0047297977,2025-12-31
0.9989,0.9989,0.9989,0.0005008013,2026-01-05
0.9988,0.9988,0.9988,-0.0001001101,2026-01-06
0.9978,0.9978,0.9978,-0.0010012014,2026-01-07
0.9954,0.9954,0.9954,-0.0024052916,2026-01-08
0.9996,0.9996,0.9996,0.0042194093,2026-01-09
0.9995,0.9995,0.9995,-0.00010004,2026-01-12
1.0012,1.0012,1.0012,0.0017008504,2026-01-13
1.0061,1.0061,1.0061,0.004894127,2026-01-14
1.0105,1.0105,1.0105,0.0043733227,2026-01-15
1.0095,1.0095,1.0095,-0.0009896091,2026-01-16
1.0095,1.0095,1.0095,0.0,2026-01-19
1.011,1.011,1.011,0.0014858841,2026-01-20
1.0121,1.0121,1.0121,0.0010880317,2026-01-21
1.014,1.014,1.014,0.0018772849,2026-01-22
1.0126,1.0126,1.0126,-0.0013806706,2026-01-23
1.0158,1.0158,1.0158,0.0031601817,2026-01-26
1.0154,1.0154,1.0154,-0.0003937783,2026-01-27
1.0161,1.0161,1.0161,0.0006893835,2026-01-28
1.0151,1.0151,1.0151,-0.0009841551,2026-01-29
