nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-09-17
1.0,1.0,1.0,0.0,2025-09-19
0.9998,0.9998,0.9998,-0.0002,2025-09-26
0.9998,0.9998,0.9998,0.0,2025-09-30
0.9996,0.9996,0.9996,-0.00020004,2025-10-10
0.9995,0.9995,0.9995,-0.00010004,2025-10-17
0.9993,0.9993,0.9993,-0.0002001001,2025-10-24
0.9992,0.9992,0.9992,-0.00010007,2025-10-27
1.0115,1.0115,1.0115,0.0123098479,2025-10-31
1.0192,1.0192,1.0192,0.0076124567,2025-11-07
1.0103,1.0103,1.0103,-0.0087323391,2025-11-14
0.9687,0.9687,0.9687,-0.0411758883,2025-11-21
1.035,1.035,1.035,0.0684422422,2025-11-28
0.9962,0.9962,0.9962,-0.0374879227,2025-12-05
1.0355,1.0355,1.0355,0.0394499097,2025-12-12
1.05,1.05,1.05,0.0140028972,2025-12-19
1.0771,1.0771,1.0771,0.0258095238,2025-12-26
1.0824,1.0824,1.0824,0.0049206202,2025-12-31
1.1352,1.1352,1.1352,0.0487804878,2026-01-09
1.1849,1.1849,1.1849,0.0437808316,2026-01-16
1.1659,1.1659,1.1659,-0.0160351084,2026-01-23
1.1657,1.1657,1.1657,-0.0001715413,2026-01-30
1.1612,1.1612,1.1612,-0.0038603414,2026-02-06
1.1916,1.1916,1.1916,0.026179814,2026-02-13
1.3274,1.3274,1.3274,0.1139644176,2026-02-27
1.2571,1.2571,1.2571,-0.052960675,2026-03-06
1.2086,1.2086,1.2086,-0.0385808607,2026-03-13
1.1906,1.1906,1.1906,-0.0148932649,2026-03-20
1.201,1.201,1.201,0.0087350916,2026-03-27
1.2103,1.2103,1.2103,0.007743547,2026-03-31
1.1896,1.1896,1.1896,-0.0171031976,2026-04-03
1.2192,1.2192,1.2192,0.0248823134,2026-04-10
1.2302,1.2302,1.2302,0.0090223097,2026-04-17
1.2209,1.2209,1.2209,-0.0075597464,2026-04-24
1.2531,1.2531,1.2531,0.0263739864,2026-04-30
1.3049,1.3049,1.3049,0.041337483,2026-05-08
1.3064,1.3064,1.3064,0.0011495134,2026-05-15
1.3102,1.3102,1.3102,0.0029087569,2026-05-22
