nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-06-19
1.0,1.0,1.0,0.0,2025-06-20
0.9998,0.9998,0.9998,-0.0002,2025-06-27
0.9997,0.9997,0.9997,-0.00010002,2025-06-30
1.0009,1.0009,1.0009,0.0012003601,2025-07-04
1.024,1.024,1.024,0.0230792287,2025-07-11
1.0074,1.0074,1.0074,-0.0162109375,2025-07-18
1.0196,1.0196,1.0196,0.0121103832,2025-07-25
0.9993,0.9993,0.9993,-0.0199097685,2025-07-31
1.0005,1.0005,1.0005,0.0012008406,2025-08-01
1.0101,1.0101,1.0101,0.0095952024,2025-08-08
1.0128,1.0128,1.0128,0.0026730027,2025-08-15
1.0246,1.0246,1.0246,0.0116508689,2025-08-22
1.0061,1.0061,1.0061,-0.0180558267,2025-08-29
1.0216,1.0216,1.0216,0.0154060233,2025-09-05
1.0632,1.0632,1.0632,0.0407204385,2025-09-12
1.0628,1.0628,1.0628,-0.0003762227,2025-09-19
1.0323,1.0323,1.0323,-0.0286977795,2025-09-26
1.0351,1.0351,1.0351,0.0027123898,2025-09-30
1.0432,1.0432,1.0432,0.0078253309,2025-10-10
1.0318,1.0318,1.0318,-0.0109279141,2025-10-17
1.0698,1.0698,1.0698,0.0368288428,2025-10-24
1.0476,1.0476,1.0476,-0.0207515423,2025-10-31
1.0647,1.0647,1.0647,0.0163230241,2025-11-07
1.1102,1.1102,1.1102,0.0427350427,2025-11-14
1.0457,1.0457,1.0457,-0.0580976401,2025-11-21
1.0568,1.0568,1.0568,0.0106148991,2025-11-28
1.0373,1.0373,1.0373,-0.0184519304,2025-12-05
1.0382,1.0382,1.0382,0.0008676371,2025-12-12
1.032,1.032,1.032,-0.0059718744,2025-12-19
1.008,1.008,1.008,-0.023255814,2025-12-26
0.9803,0.9803,0.9803,-0.0274801587,2025-12-31
1.0432,1.0432,1.0432,0.0641640314,2026-01-09
1.011,1.011,1.011,-0.0308665644,2026-01-16
1.0713,1.0713,1.0713,0.0596439169,2026-01-23
1.0412,1.0412,1.0412,-0.0280967049,2026-01-30
1.049,1.049,1.049,0.0074913561,2026-02-06
1.076,1.076,1.076,0.0257387989,2026-02-13
1.0843,1.0843,1.0843,0.0077137546,2026-02-27
1.0409,1.0409,1.0409,-0.0400258231,2026-03-06
1.0217,1.0217,1.0217,-0.0184455759,2026-03-13
0.9507,0.9507,0.9507,-0.0694920231,2026-03-20
0.9234,0.9234,0.9234,-0.0287156832,2026-03-27
0.8607,0.8607,0.8607,-0.0679012346,2026-04-03
0.8953,0.8953,0.8953,0.0401998373,2026-04-10
0.9069,0.9069,0.9069,0.0129565509,2026-04-17
0.8624,0.8624,0.8624,-0.0490682545,2026-04-24
0.9227,0.9227,0.9227,0.0699211503,2026-04-30
0.944,0.944,0.944,0.0230844261,2026-05-08
0.8922,0.8922,0.8922,-0.0548728814,2026-05-15
0.8328,0.8328,0.8328,-0.0665770007,2026-05-22
