nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-08-10
1.0035,1.0035,1.0035,0.0035,2021-08-13
0.9759,0.9759,0.9759,-0.0275037369,2021-08-20
0.9853,0.9853,0.9853,0.0096321344,2021-08-27
0.9807,0.9807,0.9807,-0.0046686288,2021-08-31
0.9669,0.9669,0.9669,-0.0140715815,2021-09-03
0.9748,0.9748,0.9748,0.0081704416,2021-09-10
0.9664,0.9664,0.9664,-0.0086171522,2021-09-17
0.9636,0.9636,0.9636,-0.002897351,2021-09-24
0.9579,0.9579,0.9579,-0.0059153176,2021-09-30
0.9575,0.9575,0.9575,-0.0004175801,2021-10-08
0.9601,0.9601,0.9601,0.0027154047,2021-10-15
0.9577,0.9577,0.9577,-0.0024997396,2021-10-22
0.9575,0.9575,0.9575,-0.0002088337,2021-10-29
0.9676,0.9676,0.9676,0.0105483029,2021-11-05
0.9894,0.9894,0.9894,0.0225299711,2021-11-12
0.9942,0.9942,0.9942,0.0048514251,2021-11-19
0.9999,0.9999,0.9999,0.0057332529,2021-11-26
1.0174,1.0174,1.0174,0.0175017502,2021-11-30
1.0123,1.0123,1.0123,-0.0050127777,2021-12-03
1.0165,1.0165,1.0165,0.0041489677,2021-12-10
1.0086,1.0086,1.0086,-0.0077717659,2021-12-17
1.0399,1.0399,1.0399,0.0310331152,2021-12-24
1.0629,1.0629,1.0629,0.0221175113,2021-12-31
1.0153,1.0153,1.0153,-0.0447831405,2022-01-07
1.0031,1.0031,1.0031,-0.0120161529,2022-01-14
0.991,0.991,0.991,-0.0120626059,2022-01-21
0.9817,0.9817,0.9817,-0.0093844601,2022-01-28
0.9854,0.9854,0.9854,0.0037689722,2022-02-11
0.9789,0.9789,0.9789,-0.0065963061,2022-02-18
0.9782,0.9782,0.9782,-0.0007150884,2022-02-25
0.9781,0.9781,0.9781,-0.0001022286,2022-02-28
0.9805,0.9805,0.9805,0.0024537368,2022-03-04
0.9579,0.9579,0.9579,-0.0230494646,2022-03-11
0.9501,0.9501,0.9501,-0.0081428124,2022-03-18
0.9492,0.9492,0.9492,-0.0009472687,2022-03-25
0.948,0.948,0.948,-0.0012642225,2022-03-31
0.9481,0.9481,0.9481,0.0001054852,2022-04-01
0.9456,0.9456,0.9456,-0.0026368527,2022-04-08
0.9369,0.9369,0.9369,-0.0092005076,2022-04-15
0.9278,0.9278,0.9278,-0.0097128829,2022-04-22
0.9251,0.9251,0.9251,-0.0029101099,2022-04-29
0.9255,0.9255,0.9255,0.0004323857,2022-05-06
0.9261,0.9261,0.9261,0.0006482982,2022-05-13
0.9255,0.9255,0.9255,-0.0006478782,2022-05-20
0.9254,0.9254,0.9254,-0.0001080497,2022-05-27
0.9287,0.9287,0.9287,0.0035660255,2022-05-31
0.9316,0.9316,0.9316,0.0031226446,2022-06-02
0.9318,0.9318,0.9318,0.0002146844,2022-06-10
0.9324,0.9324,0.9324,0.000643915,2022-06-17
0.9362,0.9362,0.9362,0.0040755041,2022-06-24
0.9368,0.9368,0.9368,0.0006408887,2022-06-30
0.9363,0.9363,0.9363,-0.0005337319,2022-07-01
0.9355,0.9355,0.9355,-0.000854427,2022-07-08
0.9259,0.9259,0.9259,-0.010261892,2022-07-15
0.9295,0.9295,0.9295,0.0038881089,2022-07-22
0.9266,0.9266,0.9266,-0.003119957,2022-07-29
0.934,0.934,0.934,0.0079861861,2022-08-05
0.9383,0.9383,0.9383,0.0046038544,2022-08-12
0.9372,0.9372,0.9372,-0.0011723329,2022-08-19
0.9275,0.9275,0.9275,-0.0103499787,2022-08-26
0.9193,0.9193,0.9193,-0.0088409704,2022-08-31
0.9215,0.9215,0.9215,0.0023931252,2022-09-02
0.9257,0.9257,0.9257,0.0045577862,2022-09-09
0.9165,0.9165,0.9165,-0.009938425,2022-09-16
0.9103,0.9103,0.9103,-0.0067648663,2022-09-23
0.9069,0.9069,0.9069,-0.0037350324,2022-09-30
0.9254,0.9254,0.9254,0.020399162,2022-10-14
0.9356,0.9356,0.9356,0.0110222606,2022-10-21
0.9218,0.9218,0.9218,-0.0147498931,2022-10-28
0.9164,0.9164,0.9164,-0.0058581037,2022-10-31
0.9299,0.9299,0.9299,0.0147315583,2022-11-04
0.9107,0.9107,0.9107,-0.0206473814,2022-11-11
0.9236,0.9236,0.9236,0.0141649281,2022-11-18
0.9078,0.9078,0.9078,-0.0171069727,2022-11-25
0.9025,0.9025,0.9025,-0.0058382904,2022-11-30
0.9109,0.9109,0.9109,0.0093074792,2022-12-02
0.913,0.913,0.913,0.0023054122,2022-12-09
0.9053,0.9053,0.9053,-0.0084337349,2022-12-16
0.8938,0.8938,0.8938,-0.0127029714,2022-12-23
0.8998,0.8998,0.8998,0.0067129112,2022-12-30
0.9051,0.9051,0.9051,0.0058901978,2023-01-06
0.9065,0.9065,0.9065,0.0015467904,2023-01-13
0.9104,0.9104,0.9104,0.0043022614,2023-01-20
0.9076,0.9076,0.9076,-0.0030755712,2023-01-31
0.9113,0.9113,0.9113,0.0040766858,2023-02-03
0.9115,0.9115,0.9115,0.0002194667,2023-02-10
0.9119,0.9119,0.9119,0.0004388371,2023-02-17
0.9129,0.9129,0.9129,0.0010966115,2023-02-24
