nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-02-03
1.0,1.0,1.0,0.0,2021-02-05
1.033,1.033,1.033,0.033,2021-02-10
1.0373,1.0373,1.0373,0.0041626331,2021-02-19
0.9904,0.9904,0.9904,-0.0452135351,2021-02-26
0.9953,0.9953,0.9953,0.004947496,2021-03-05
0.9481,0.9481,0.9481,-0.0474228876,2021-03-12
0.9459,0.9459,0.9459,-0.0023204303,2021-03-19
0.9272,0.9272,0.9272,-0.0197695317,2021-03-26
0.918,0.918,0.918,-0.0099223469,2021-03-31
0.9286,0.9286,0.9286,0.011546841,2021-04-02
0.9408,0.9408,0.9408,0.0131380573,2021-04-09
0.9201,0.9201,0.9201,-0.022002551,2021-04-16
0.972,0.972,0.972,0.0564069123,2021-04-23
0.9653,0.9653,0.9653,-0.0068930041,2021-04-30
0.9471,0.9471,0.9471,-0.0188542422,2021-05-07
0.9676,0.9676,0.9676,0.0216450216,2021-05-14
0.9613,0.9613,0.9613,-0.0065109549,2021-05-21
1.0119,1.0119,1.0119,0.052637054,2021-05-28
1.038,1.038,1.038,0.0257930626,2021-05-31
1.0057,1.0057,1.0057,-0.0311175337,2021-06-04
0.9948,0.9948,0.9948,-0.0108382221,2021-06-11
1.0098,1.0098,1.0098,0.0150784077,2021-06-18
1.046,1.046,1.046,0.0358486829,2021-06-25
1.0681,1.0681,1.0681,0.0211281071,2021-06-30
1.0291,1.0291,1.0291,-0.0365134351,2021-07-02
1.0306,1.0306,1.0306,0.0014575843,2021-07-09
1.0201,1.0201,1.0201,-0.0101882399,2021-07-16
1.0332,1.0332,1.0332,0.0128418782,2021-07-23
1.0189,1.0189,1.0189,-0.0138404955,2021-07-30
1.0404,1.0404,1.0404,0.0211011876,2021-08-06
1.0652,1.0652,1.0652,0.0238369858,2021-08-13
1.0359,1.0359,1.0359,-0.0275065715,2021-08-20
1.0461,1.0461,1.0461,0.0098465103,2021-08-27
1.0414,1.0414,1.0414,-0.0044928783,2021-08-31
1.0267,1.0267,1.0267,-0.0141156136,2021-09-03
1.0353,1.0353,1.0353,0.0083763514,2021-09-10
1.0266,1.0266,1.0266,-0.0084033613,2021-09-17
1.0238,1.0238,1.0238,-0.0027274498,2021-09-24
1.0178,1.0178,1.0178,-0.0058605196,2021-09-30
1.0176,1.0176,1.0176,-0.0001965023,2021-10-08
1.0206,1.0206,1.0206,0.0029481132,2021-10-15
1.0182,1.0182,1.0182,-0.0023515579,2021-10-22
1.0182,1.0182,1.0182,0.0,2021-10-29
1.0292,1.0292,1.0292,0.0108033785,2021-11-05
1.0527,1.0527,1.0527,0.0228332686,2021-11-12
1.0579,1.0579,1.0579,0.0049396789,2021-11-19
1.0642,1.0642,1.0642,0.0059551943,2021-11-26
1.083,1.083,1.083,0.0176658523,2021-11-30
1.0776,1.0776,1.0776,-0.0049861496,2021-12-03
1.0823,1.0823,1.0823,0.0043615442,2021-12-10
1.0741,1.0741,1.0741,-0.0075764575,2021-12-17
1.1076,1.1076,1.1076,0.0311889023,2021-12-24
1.133,1.133,1.133,0.0229324666,2021-12-31
1.0827,1.0827,1.0827,-0.0443954104,2022-01-07
1.0699,1.0699,1.0699,-0.0118222961,2022-01-14
1.0572,1.0572,1.0572,-0.0118702682,2022-01-21
1.0476,1.0476,1.0476,-0.0090805902,2022-01-28
1.0519,1.0519,1.0519,0.0041046201,2022-02-11
1.0451,1.0451,1.0451,-0.0064644928,2022-02-18
1.0445,1.0445,1.0445,-0.0005741077,2022-02-25
1.0445,1.0445,1.0445,0.0,2022-02-28
1.0471,1.0471,1.0471,0.0024892293,2022-03-04
1.0232,1.0232,1.0232,-0.0228249451,2022-03-11
1.015,1.015,1.015,-0.0080140735,2022-03-18
1.0143,1.0143,1.0143,-0.0006896552,2022-03-25
1.0132,1.0132,1.0132,-0.0010844918,2022-03-31
1.0133,1.0133,1.0133,9.86972e-05,2022-04-01
1.0108,1.0108,1.0108,-0.0024671864,2022-04-08
1.0017,1.0017,1.0017,-0.0090027701,2022-04-15
0.9922,0.9922,0.9922,-0.0094838774,2022-04-22
0.9898,0.9898,0.9898,-0.0024188672,2022-04-29
0.9904,0.9904,0.9904,0.0006061831,2022-05-06
0.9912,0.9912,0.9912,0.0008077544,2022-05-13
0.9908,0.9908,0.9908,-0.0004035513,2022-05-20
0.9908,0.9908,0.9908,0.0,2022-05-27
0.9945,0.9945,0.9945,0.0037343561,2022-05-31
0.9977,0.9977,0.9977,0.0032176973,2022-06-02
0.9981,0.9981,0.9981,0.0004009221,2022-06-10
0.9989,0.9989,0.9989,0.0008015229,2022-06-17
1.0031,1.0031,1.0031,0.0042046251,2022-06-24
1.0039,1.0039,1.0039,0.0007975277,2022-06-30
1.0034,1.0034,1.0034,-0.0004980576,2022-07-01
1.0027,1.0027,1.0027,-0.0006976281,2022-07-08
0.9926,0.9926,0.9926,-0.0100728034,2022-07-15
0.9967,0.9967,0.9967,0.0041305662,2022-07-22
0.9938,0.9938,0.9938,-0.0029096017,2022-07-29
1.0019,1.0019,1.0019,0.0081505333,2022-08-05
1.0066,1.0066,1.0066,0.0046910869,2022-08-12
1.0058,1.0058,1.0058,-0.0007947546,2022-08-19
0.9956,0.9956,0.9956,-0.0101411811,2022-08-26
0.9869,0.9869,0.9869,-0.0087384492,2022-08-31
0.9893,0.9893,0.9893,0.0024318573,2022-09-02
0.9939,0.9939,0.9939,0.0046497524,2022-09-09
0.9843,0.9843,0.9843,-0.0096589194,2022-09-16
0.9779,0.9779,0.9779,-0.0065020827,2022-09-23
0.9744,0.9744,0.9744,-0.0035790981,2022-09-30
0.9946,0.9946,0.9946,0.0207307061,2022-10-14
1.0057,1.0057,1.0057,0.0111602654,2022-10-21
0.9912,0.9912,0.9912,-0.0144178184,2022-10-28
0.9855,0.9855,0.9855,-0.0057506053,2022-10-31
0.9999,0.9999,0.9999,0.0146118721,2022-11-04
0.9796,0.9796,0.9796,-0.0203020302,2022-11-11
0.9936,0.9936,0.9936,0.0142915476,2022-11-18
0.9768,0.9768,0.9768,-0.0169082126,2022-11-25
0.9712,0.9712,0.9712,-0.0057330057,2022-11-30
0.9802,0.9802,0.9802,0.0092668863,2022-12-02
0.9826,0.9826,0.9826,0.0024484799,2022-12-09
0.9745,0.9745,0.9745,-0.0082434358,2022-12-16
0.9623,0.9623,0.9623,-0.0125192406,2022-12-23
0.9689,0.9689,0.9689,0.006858568,2022-12-30
0.9747,0.9747,0.9747,0.0059861699,2023-01-06
0.9763,0.9763,0.9763,0.0016415307,2023-01-13
0.9807,0.9807,0.9807,0.0045068114,2023-01-20
0.9779,0.9779,0.9779,-0.0028551035,2023-01-31
0.9819,0.9819,0.9819,0.0040903978,2023-02-03
0.9822,0.9822,0.9822,0.0003055301,2023-02-10
0.9828,0.9828,0.9828,0.0006108735,2023-02-17
0.9839,0.9839,0.9839,0.0011192511,2023-02-24
