nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2021-10-18
1.0,1.0,1.0,0.0,2021-10-22
1.0,1.0,1.0,0.0,2021-10-29
1.0,1.0,1.0,0.0,2021-11-04
1.0,1.0,1.0,0.0,2021-11-05
1.0,1.0,1.0,0.0,2021-11-08
1.0,1.0,1.0,0.0,2021-11-09
1.0,1.0,1.0,0.0,2021-11-10
1.0,1.0,1.0,0.0,2021-11-11
1.0,1.0,1.0,0.0,2021-11-12
1.0,1.0,1.0,0.0,2021-11-15
1.0,1.0,1.0,0.0,2021-11-16
1.0,1.0,1.0,0.0,2021-11-17
1.005,1.005,1.005,0.005,2021-11-18
1.004,1.004,1.004,-0.0009950249,2021-11-19
1.005,1.005,1.005,0.0009960159,2021-11-22
1.005,1.005,1.005,0.0,2021-11-23
1.006,1.006,1.006,0.0009950249,2021-11-24
1.007,1.007,1.007,0.0009940358,2021-11-25
1.006,1.006,1.006,-0.0009930487,2021-11-26
1.008,1.008,1.008,0.0019880716,2021-11-29
1.009,1.009,1.009,0.0009920635,2021-11-30
1.011,1.011,1.011,0.0019821606,2021-12-01
1.012,1.012,1.012,0.0009891197,2021-12-02
1.013,1.013,1.013,0.0009881423,2021-12-03
1.012,1.012,1.012,-0.0009871668,2021-12-06
1.013,1.013,1.013,0.0009881423,2021-12-07
1.014,1.014,1.014,0.0009871668,2021-12-08
1.015,1.015,1.015,0.0009861933,2021-12-09
1.016,1.016,1.016,0.0009852217,2021-12-10
1.015,1.015,1.015,-0.000984252,2021-12-13
1.018,1.018,1.018,0.002955665,2021-12-14
1.017,1.017,1.017,-0.0009823183,2021-12-15
1.018,1.018,1.018,0.0009832842,2021-12-16
1.018,1.018,1.018,0.0,2021-12-17
1.018,1.018,1.018,0.0,2021-12-20
1.018,1.018,1.018,0.0,2021-12-21
1.018,1.018,1.018,0.0,2021-12-22
1.018,1.018,1.018,0.0,2021-12-23
1.019,1.019,1.019,0.0009823183,2021-12-24
1.021,1.021,1.021,0.0019627085,2021-12-27
1.021,1.021,1.021,0.0,2021-12-28
1.021,1.021,1.021,0.0,2021-12-29
1.022,1.022,1.022,0.0009794319,2021-12-30
1.022,1.022,1.022,0.0,2021-12-31
1.021,1.021,1.021,-0.0009784736,2022-01-04
1.021,1.021,1.021,0.0,2022-01-05
1.021,1.021,1.021,0.0,2022-01-06
1.021,1.021,1.021,0.0,2022-01-07
1.018,1.018,1.018,-0.0029382958,2022-01-10
1.018,1.018,1.018,0.0,2022-01-11
1.019,1.019,1.019,0.0009823183,2022-01-12
1.019,1.019,1.019,0.0,2022-01-13
1.02,1.02,1.02,0.0009813543,2022-01-14
1.021,1.021,1.021,0.0009803922,2022-01-17
1.019,1.019,1.019,-0.0019588639,2022-01-18
1.019,1.019,1.019,0.0,2022-01-19
1.019,1.019,1.019,0.0,2022-01-20
1.019,1.019,1.019,0.0,2022-01-21
1.019,1.019,1.019,0.0,2022-01-24
1.019,1.019,1.019,0.0,2022-01-25
1.018,1.018,1.018,-0.0009813543,2022-01-26
1.019,1.019,1.019,0.0009823183,2022-01-27
1.019,1.019,1.019,0.0,2022-01-28
1.019,1.019,1.019,0.0,2022-02-07
1.019,1.019,1.019,0.0,2022-02-08
1.019,1.019,1.019,0.0,2022-02-09
1.018,1.018,1.018,-0.0009813543,2022-02-10
1.019,1.019,1.019,0.0009823183,2022-02-11
1.019,1.019,1.019,0.0,2022-02-14
1.019,1.019,1.019,0.0,2022-02-15
1.018,1.018,1.018,-0.0009813543,2022-02-16
1.019,1.019,1.019,0.0009823183,2022-02-17
1.019,1.019,1.019,0.0,2022-02-18
1.019,1.019,1.019,0.0,2022-02-21
1.021,1.021,1.021,0.0019627085,2022-02-22
1.022,1.022,1.022,0.0009794319,2022-02-23
1.023,1.023,1.023,0.0009784736,2022-02-24
1.024,1.024,1.024,0.0009775171,2022-02-25
1.027,1.027,1.027,0.0029296875,2022-02-28
1.023,1.023,1.023,-0.0038948393,2022-03-01
