nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-12-14
1.0002,1.0002,1.0002,0.0002,2018-12-21
1.0002,1.0002,1.0002,0.0,2018-12-28
1.0002,1.0002,1.0002,0.0,2019-01-04
1.0002,1.0002,1.0002,0.0,2019-01-11
1.0002,1.0002,1.0002,0.0,2019-01-18
1.0002,1.0002,1.0002,0.0,2019-01-25
1.0002,1.0002,1.0002,0.0,2019-02-01
1.0001,1.0001,1.0001,-9.998e-05,2019-02-15
1.0001,1.0001,1.0001,0.0,2019-02-22
1.0001,1.0001,1.0001,0.0,2019-03-01
1.0001,1.0001,1.0001,0.0,2019-03-08
1.0001,1.0001,1.0001,0.0,2019-03-15
1.0016,1.0016,1.0016,0.00149985,2019-03-22
1.0016,1.0016,1.0016,0.0,2019-03-29
1.0015,1.0015,1.0015,-9.98403e-05,2019-04-04
1.0071,1.0071,1.0071,0.0055916126,2019-04-12
0.9957,0.9957,0.9957,-0.0113196306,2019-04-19
1.0188,1.0188,1.0188,0.023199759,2019-04-26
1.0291,1.0291,1.0291,0.0101099333,2019-04-30
1.0218,1.0218,1.0218,-0.0070935769,2019-05-10
1.0281,1.0281,1.0281,0.0061655901,2019-05-17
1.0689,1.0689,1.0689,0.0396848556,2019-05-24
1.0472,1.0472,1.0472,-0.0203012443,2019-05-31
1.0354,1.0354,1.0354,-0.0112681436,2019-06-06
1.0472,1.0472,1.0472,0.0113965617,2019-06-14
1.0644,1.0644,1.0644,0.0164247517,2019-06-21
1.1014,1.1014,1.1014,0.0347613679,2019-06-28
1.0935,1.0935,1.0935,-0.0071726893,2019-07-05
1.1268,1.1268,1.1268,0.0304526749,2019-07-12
1.1154,1.1154,1.1154,-0.0101171459,2019-07-19
1.0845,1.0845,1.0845,-0.0277030662,2019-07-26
1.0667,1.0667,1.0667,-0.0164130936,2019-08-02
1.0523,1.0523,1.0523,-0.0134995781,2019-08-09
1.0507,1.0507,1.0507,-0.001520479,2019-08-16
1.057,1.057,1.057,0.0059960027,2019-08-23
1.059,1.059,1.059,0.0018921476,2019-08-30
1.0635,1.0635,1.0635,0.0042492918,2019-09-06
1.0563,1.0563,1.0563,-0.0067700987,2019-09-12
1.0345,1.0345,1.0345,-0.0206380763,2019-09-20
1.0339,1.0339,1.0339,-0.0005799903,2019-09-24
1.0281,1.0281,1.0281,-0.0056098269,2019-09-27
1.0279,1.0279,1.0279,-0.0001945336,2019-09-30
1.0109,1.0109,1.0109,-0.0165385738,2019-10-11
1.0035,1.0035,1.0035,-0.0073202097,2019-10-18
1.0038,1.0038,1.0038,0.0002989537,2019-10-25
1.0142,1.0142,1.0142,0.0103606296,2019-11-01
1.0127,1.0127,1.0127,-0.0014789982,2019-11-08
1.0178,1.0178,1.0178,0.0050360423,2019-11-15
1.0097,1.0097,1.0097,-0.0079583415,2019-11-22
1.0122,1.0122,1.0122,0.002475983,2019-11-29
1.0014,1.0014,1.0014,-0.0106698281,2019-12-06
1.0029,1.0029,1.0029,0.0014979029,2019-12-13
0.9992,0.9992,0.9992,-0.003689301,2019-12-20
0.9952,0.9952,0.9952,-0.0040032026,2019-12-27
0.9953,0.9953,0.9953,0.0001004823,2020-01-03
0.998,0.998,0.998,0.0027127499,2020-01-10
0.9849,0.9849,0.9849,-0.0131262525,2020-01-17
0.9806,0.9806,0.9806,-0.0043659255,2020-01-23
0.9805,0.9805,0.9805,-0.0001019784,2020-02-07
0.98,0.98,0.98,-0.0005099439,2020-02-14
0.9844,0.9844,0.9844,0.0044897959,2020-02-21
0.9792,0.9792,0.9792,-0.0052824055,2020-02-28
0.9976,0.9976,0.9976,0.0187908497,2020-03-06
1.0102,1.0102,1.0102,0.0126303128,2020-03-13
1.0341,1.0341,1.0341,0.0236586814,2020-03-20
1.0421,1.0421,1.0421,0.0077361957,2020-03-27
1.0196,1.0196,1.0196,-0.0215910181,2020-04-03
1.0069,1.0069,1.0069,-0.012455865,2020-04-10
1.0139,1.0139,1.0139,0.006952031,2020-04-17
1.0236,1.0236,1.0236,0.0095670184,2020-04-24
