nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2024-05-15
1.0,1.0,1.0,0.0,2024-05-17
0.9999,0.9999,0.9999,-0.0001,2024-05-24
0.9995,0.9995,0.9995,-0.00040004,2024-05-31
0.9994,0.9994,0.9994,-0.00010005,2024-06-07
0.9993,0.9993,0.9993,-0.00010006,2024-06-14
0.9957,0.9957,0.9957,-0.0036025218,2024-06-21
0.9704,0.9704,0.9704,-0.0254092598,2024-06-28
0.9568,0.9568,0.9568,-0.0140148392,2024-07-05
0.967,0.967,0.967,0.0106605351,2024-07-12
0.9579,0.9579,0.9579,-0.0094105481,2024-07-19
0.9313,0.9313,0.9313,-0.0277690782,2024-07-26
0.9609,0.9609,0.9609,0.0317835284,2024-07-31
0.9404,0.9404,0.9404,-0.0213341659,2024-08-02
0.9298,0.9298,0.9298,-0.0112717992,2024-08-09
0.9217,0.9217,0.9217,-0.0087115509,2024-08-16
0.8973,0.8973,0.8973,-0.026472822,2024-08-23
0.9188,0.9188,0.9188,0.0239607712,2024-08-30
0.9012,0.9012,0.9012,-0.0191554201,2024-09-06
0.8868,0.8868,0.8868,-0.0159786951,2024-09-13
0.8973,0.8973,0.8973,0.0118403248,2024-09-20
1.0354,1.0354,1.0354,0.1539061629,2024-09-27
1.1371,1.1371,1.1371,0.098222909,2024-09-30
1.0957,1.0957,1.0957,-0.0364084074,2024-10-11
1.1353,1.1353,1.1353,0.0361412795,2024-10-18
1.174,1.174,1.174,0.0340879063,2024-10-25
1.1964,1.1964,1.1964,0.0190800681,2024-10-31
1.1848,1.1848,1.1848,-0.0096957539,2024-11-01
1.2685,1.2685,1.2685,0.0706448346,2024-11-08
1.2164,1.2164,1.2164,-0.0410721324,2024-11-15
1.1887,1.1887,1.1887,-0.0227721144,2024-11-22
1.2128,1.2128,1.2128,0.0202742492,2024-11-29
1.2407,1.2407,1.2407,0.0230046174,2024-12-06
1.2458,1.2458,1.2458,0.0041105827,2024-12-13
1.2356,1.2356,1.2356,-0.00818751,2024-12-20
1.2346,1.2346,1.2346,-0.0008093234,2024-12-27
1.2004,1.2004,1.2004,-0.0277012798,2024-12-31
1.1414,1.1414,1.1414,-0.0491502832,2025-01-03
1.1327,1.1327,1.1327,-0.0076222183,2025-01-10
1.1796,1.1796,1.1796,0.0414054913,2025-01-17
1.1944,1.1944,1.1944,0.012546626,2025-01-24
1.1825,1.1825,1.1825,-0.0099631614,2025-01-27
1.2339,1.2339,1.2339,0.0434672304,2025-02-07
1.258,1.258,1.258,0.0195315666,2025-02-14
1.2828,1.2828,1.2828,0.0197138315,2025-02-21
1.2567,1.2567,1.2567,-0.0203461179,2025-02-28
1.2571,1.2571,1.2571,0.0003182939,2025-03-07
1.257,1.257,1.257,-7.95482e-05,2025-03-14
1.2569,1.2569,1.2569,-7.95545e-05,2025-03-21
1.2569,1.2569,1.2569,0.0,2025-03-28
1.257,1.257,1.257,7.95608e-05,2025-03-31
1.2571,1.2571,1.2571,7.95545e-05,2025-04-03
1.2572,1.2572,1.2572,7.95482e-05,2025-04-11
1.2571,1.2571,1.2571,-7.95418e-05,2025-04-18
1.2571,1.2571,1.2571,0.0,2025-04-25
1.2571,1.2571,1.2571,0.0,2025-04-30
1.2571,1.2571,1.2571,0.0,2025-05-09
1.257,1.257,1.257,-7.95482e-05,2025-05-16
1.2569,1.2569,1.2569,-7.95545e-05,2025-05-23
1.2568,1.2568,1.2568,-7.95608e-05,2025-05-30
1.2566,1.2566,1.2566,-0.0001591343,2025-06-06
1.2564,1.2564,1.2564,-0.0001591596,2025-06-13
1.2561,1.2561,1.2561,-0.0002387775,2025-06-20
1.2559,1.2559,1.2559,-0.000159223,2025-06-27
1.2558,1.2558,1.2558,-7.96242e-05,2025-06-30
1.2557,1.2557,1.2557,-7.96305e-05,2025-07-04
1.2554,1.2554,1.2554,-0.0002389106,2025-07-11
1.2552,1.2552,1.2552,-0.0001593118,2025-07-18
1.255,1.255,1.255,-0.0001593372,2025-07-25
1.2548,1.2548,1.2548,-0.0001593625,2025-07-31
1.2547,1.2547,1.2547,-7.9694e-05,2025-08-01
1.2545,1.2545,1.2545,-0.0001594007,2025-08-08
1.2543,1.2543,1.2543,-0.0001594261,2025-08-15
1.254,1.254,1.254,-0.0002391772,2025-08-22
1.2538,1.2538,1.2538,-0.0001594896,2025-08-29
1.2536,1.2536,1.2536,-0.0001595151,2025-09-05
1.2535,1.2535,1.2535,-7.97703e-05,2025-09-12
1.2534,1.2534,1.2534,-7.97766e-05,2025-09-19
1.2532,1.2532,1.2532,-0.000159566,2025-09-26
1.253,1.253,1.253,-0.0001595914,2025-09-30
1.2527,1.2527,1.2527,-0.0002394254,2025-10-10
1.2525,1.2525,1.2525,-0.0001596551,2025-10-17
1.2683,1.2683,1.2683,0.0126147705,2025-10-24
