nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-01-06
1.0001,1.0001,1.0001,0.0001,2023-01-09
1.0001,1.0001,1.0001,0.0,2023-01-10
1.0001,1.0001,1.0001,0.0,2023-01-11
0.9997,0.9997,0.9997,-0.00039996,2023-01-12
0.9997,0.9997,0.9997,0.0,2023-01-13
0.9997,0.9997,0.9997,0.0,2023-01-16
0.9997,0.9997,0.9997,0.0,2023-01-17
0.9997,0.9997,0.9997,0.0,2023-01-18
0.9997,0.9997,0.9997,0.0,2023-01-19
0.9997,0.9997,0.9997,0.0,2023-01-20
0.9997,0.9997,0.9997,0.0,2023-01-30
0.9997,0.9997,0.9997,0.0,2023-01-31
0.9997,0.9997,0.9997,0.0,2023-02-01
0.9997,0.9997,0.9997,0.0,2023-02-02
0.9997,0.9997,0.9997,0.0,2023-02-03
0.9997,0.9997,0.9997,0.0,2023-02-06
0.9997,0.9997,0.9997,0.0,2023-02-07
0.9997,0.9997,0.9997,0.0,2023-02-08
0.9997,0.9997,0.9997,0.0,2023-02-09
0.9998,0.9998,0.9998,0.00010003,2023-02-10
0.9998,0.9998,0.9998,0.0,2023-02-13
0.9998,0.9998,0.9998,0.0,2023-02-14
0.9998,0.9998,0.9998,0.0,2023-02-15
0.9998,0.9998,0.9998,0.0,2023-02-16
0.9998,0.9998,0.9998,0.0,2023-02-17
0.9998,0.9998,0.9998,0.0,2023-02-20
0.9998,0.9998,0.9998,0.0,2023-02-21
0.9998,0.9998,0.9998,0.0,2023-02-22
0.9998,0.9998,0.9998,0.0,2023-02-23
0.9998,0.9998,0.9998,0.0,2023-02-24
0.9998,0.9998,0.9998,0.0,2023-02-27
0.9998,0.9998,0.9998,0.0,2023-02-28
0.9998,0.9998,0.9998,0.0,2023-03-01
0.9998,0.9998,0.9998,0.0,2023-03-02
0.9998,0.9998,0.9998,0.0,2023-03-03
0.9998,0.9998,0.9998,0.0,2023-03-06
0.9998,0.9998,0.9998,0.0,2023-03-07
0.9998,0.9998,0.9998,0.0,2023-03-08
0.9998,0.9998,0.9998,0.0,2023-03-09
0.9998,0.9998,0.9998,0.0,2023-03-10
0.9998,0.9998,0.9998,0.0,2023-03-13
0.9998,0.9998,0.9998,0.0,2023-03-14
0.9998,0.9998,0.9998,0.0,2023-03-15
0.9998,0.9998,0.9998,0.0,2023-03-16
0.9999,0.9999,0.9999,0.00010002,2023-03-17
0.9999,0.9999,0.9999,0.0,2023-03-20
0.9999,0.9999,0.9999,0.0,2023-03-21
0.9999,0.9999,0.9999,0.0,2023-03-22
0.9999,0.9999,0.9999,0.0,2023-03-23
0.9999,0.9999,0.9999,0.0,2023-03-24
0.9999,0.9999,0.9999,0.0,2023-03-27
0.9999,0.9999,0.9999,0.0,2023-03-28
0.9999,0.9999,0.9999,0.0,2023-03-29
0.9999,0.9999,0.9999,0.0,2023-03-30
0.9999,0.9999,0.9999,0.0,2023-03-31
0.9999,0.9999,0.9999,0.0,2023-04-03
0.9999,0.9999,0.9999,0.0,2023-04-04
0.9999,0.9999,0.9999,0.0,2023-04-06
0.9999,0.9999,0.9999,0.0,2023-04-07
0.9999,0.9999,0.9999,0.0,2023-04-10
0.9999,0.9999,0.9999,0.0,2023-04-11
0.9999,0.9999,0.9999,0.0,2023-04-12
0.9999,0.9999,0.9999,0.0,2023-04-13
0.9999,0.9999,0.9999,0.0,2023-04-14
0.9999,0.9999,0.9999,0.0,2023-04-17
0.9999,0.9999,0.9999,0.0,2023-04-18
0.9999,0.9999,0.9999,0.0,2023-04-19
0.9999,0.9999,0.9999,0.0,2023-04-20
0.9999,0.9999,0.9999,0.0,2023-04-21
1.0,1.0,1.0,0.00010001,2023-04-24
1.0,1.0,1.0,0.0,2023-04-25
1.0,1.0,1.0,0.0,2023-04-26
