nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-05-04
1.0,1.0,1.0,0.0,2023-05-05
1.0,1.0,1.0,0.0,2023-05-08
1.0,1.0,1.0,0.0,2023-05-09
1.0,1.0,1.0,0.0,2023-05-10
1.0,1.0,1.0,0.0,2023-05-11
0.9999,0.9999,0.9999,-0.0001,2023-05-12
0.9999,0.9999,0.9999,0.0,2023-05-15
0.9999,0.9999,0.9999,0.0,2023-05-16
0.9999,0.9999,0.9999,0.0,2023-05-17
0.9999,0.9999,0.9999,0.0,2023-05-18
0.9999,0.9999,0.9999,0.0,2023-05-19
0.9999,0.9999,0.9999,0.0,2023-05-22
0.9999,0.9999,0.9999,0.0,2023-05-23
0.9998,0.9998,0.9998,-0.00010001,2023-05-24
0.9998,0.9998,0.9998,0.0,2023-05-25
0.9998,0.9998,0.9998,0.0,2023-05-26
1.0018,1.0018,1.0018,0.0020004001,2023-05-29
0.9929,0.9929,0.9929,-0.0088840088,2023-05-31
0.9921,0.9921,0.9921,-0.0008057206,2023-06-01
1.0088,1.0088,1.0088,0.0168329805,2023-06-02
1.0097,1.0097,1.0097,0.0008921491,2023-06-05
1.003,1.003,1.003,-0.0066356343,2023-06-06
1.0023,1.0023,1.0023,-0.0006979063,2023-06-07
1.0024,1.0024,1.0024,9.97705e-05,2023-06-08
1.0077,1.0077,1.0077,0.0052873105,2023-06-09
1.0116,1.0116,1.0116,0.0038701995,2023-06-12
1.0131,1.0131,1.0131,0.0014827995,2023-06-13
1.0179,1.0179,1.0179,0.0047379331,2023-06-14
1.0292,1.0292,1.0292,0.011101287,2023-06-15
1.0364,1.0364,1.0364,0.0069957248,2023-06-16
1.03,1.03,1.03,-0.0061752219,2023-06-19
1.0255,1.0255,1.0255,-0.004368932,2023-06-20
1.0131,1.0131,1.0131,-0.0120916626,2023-06-21
1.0012,1.0012,1.0012,-0.0117461258,2023-06-26
1.0084,1.0084,1.0084,0.0071913704,2023-06-27
1.0079,1.0079,1.0079,-0.000495835,2023-06-28
1.0067,1.0067,1.0067,-0.0011905943,2023-06-29
1.0158,1.0158,1.0158,0.0090394358,2023-06-30
1.0267,1.0267,1.0267,0.0107304588,2023-07-03
1.0288,1.0288,1.0288,0.0020453881,2023-07-04
1.0218,1.0218,1.0218,-0.0068040435,2023-07-05
1.017,1.017,1.017,-0.0046975925,2023-07-06
1.0165,1.0165,1.0165,-0.0004916421,2023-07-07
1.02,1.02,1.02,0.0034431874,2023-07-10
1.0309,1.0309,1.0309,0.0106862745,2023-07-12
1.0427,1.0427,1.0427,0.0114463091,2023-07-13
1.0414,1.0414,1.0414,-0.0012467632,2023-07-14
1.039,1.039,1.039,-0.00230459,2023-07-17
1.0363,1.0363,1.0363,-0.0025986526,2023-07-18
1.0314,1.0314,1.0314,-0.0047283605,2023-07-21
