nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-11-07
0.9999,0.9999,0.9999,-0.0001,2022-11-11
0.9995,0.9995,0.9995,-0.00040004,2022-11-18
0.9988,0.9988,0.9988,-0.0007003502,2022-11-25
1.0307,1.0307,1.0307,0.031938326,2022-12-02
1.0367,1.0367,1.0367,0.0058212865,2022-12-09
0.9993,0.9993,0.9993,-0.0360760104,2022-12-16
0.9785,0.9785,0.9785,-0.0208145702,2022-12-23
0.9763,0.9763,0.9763,-0.0022483393,2022-12-30
1.0012,1.0012,1.0012,0.0255044556,2023-01-06
0.9746,0.9746,0.9746,-0.0265681183,2023-01-13
0.9735,0.9735,0.9735,-0.0011286682,2023-01-20
0.9996,0.9996,0.9996,0.0268104777,2023-02-03
1.0053,1.0053,1.0053,0.0057022809,2023-02-10
0.9391,0.9391,0.9391,-0.0658509898,2023-02-17
0.9347,0.9347,0.9347,-0.004685337,2023-02-24
0.9007,0.9007,0.9007,-0.0363753076,2023-03-03
0.8698,0.8698,0.8698,-0.0343066504,2023-03-10
0.8512,0.8512,0.8512,-0.0213842263,2023-03-17
0.851,0.851,0.851,-0.0002349624,2023-03-24
0.8323,0.8323,0.8323,-0.0219741481,2023-03-31
0.8553,0.8553,0.8553,0.0276342665,2023-04-07
0.8575,0.8575,0.8575,0.0025721969,2023-04-14
0.8321,0.8321,0.8321,-0.0296209913,2023-04-21
0.8094,0.8094,0.8094,-0.027280375,2023-04-28
0.7996,0.7996,0.7996,-0.0121077341,2023-05-05
0.7726,0.7726,0.7726,-0.0337668834,2023-05-12
0.7988,0.7988,0.7988,0.0339114678,2023-05-19
0.802,0.802,0.802,0.004006009,2023-05-26
0.8007,0.8007,0.8007,-0.0016209476,2023-06-02
0.8093,0.8093,0.8093,0.010740602,2023-06-09
0.8339,0.8339,0.8339,0.0303966391,2023-06-16
0.8486,0.8486,0.8486,0.017628013,2023-06-21
0.8604,0.8604,0.8604,0.0139052557,2023-06-30
0.8725,0.8725,0.8725,0.0140632264,2023-07-07
0.8919,0.8919,0.8919,0.022234957,2023-07-14
0.8645,0.8645,0.8645,-0.0307209328,2023-07-21
0.8232,0.8232,0.8232,-0.0477732794,2023-07-28
0.8501,0.8501,0.8501,0.0326773567,2023-08-04
0.8223,0.8223,0.8223,-0.0327020351,2023-08-11
0.8028,0.8028,0.8028,-0.023713973,2023-08-18
0.7671,0.7671,0.7671,-0.0444693572,2023-08-25
0.8327,0.8327,0.8327,0.0855168818,2023-09-01
0.8367,0.8367,0.8367,0.0048036508,2023-09-08
0.8113,0.8113,0.8113,-0.0303573563,2023-09-15
0.8019,0.8019,0.8019,-0.0115863429,2023-09-22
0.8187,0.8187,0.8187,0.0209502432,2023-09-28
0.7551,0.7551,0.7551,-0.0776841334,2023-10-13
0.729,0.729,0.729,-0.0345649583,2023-10-20
0.7213,0.7213,0.7213,-0.0105624143,2023-10-27
0.7045,0.7045,0.7045,-0.0232912796,2023-11-03
0.7314,0.7314,0.7314,0.0381831086,2023-11-10
0.7602,0.7602,0.7602,0.0393765381,2023-11-17
0.7192,0.7192,0.7192,-0.0539331755,2023-11-24
0.6983,0.6983,0.6983,-0.0290600667,2023-12-01
0.6553,0.6553,0.6553,-0.0615781183,2023-12-08
0.647,0.647,0.647,-0.0126659545,2023-12-15
0.667,0.667,0.667,0.0309119011,2023-12-22
0.6669,0.6669,0.6669,-0.000149925,2023-12-29
0.651,0.651,0.651,-0.0238416554,2024-01-05
0.6492,0.6492,0.6492,-0.002764977,2024-01-12
0.6629,0.6629,0.6629,0.0211028959,2024-01-19
0.642,0.642,0.642,-0.031528134,2024-01-26
0.5071,0.5071,0.5071,-0.2101246106,2024-02-02
0.5258,0.5258,0.5258,0.0368763557,2024-02-08
0.5554,0.5554,0.5554,0.0562951693,2024-02-23
0.5574,0.5574,0.5574,0.0036010083,2024-03-01
0.5381,0.5381,0.5381,-0.0346250449,2024-03-08
0.6169,0.6169,0.6169,0.1464411819,2024-03-15
0.6053,0.6053,0.6053,-0.0188036959,2024-03-22
0.581,0.581,0.581,-0.0401453825,2024-03-29
0.6072,0.6072,0.6072,0.0450946644,2024-04-03
0.6019,0.6019,0.6019,-0.0087285903,2024-04-12
0.6136,0.6136,0.6136,0.0194384449,2024-04-19
0.5613,0.5613,0.5613,-0.0852346806,2024-04-26
0.5652,0.5652,0.5652,0.0069481561,2024-04-30
0.6089,0.6089,0.6089,0.0773177636,2024-05-10
0.6146,0.6146,0.6146,0.009361143,2024-05-17
0.5725,0.5725,0.5725,-0.0684998373,2024-05-24
0.5647,0.5647,0.5647,-0.0136244541,2024-05-31
0.5462,0.5462,0.5462,-0.0327607579,2024-06-07
0.5384,0.5384,0.5384,-0.0142804833,2024-06-14
0.5056,0.5056,0.5056,-0.0609212481,2024-06-21
0.5033,0.5033,0.5033,-0.0045490506,2024-06-28
0.4582,0.4582,0.4582,-0.0896085833,2024-07-05
0.4734,0.4734,0.4734,0.0331732868,2024-07-12
0.4903,0.4903,0.4903,0.0356991973,2024-07-19
0.4687,0.4687,0.4687,-0.0440546604,2024-07-26
0.4994,0.4994,0.4994,0.06550032,2024-07-31
0.4989,0.4989,0.4989,-0.0010012014,2024-08-02
0.4641,0.4641,0.4641,-0.0697534576,2024-08-09
0.4529,0.4529,0.4529,-0.02413273,2024-08-16
0.4212,0.4212,0.4212,-0.069993376,2024-08-23
0.4227,0.4227,0.4227,0.0035612536,2024-08-30
0.4345,0.4345,0.4345,0.0279157795,2024-09-06
0.4071,0.4071,0.4071,-0.0630609896,2024-09-13
0.4234,0.4234,0.4234,0.0400393024,2024-09-20
0.4877,0.4877,0.4877,0.1518658479,2024-09-27
0.536,0.536,0.536,0.0990362928,2024-09-30
0.4515,0.4515,0.4515,-0.1576492537,2024-10-11
0.4492,0.4492,0.4492,-0.0050941307,2024-10-18
0.5042,0.5042,0.5042,0.1224398931,2024-10-25
0.5888,0.5888,0.5888,0.1677905593,2024-10-31
0.573,0.573,0.573,-0.0268342391,2024-11-01
0.5919,0.5919,0.5919,0.0329842932,2024-11-08
0.6189,0.6189,0.6189,0.0456158135,2024-11-15
