nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.005,1.4138,1.4138,0.0,2025-05-16
1.0054,1.4142,1.41436271,0.00039801,2025-05-23
1.005,1.4138,1.4138,-0.0003978516,2025-05-30
1.0189,1.4277,1.43335405,0.0138308458,2025-06-06
1.0226,1.4314,1.43855908,0.0036313672,2025-06-13
1.0204,1.4292,1.4354642,-0.0021513788,2025-06-20
1.0422,1.451,1.4661317,0.0213641709,2025-06-27
1.0495,1.4583,1.47640109,0.0070044137,2025-06-30
1.0628,1.4716,1.49511108,0.0126727013,2025-07-04
1.0683,1.4771,1.5028483,0.0051750094,2025-07-11
1.0801,1.4889,1.51944814,0.0110455864,2025-07-18
1.0939,1.5027,1.53886151,0.0127765948,2025-07-25
1.0882,1.497,1.53084295,-0.005210714,2025-07-31
1.0983,1.5071,1.54505128,0.0092813821,2025-08-01
1.1302,1.539,1.58992712,0.0290448876,2025-08-08
1.1309,1.5397,1.59091186,0.0006193594,2025-08-15
1.1394,1.5482,1.60286937,0.0075161376,2025-08-22
1.1139,1.5227,1.56699684,-0.0223802001,2025-08-29
1.1255,1.5343,1.58331532,0.0104138612,2025-09-05
1.124,1.5328,1.58120517,-0.001332741,2025-09-12
1.1049,1.5137,1.55433594,-0.0169928826,2025-09-19
1.109,1.5178,1.56010368,0.0037107431,2025-09-26
1.1239,1.5327,1.5810645,0.0134355275,2025-09-30
1.1211,1.5299,1.57712555,-0.0024913249,2025-10-10
1.1034,1.5122,1.55222579,-0.0157880653,2025-10-17
1.1049,1.5137,1.55433594,0.0013594345,2025-10-24
1.106,1.5148,1.55588338,0.0009955652,2025-10-31
1.1257,1.5345,1.58359668,0.0178119349,2025-11-07
1.1353,1.5441,1.59710163,0.008528027,2025-11-14
1.1261,1.5349,1.58415938,-0.008103585,2025-11-21
1.119,1.5278,1.57417134,-0.0063049463,2025-11-28
1.1258,1.5346,1.58373735,0.0060768543,2025-12-05
1.122,1.5308,1.57839164,-0.0033753775,2025-12-12
1.1526,1.5614,1.62143869,0.0272727273,2025-12-19
1.1576,1.5664,1.62847252,0.0043380184,2025-12-26
1.1675,1.5763,1.6423995,0.0085521769,2025-12-31
1.1867,1.5955,1.66940941,0.0164453961,2026-01-09
1.161,1.5698,1.63325552,-0.021656695,2026-01-16
1.1728,1.5816,1.64985536,0.010163652,2026-01-23
1.1512,1.56,1.61946921,-0.0184174625,2026-01-30
1.1777,1.5865,1.65674852,0.023019458,2026-02-06
1.1657,1.5745,1.63986732,-0.0101893521,2026-02-13
1.1349,1.5437,1.59653893,-0.0264218924,2026-02-27
1.1309,1.5397,1.59091186,-0.0035245396,2026-03-06
1.1295,1.5383,1.58894239,-0.0012379521,2026-03-13
1.1184,1.5272,1.57332728,-0.0098273572,2026-03-20
1.1369,1.5457,1.59935246,0.0165414878,2026-03-27
1.1172,1.526,1.57163916,-0.0173278213,2026-03-31
1.1283,1.5371,1.58725427,0.0099355532,2026-04-03
1.1352,1.544,1.59696096,0.0061153948,2026-04-10
1.1233,1.5321,1.58022044,-0.0104827343,2026-04-17
1.1179,1.5267,1.5726239,-0.0048072643,2026-04-24
1.1015,1.5103,1.54955294,-0.0146703641,2026-04-30
1.0831,1.4919,1.52366844,-0.0167044939,2026-05-08
1.0611,1.4699,1.49271958,-0.0203120672,2026-05-15
1.0512,1.46,1.4787926,-0.0093299406,2026-05-22
