nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2023-07-25
0.9632,0.9632,0.9632,-0.0368,2023-10-25
0.9635,0.9635,0.9635,0.0003114618,2023-10-26
0.9737,0.9737,0.9737,0.0105864037,2023-10-27
0.9795,0.9795,0.9795,0.0059566602,2023-10-30
0.9752,0.9752,0.9752,-0.0043899949,2023-10-31
0.9757,0.9757,0.9757,0.0005127153,2023-11-01
0.9716,0.9716,0.9716,-0.0042021113,2023-11-02
0.9756,0.9756,0.9756,0.0041169205,2023-11-03
0.9887,0.9887,0.9887,0.0134276343,2023-11-06
0.9896,0.9896,0.9896,0.0009102862,2023-11-07
0.9889,0.9889,0.9889,-0.0007073565,2023-11-08
0.9873,0.9873,0.9873,-0.0016179593,2023-11-09
0.9833,0.9833,0.9833,-0.0040514535,2023-11-10
0.989,0.989,0.989,0.0057968067,2023-11-13
0.9939,0.9939,0.9939,0.0049544995,2023-11-14
0.999,0.999,0.999,0.0051313009,2023-11-15
0.9944,0.9944,0.9944,-0.0046046046,2023-11-16
0.9998,0.9998,0.9998,0.0054304103,2023-11-17
1.0052,1.0052,1.0052,0.0054010802,2023-11-20
1.0026,1.0026,1.0026,-0.0025865499,2023-11-21
0.9985,0.9985,0.9985,-0.0040893676,2023-11-22
1.0049,1.0049,1.0049,0.0064096144,2023-11-23
0.9984,0.9984,0.9984,-0.0064683053,2023-11-24
0.9987,0.9987,0.9987,0.0003004808,2023-11-27
1.0004,1.0004,1.0004,0.0017022129,2023-11-28
0.998,0.998,0.998,-0.0023990404,2023-11-29
0.9951,0.9951,0.9951,-0.0029058116,2023-11-30
1.0027,1.0027,1.0027,0.0076374234,2023-12-01
1.0029,1.0029,1.0029,0.0001994615,2023-12-04
0.9989,0.9989,0.9989,-0.0039884335,2023-12-05
1.0015,1.0015,1.0015,0.0026028631,2023-12-06
0.9879,0.9879,0.9879,-0.0135796306,2023-12-07
0.9828,0.9828,0.9828,-0.0051624658,2023-12-08
0.9795,0.9795,0.9795,-0.0033577534,2023-12-15
0.9604,0.9604,0.9604,-0.0194997448,2023-12-22
0.9725,0.9725,0.9725,0.0125989171,2023-12-29
0.951,0.951,0.951,-0.0221079692,2024-01-05
0.9439,0.9439,0.9439,-0.0074658254,2024-01-12
0.9242,0.9242,0.9242,-0.020870855,2024-01-19
0.9464,0.9464,0.9464,0.0240207747,2024-01-26
0.882,0.882,0.882,-0.0680473373,2024-02-02
0.9093,0.9093,0.9093,0.030952381,2024-02-08
0.9299,0.9299,0.9299,0.0226547894,2024-02-23
0.9411,0.9411,0.9411,0.0120443058,2024-03-01
0.9407,0.9407,0.9407,-0.0004250345,2024-03-08
0.9549,0.9549,0.9549,0.0150951419,2024-03-15
0.9589,0.9589,0.9589,0.0041889203,2024-03-22
0.9528,0.9528,0.9528,-0.0063614558,2024-03-29
0.9543,0.9543,0.9543,0.0015743073,2024-04-03
