nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-04-20
1.0,1.0,1.0,0.0,2018-04-27
1.0,1.0,1.0,0.0,2018-05-04
0.999,0.999,0.999,-0.001,2018-05-11
1.004,1.004,1.004,0.005005005,2018-05-18
0.978,0.978,0.978,-0.0258964143,2018-05-25
0.976,0.976,0.976,-0.0020449898,2018-05-31
0.988,0.988,0.988,0.012295082,2018-06-01
0.979,0.979,0.979,-0.0091093117,2018-06-08
1.012,1.012,1.012,0.0337078652,2018-06-15
1.012,1.012,1.012,0.0,2018-06-22
0.982,0.982,0.982,-0.0296442688,2018-06-29
0.965,0.965,0.965,-0.017311609,2018-07-06
1.009,1.009,1.009,0.0455958549,2018-07-13
1.002,1.002,1.002,-0.0069375619,2018-07-20
1.044,1.044,1.044,0.0419161677,2018-07-27
1.052,1.052,1.052,0.0076628352,2018-07-31
1.044,1.044,1.044,-0.0076045627,2018-08-03
1.049,1.049,1.049,0.004789272,2018-08-10
1.02,1.02,1.02,-0.0276453765,2018-08-17
1.022,1.022,1.022,0.0019607843,2018-08-24
1.024,1.024,1.024,0.0019569472,2018-08-31
1.019,1.019,1.019,-0.0048828125,2018-09-07
1.006,1.006,1.006,-0.0127576055,2018-09-14
1.046,1.046,1.046,0.0397614314,2018-09-21
1.039,1.039,1.039,-0.0066921606,2018-09-28
1.004,1.004,1.004,-0.0336862368,2018-10-12
0.969,0.969,0.969,-0.0348605578,2018-10-19
0.987,0.987,0.987,0.0185758514,2018-10-26
0.977,0.977,0.977,-0.0101317123,2018-10-31
0.993,0.993,0.993,0.0163766633,2018-11-02
0.985,0.985,0.985,-0.0080563948,2018-11-09
1.027,1.027,1.027,0.0426395939,2018-11-16
1.005,1.005,1.005,-0.0214216164,2018-11-23
1.005,1.005,1.005,0.0,2018-11-28
1.002,1.002,1.002,-0.0029850746,2018-11-30
1.0,1.0,1.0,-0.001996008,2018-12-07
1.011,1.011,1.011,0.011,2018-12-14
0.99,0.99,0.99,-0.0207715134,2018-12-21
0.987,0.987,0.987,-0.003030303,2018-12-28
0.982,0.982,0.982,-0.0050658561,2019-01-04
0.986,0.986,0.986,0.0040733198,2019-01-11
0.998,0.998,0.998,0.0121703854,2019-01-18
1.0,1.0,1.0,0.002004008,2019-01-25
1.008,1.008,1.008,0.008,2019-01-31
1.021,1.021,1.021,0.0128968254,2019-02-01
1.043,1.043,1.043,0.0215475024,2019-02-15
1.144,1.144,1.144,0.0968360499,2019-02-22
1.229,1.229,1.229,0.0743006993,2019-02-28
1.239,1.239,1.239,0.0081366965,2019-03-01
1.255,1.255,1.255,0.01291364,2019-03-08
1.248,1.248,1.248,-0.0055776892,2019-03-15
1.265,1.265,1.265,0.0136217949,2019-03-22
1.252,1.252,1.252,-0.0102766798,2019-03-29
1.278,1.278,1.278,0.0207667732,2019-04-04
1.252,1.252,1.252,-0.0203442879,2019-04-12
1.257,1.257,1.257,0.0039936102,2019-04-19
1.239,1.239,1.239,-0.0143198091,2019-04-26
1.244,1.244,1.244,0.0040355125,2019-04-30
1.228,1.228,1.228,-0.0128617363,2019-05-10
1.212,1.212,1.212,-0.013029316,2019-05-17
1.209,1.209,1.209,-0.0024752475,2019-05-24
1.214,1.214,1.214,0.0041356493,2019-05-31
1.212,1.212,1.212,-0.0016474465,2019-06-06
1.23,1.23,1.23,0.0148514851,2019-06-14
1.254,1.254,1.254,0.0195121951,2019-06-21
1.25,1.25,1.25,-0.0031897927,2019-06-28
1.253,1.253,1.253,0.0024,2019-07-05
1.246,1.246,1.246,-0.0055865922,2019-07-12
1.248,1.248,1.248,0.0016051364,2019-07-19
1.25,1.25,1.25,0.0016025641,2019-07-26
1.241,1.241,1.241,-0.0072,2019-07-31
1.231,1.231,1.231,-0.0080580177,2019-08-02
1.219,1.219,1.219,-0.0097481722,2019-08-09
1.219,1.219,1.219,0.0,2019-08-16
1.231,1.231,1.231,0.0098441345,2019-08-23
1.22,1.22,1.22,-0.0089358245,2019-08-30
1.262,1.262,1.262,0.0344262295,2019-09-06
1.273,1.273,1.273,0.0087163233,2019-09-12
1.238,1.238,1.238,-0.0274941084,2019-09-20
1.215,1.215,1.215,-0.0185783522,2019-09-27
1.207,1.207,1.207,-0.0065843621,2019-09-30
1.228,1.228,1.228,0.0173985087,2019-10-11
1.218,1.218,1.218,-0.0081433225,2019-10-18
1.221,1.221,1.221,0.0024630542,2019-10-25
1.185,1.185,1.185,-0.0294840295,2019-10-31
1.19,1.19,1.19,0.0042194093,2019-11-01
1.188,1.188,1.188,-0.0016806723,2019-11-08
1.165,1.165,1.165,-0.0193602694,2019-11-15
1.168,1.168,1.168,0.0025751073,2019-11-22
1.178,1.178,1.178,0.0085616438,2019-11-29
1.172,1.172,1.172,-0.0050933786,2019-12-06
1.188,1.188,1.188,0.0136518771,2019-12-13
1.222,1.222,1.222,0.0286195286,2019-12-20
1.223,1.223,1.223,0.0008183306,2019-12-27
1.247,1.247,1.247,0.0196238757,2019-12-31
1.265,1.265,1.265,0.0144346431,2020-01-03
1.238,1.238,1.238,-0.0213438735,2020-01-10
1.223,1.223,1.223,-0.0121163166,2020-01-17
1.201,1.201,1.201,-0.0179885527,2020-01-23
