nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2020-08-28
0.9891,0.9891,0.9891,-0.0109,2020-09-04
0.9718,0.9718,0.9718,-0.0174906481,2020-09-10
0.9769,0.9769,0.9769,0.0052479934,2020-09-11
0.994,0.994,0.994,0.0175043505,2020-09-18
0.9606,0.9606,0.9606,-0.0336016097,2020-09-25
0.969,0.969,0.969,0.0087445347,2020-09-30
1.0035,1.0035,1.0035,0.0356037152,2020-10-09
1.0209,1.0209,1.0209,0.0173393124,2020-10-12
1.0142,1.0142,1.0142,-0.0065628367,2020-10-16
0.9994,0.9994,0.9994,-0.0145927825,2020-10-23
0.9871,0.9871,0.9871,-0.0123073844,2020-10-30
1.0423,1.0423,1.0423,0.0559213859,2020-11-06
1.0307,1.0307,1.0307,-0.0111292334,2020-11-10
1.0478,1.0478,1.0478,0.0165906665,2020-11-13
1.0665,1.0665,1.0665,0.0178469174,2020-11-20
1.0771,1.0771,1.0771,0.009939053,2020-11-27
1.0676,1.0676,1.0676,-0.0088199796,2020-11-30
1.0797,1.0797,1.0797,0.0113338329,2020-12-04
1.0698,1.0698,1.0698,-0.0091692137,2020-12-10
1.0687,1.0687,1.0687,-0.0010282296,2020-12-11
1.088,1.088,1.088,0.0180593244,2020-12-18
1.104,1.104,1.104,0.0147058824,2020-12-25
1.1237,1.1237,1.1237,0.0178442029,2020-12-31
1.189,1.189,1.189,0.0581115956,2021-01-08
1.183,1.183,1.183,-0.0050462574,2021-01-11
1.2111,1.2111,1.2111,0.0237531699,2021-01-15
1.2754,1.2754,1.2754,0.0530922302,2021-01-22
1.2131,1.2131,1.2131,-0.0488474204,2021-01-29
1.263,1.263,1.263,0.0411342841,2021-02-05
1.3102,1.3102,1.3102,0.0373713381,2021-02-10
1.3173,1.3173,1.3173,0.00541902,2021-02-19
1.2205,1.2205,1.2205,-0.0734836408,2021-02-26
1.2078,1.2078,1.2078,-0.0104055715,2021-03-05
1.1736,1.1736,1.1736,-0.0283159463,2021-03-10
1.1938,1.1938,1.1938,0.0172119973,2021-03-12
1.1862,1.1862,1.1862,-0.0063662255,2021-03-19
1.1693,1.1693,1.1693,-0.0142471759,2021-03-26
1.1693,1.1693,1.1693,0.0,2021-03-31
1.1919,1.1919,1.1919,0.019327803,2021-04-02
1.1798,1.1798,1.1798,-0.0101518584,2021-04-09
1.1615,1.1615,1.1615,-0.0155111036,2021-04-12
1.182,1.182,1.182,0.017649591,2021-04-16
1.2108,1.2108,1.2108,0.0243654822,2021-04-23
1.2049,1.2049,1.2049,-0.0048728114,2021-04-30
