nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2015-08-14
0.9939,0.9939,0.9939,-0.0061,2015-08-17
0.9887,0.9887,0.9887,-0.0052319147,2015-08-21
1.0121,1.0121,1.0121,0.0236674421,2015-08-28
1.004,1.004,1.004,-0.0080031617,2015-09-02
1.0042,1.0042,1.0042,0.0001992032,2015-09-11
1.0054,1.0054,1.0054,0.0011949811,2015-09-15
1.005,1.005,1.005,-0.0003978516,2015-09-18
1.0067,1.0067,1.0067,0.0016915423,2015-09-25
1.0075,1.0075,1.0075,0.0007946757,2015-09-30
1.0061,1.0061,1.0061,-0.0013895782,2015-10-09
1.0057,1.0057,1.0057,-0.0003975748,2015-10-15
1.0065,1.0065,1.0065,0.0007954658,2015-10-16
1.006,1.006,1.006,-0.000496771,2015-10-23
1.008,1.008,1.008,0.0019880716,2015-10-30
1.0147,1.0147,1.0147,0.0066468254,2015-11-06
1.0128,1.0128,1.0128,-0.0018724746,2015-11-13
1.0094,1.0094,1.0094,-0.00335703,2015-11-16
1.0118,1.0118,1.0118,0.0023776501,2015-11-20
1.0075,1.0075,1.0075,-0.0042498517,2015-11-27
1.0203,1.0203,1.0203,0.0127047146,2015-12-04
1.0203,1.0203,1.0203,0.0,2015-12-11
1.0149,1.0149,1.0149,-0.005292561,2015-12-15
1.0074,1.0074,1.0074,-0.0073898906,2015-12-18
1.0164,1.0164,1.0164,0.0089338892,2015-12-25
1.0055,1.0055,1.0055,-0.0107241244,2015-12-31
0.9775,0.9775,0.9775,-0.0278468424,2016-01-08
0.9645,0.9645,0.9645,-0.0132992327,2016-01-15
0.9509,0.9509,0.9509,-0.0141005702,2016-01-21
0.9601,0.9601,0.9601,0.0096750447,2016-01-22
0.9637,0.9637,0.9637,0.0037496094,2016-01-29
0.9583,0.9583,0.9583,-0.0056034035,2016-02-05
0.9502,0.9502,0.9502,-0.0084524679,2016-02-15
0.9486,0.9486,0.9486,-0.001683856,2016-02-19
0.9569,0.9569,0.9569,0.0087497365,2016-02-26
0.9756,0.9756,0.9756,0.0195422719,2016-03-04
0.9801,0.9801,0.9801,0.0046125461,2016-03-11
0.9773,0.9773,0.9773,-0.0028568513,2016-03-15
0.9699,0.9699,0.9699,-0.0075718817,2016-03-18
0.9684,0.9684,0.9684,-0.0015465512,2016-03-25
0.9692,0.9692,0.9692,0.0008261049,2016-04-01
0.9712,0.9712,0.9712,0.0020635576,2016-04-08
0.966,0.966,0.966,-0.005354201,2016-04-15
0.9743,0.9743,0.9743,0.0085921325,2016-04-22
0.9724,0.9724,0.9724,-0.001950118,2016-04-29
0.9623,0.9623,0.9623,-0.0103866722,2016-05-06
0.9882,0.9882,0.9882,0.0269146836,2016-05-13
0.9892,0.9892,0.9892,0.0010119409,2016-05-16
0.9786,0.9786,0.9786,-0.0107157299,2016-05-20
0.981,0.981,0.981,0.0024524831,2016-05-27
0.9955,0.9955,0.9955,0.0147808359,2016-06-03
0.9923,0.9923,0.9923,-0.0032144651,2016-06-08
0.9994,0.9994,0.9994,0.0071550942,2016-06-15
1.0028,1.0028,1.0028,0.0034020412,2016-06-17
0.9944,0.9944,0.9944,-0.0083765457,2016-06-24
1.0068,1.0068,1.0068,0.0124698311,2016-07-01
1.0116,1.0116,1.0116,0.0047675805,2016-07-08
1.0424,1.0424,1.0424,0.0304468169,2016-07-15
