nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2018-01-30
0.9999,0.9999,0.9999,-0.0001,2018-02-02
0.915,0.915,0.915,-0.0849084908,2018-02-09
0.96,0.96,0.96,0.0491803279,2018-02-14
0.9858,0.9858,0.9858,0.026875,2018-02-23
0.9782,0.9782,0.9782,-0.0077094745,2018-03-02
1.0027,1.0027,1.0027,0.0250460029,2018-03-09
1.0036,1.0036,1.0036,0.0008975765,2018-03-16
0.9788,0.9788,0.9788,-0.0247110403,2018-03-23
0.9657,0.9657,0.9657,-0.0133837352,2018-03-30
0.9539,0.9539,0.9539,-0.0122191157,2018-04-04
0.9613,0.9613,0.9613,0.0077576266,2018-04-13
0.9387,0.9387,0.9387,-0.0235098304,2018-04-20
0.9253,0.9253,0.9253,-0.0142750613,2018-04-27
0.9349,0.9349,0.9349,0.0103750135,2018-05-04
0.9634,0.9634,0.9634,0.0304845438,2018-05-11
0.9705,0.9705,0.9705,0.0073697322,2018-05-18
0.9642,0.9642,0.9642,-0.0064914992,2018-05-25
0.965,0.965,0.965,0.0008297034,2018-06-01
0.9765,0.9765,0.9765,0.0119170984,2018-06-08
0.98,0.98,0.98,0.0035842294,2018-06-15
0.9627,0.9627,0.9627,-0.0176530612,2018-06-22
0.9435,0.9435,0.9435,-0.0199439078,2018-06-29
0.9217,0.9217,0.9217,-0.0231054584,2018-07-06
0.949,0.949,0.949,0.0296191819,2018-07-13
0.9473,0.9473,0.9473,-0.0017913593,2018-07-20
0.9442,0.9442,0.9442,-0.0032724586,2018-07-27
0.9071,0.9071,0.9071,-0.0392925228,2018-08-03
0.9242,0.9242,0.9242,0.0188512843,2018-08-10
0.8954,0.8954,0.8954,-0.0311620861,2018-08-17
0.9101,0.9101,0.9101,0.0164172437,2018-08-24
0.9114,0.9114,0.9114,0.0014284145,2018-08-31
0.9004,0.9004,0.9004,-0.0120693439,2018-09-07
0.8977,0.8977,0.8977,-0.0029986673,2018-09-14
0.9287,0.9287,0.9287,0.0345326947,2018-09-21
0.9413,0.9413,0.9413,0.0135673522,2018-09-28
0.8902,0.8902,0.8902,-0.0542866249,2018-10-12
0.8813,0.8813,0.8813,-0.0099977533,2018-10-19
0.8703,0.8703,0.8703,-0.0124815613,2018-10-26
0.8648,0.8648,0.8648,-0.0063196599,2018-10-31
0.8941,0.8941,0.8941,0.033880666,2018-11-02
0.878,0.878,0.878,-0.0180069343,2018-11-09
0.89,0.89,0.89,0.013667426,2018-11-16
0.8661,0.8661,0.8661,-0.0268539326,2018-11-23
0.8819,0.8819,0.8819,0.0182426971,2018-11-30
0.8802,0.8802,0.8802,-0.0019276562,2018-12-07
0.8757,0.8757,0.8757,-0.0051124744,2018-12-14
0.8432,0.8432,0.8432,-0.0371131666,2018-12-21
0.8515,0.8515,0.8515,0.0098434535,2018-12-28
0.8448,0.8448,0.8448,-0.0042432815,2019-01-04
0.8735,0.8735,0.8735,0.0339725379,2019-01-11
0.8806,0.8806,0.8806,0.0081282198,2019-01-18
0.8876,0.8876,0.8876,0.0079491256,2019-01-25
0.895,0.895,0.895,0.0083370888,2019-01-31
0.9007,0.9007,0.9007,0.0063687151,2019-02-01
0.9152,0.9152,0.9152,0.01609859,2019-02-15
0.9424,0.9424,0.9424,0.0297202797,2019-02-22
0.9473,0.9473,0.9473,0.0051994907,2019-02-28
0.9538,0.9538,0.9538,0.0068616067,2019-03-01
0.9283,0.9283,0.9283,-0.0267351646,2019-03-08
0.9474,0.9474,0.9474,0.0205752451,2019-03-15
0.9544,0.9544,0.9544,0.0073886426,2019-03-22
0.9684,0.9684,0.9684,0.0146689019,2019-03-29
1.0,1.0,1.0,0.0326311442,2019-04-04
0.9926,0.9926,0.9926,-0.0074,2019-04-12
0.9869,0.9869,0.9869,-0.0057424945,2019-04-15
1.0251,1.0251,1.0251,0.0387070625,2019-04-19
0.9846,0.9846,0.9846,-0.0395083406,2019-04-26
0.9853,0.9853,0.9853,0.0007109486,2019-04-30
0.9424,0.9424,0.9424,-0.0435400386,2019-05-10
0.9286,0.9286,0.9286,-0.0146434635,2019-05-17
0.8993,0.8993,0.8993,-0.0315528753,2019-05-24
0.8964,0.8964,0.8964,-0.0032247303,2019-05-31
0.8866,0.8866,0.8866,-0.0109326194,2019-06-06
0.9082,0.9082,0.9082,0.024362734,2019-06-14
0.9564,0.9564,0.9564,0.0530720106,2019-06-21
0.9571,0.9571,0.9571,0.0007319113,2019-06-28
0.9742,0.9742,0.9742,0.0178664716,2019-07-05
0.9585,0.9585,0.9585,-0.0161157873,2019-07-12
0.9697,0.9697,0.9697,0.0116849244,2019-07-15
0.9704,0.9704,0.9704,0.0007218727,2019-07-19
0.9907,0.9907,0.9907,0.0209192086,2019-07-26
0.9512,0.9512,0.9512,-0.0398707984,2019-08-02
0.9396,0.9396,0.9396,-0.012195122,2019-08-09
0.9645,0.9645,0.9645,0.0265006386,2019-08-16
0.9713,0.9713,0.9713,0.0070502851,2019-08-23
0.9799,0.9799,0.9799,0.008854113,2019-08-30
1.0034,1.0034,1.0034,0.023982039,2019-09-06
1.0218,1.0218,1.0218,0.018337652,2019-09-12
1.017,1.017,1.017,-0.0046975925,2019-09-20
0.982,0.982,0.982,-0.0344149459,2019-09-27
0.9815,0.9815,0.9815,-0.000509165,2019-09-30
1.0066,1.0066,1.0066,0.0255731024,2019-10-11
1.0104,1.0104,1.0104,0.0037750844,2019-10-15
0.9931,0.9931,0.9931,-0.0171219319,2019-10-18
1.004,1.004,1.004,0.0109757326,2019-10-25
1.0092,1.0092,1.0092,0.0051792829,2019-10-31
1.0187,1.0187,1.0187,0.0094133967,2019-11-01
1.0567,1.0567,1.0567,0.0373024443,2019-11-08
1.0279,1.0279,1.0279,-0.0272546607,2019-11-15
1.0349,1.0349,1.0349,0.006810001,2019-11-22
