nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2026-01-16
0.9999,0.9999,0.9999,-0.0001,2026-01-23
0.9999,0.9999,0.9999,0.0,2026-01-30
0.9998,0.9998,0.9998,-0.00010001,2026-02-06
0.9998,0.9998,0.9998,0.0,2026-02-13
1.0027,1.0027,1.0027,0.0029005801,2026-02-27
1.001,1.001,1.001,-0.0016954224,2026-03-06
1.0158,1.0158,1.0158,0.0147852148,2026-03-13
0.9983,0.9983,0.9983,-0.0172278007,2026-03-20
1.0025,1.0025,1.0025,0.0042071522,2026-03-27
0.9506,0.9506,0.9506,-0.0517705736,2026-04-03
0.9846,0.9846,0.9846,0.0357668841,2026-04-10
0.9966,0.9966,0.9966,0.0121876904,2026-04-17
1.0241,1.0241,1.0241,0.027593819,2026-04-24
1.052,1.052,1.052,0.0272434333,2026-04-30
1.046,1.046,1.046,-0.0057034221,2026-05-08
1.0225,1.0225,1.0225,-0.0224665392,2026-05-15
1.0214,1.0214,1.0214,-0.0010757946,2026-05-22
