nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2022-10-11
1.0,1.0,1.0,0.0,2022-10-12
1.0,1.0,1.0,0.0,2022-10-13
1.0,1.0,1.0,0.0,2022-10-14
1.0,1.0,1.0,0.0,2022-10-17
1.0,1.0,1.0,0.0,2022-10-18
1.0,1.0,1.0,0.0,2022-10-19
0.9999,0.9999,0.9999,-0.0001,2022-10-20
0.9999,0.9999,0.9999,0.0,2022-10-21
0.9999,0.9999,0.9999,0.0,2022-10-24
0.9999,0.9999,0.9999,0.0,2022-10-25
0.9999,0.9999,0.9999,0.0,2022-10-26
0.9999,0.9999,0.9999,0.0,2022-10-27
0.9999,0.9999,0.9999,0.0,2022-10-28
0.9998,0.9998,0.9998,-0.00010001,2022-10-31
0.9998,0.9998,0.9998,0.0,2022-11-01
0.9998,0.9998,0.9998,0.0,2022-11-02
0.9998,0.9998,0.9998,0.0,2022-11-03
0.9998,0.9998,0.9998,0.0,2022-11-04
0.9998,0.9998,0.9998,0.0,2022-11-07
0.9998,0.9998,0.9998,0.0,2022-11-08
0.9998,0.9998,0.9998,0.0,2022-11-09
0.9997,0.9997,0.9997,-0.00010002,2022-11-10
0.9997,0.9997,0.9997,0.0,2022-11-11
0.9997,0.9997,0.9997,0.0,2022-11-14
0.9997,0.9997,0.9997,0.0,2022-11-15
0.9997,0.9997,0.9997,0.0,2022-11-16
0.9997,0.9997,0.9997,0.0,2022-11-17
0.9997,0.9997,0.9997,0.0,2022-11-18
0.9996,0.9996,0.9996,-0.00010003,2022-11-21
0.9996,0.9996,0.9996,0.0,2022-11-22
0.9996,0.9996,0.9996,0.0,2022-11-23
0.9996,0.9996,0.9996,0.0,2022-11-24
0.9996,0.9996,0.9996,0.0,2022-11-25
0.9995,0.9995,0.9995,-0.00010004,2022-11-28
0.9995,0.9995,0.9995,0.0,2022-11-29
0.9995,0.9995,0.9995,0.0,2022-11-30
0.9995,0.9995,0.9995,0.0,2022-12-01
0.9995,0.9995,0.9995,0.0,2022-12-02
0.9995,0.9995,0.9995,0.0,2022-12-05
0.9994,0.9994,0.9994,-0.00010005,2022-12-06
0.9994,0.9994,0.9994,0.0,2022-12-07
0.9994,0.9994,0.9994,0.0,2022-12-08
0.9994,0.9994,0.9994,0.0,2022-12-09
0.9994,0.9994,0.9994,0.0,2022-12-12
0.9994,0.9994,0.9994,0.0,2022-12-13
0.9994,0.9994,0.9994,0.0,2022-12-14
0.9994,0.9994,0.9994,0.0,2022-12-15
0.9994,0.9994,0.9994,0.0,2022-12-16
0.9993,0.9993,0.9993,-0.00010006,2022-12-19
0.9993,0.9993,0.9993,0.0,2022-12-20
0.9993,0.9993,0.9993,0.0,2022-12-21
0.9993,0.9993,0.9993,0.0,2022-12-22
0.9993,0.9993,0.9993,0.0,2022-12-23
0.9991,0.9991,0.9991,-0.0002001401,2022-12-26
0.9991,0.9991,0.9991,0.0,2022-12-27
0.999,0.999,0.999,-0.0001000901,2022-12-28
0.999,0.999,0.999,0.0,2022-12-29
0.999,0.999,0.999,0.0,2022-12-30
0.9988,0.9988,0.9988,-0.0002002002,2023-01-03
0.9988,0.9988,0.9988,0.0,2023-01-04
0.9987,0.9987,0.9987,-0.0001001201,2023-01-05
0.9987,0.9987,0.9987,0.0,2023-01-06
0.9985,0.9985,0.9985,-0.0002002603,2023-01-09
0.9985,0.9985,0.9985,0.0,2023-01-10
0.9988,0.9988,0.9988,0.0003004507,2023-01-11
0.9988,0.9988,0.9988,0.0,2023-01-12
0.9988,0.9988,0.9988,0.0,2023-01-13
0.9986,0.9986,0.9986,-0.0002002403,2023-01-16
0.9986,0.9986,0.9986,0.0,2023-01-17
0.9985,0.9985,0.9985,-0.0001001402,2023-01-18
0.9985,0.9985,0.9985,0.0,2023-01-19
0.9985,0.9985,0.9985,0.0,2023-01-20
0.998,0.998,0.998,-0.0005007511,2023-01-30
0.998,0.998,0.998,0.0,2023-01-31
0.998,0.998,0.998,0.0,2023-02-01
0.9979,0.9979,0.9979,-0.0001002004,2023-02-02
0.9979,0.9979,0.9979,0.0,2023-02-03
0.9979,0.9979,0.9979,0.0,2023-02-06
0.9979,0.9979,0.9979,0.0,2023-02-07
0.998,0.998,0.998,0.0001002104,2023-02-08
0.9993,0.9993,0.9993,0.0013026052,2023-02-09
0.9993,0.9993,0.9993,0.0,2023-02-10
0.9994,0.9994,0.9994,0.00010007,2023-02-13
0.9994,0.9994,0.9994,0.0,2023-02-14
0.9994,0.9994,0.9994,0.0,2023-02-15
0.9994,0.9994,0.9994,0.0,2023-02-16
0.9994,0.9994,0.9994,0.0,2023-02-17
0.9994,0.9994,0.9994,0.0,2023-02-20
0.9994,0.9994,0.9994,0.0,2023-02-21
0.9994,0.9994,0.9994,0.0,2023-02-22
0.9993,0.9993,0.9993,-0.00010006,2023-02-23
0.9993,0.9993,0.9993,0.0,2023-02-24
0.9991,0.9991,0.9991,-0.0002001401,2023-02-27
0.9991,0.9991,0.9991,0.0,2023-02-28
0.9991,0.9991,0.9991,0.0,2023-03-01
0.999,0.999,0.999,-0.0001000901,2023-03-02
0.999,0.999,0.999,0.0,2023-03-03
0.9989,0.9989,0.9989,-0.0001001001,2023-03-06
0.9988,0.9988,0.9988,-0.0001001101,2023-03-07
0.9992,0.9992,0.9992,0.0004004806,2023-03-08
0.9992,0.9992,0.9992,0.0,2023-03-09
0.9992,0.9992,0.9992,0.0,2023-03-10
0.9991,0.9991,0.9991,-0.0001000801,2023-03-13
0.9991,0.9991,0.9991,0.0,2023-03-14
0.999,0.999,0.999,-0.0001000901,2023-03-15
0.999,0.999,0.999,0.0,2023-03-16
0.998,0.998,0.998,-0.001001001,2023-03-17
0.9929,0.9929,0.9929,-0.0051102204,2023-03-20
0.9939,0.9939,0.9939,0.0010071508,2023-03-21
0.9928,0.9928,0.9928,-0.0011067512,2023-03-22
0.9878,0.9878,0.9878,-0.0050362611,2023-03-23
0.9878,0.9878,0.9878,0.0,2023-03-24
0.9887,0.9887,0.9887,0.0009111156,2023-03-27
0.9917,0.9917,0.9917,0.0030342874,2023-03-28
0.9916,0.9916,0.9916,-0.0001008369,2023-03-29
0.9915,0.9915,0.9915,-0.0001008471,2023-03-30
0.9925,0.9925,0.9925,0.0010085729,2023-03-31
0.9924,0.9924,0.9924,-0.0001007557,2023-04-03
0.9924,0.9924,0.9924,0.0,2023-04-04
0.9923,0.9923,0.9923,-0.0001007658,2023-04-06
0.9953,0.9953,0.9953,0.0030232793,2023-04-07
0.9952,0.9952,0.9952,-0.0001004722,2023-04-10
0.9952,0.9952,0.9952,0.0,2023-04-11
0.9952,0.9952,0.9952,0.0,2023-04-12
0.9951,0.9951,0.9951,-0.0001004823,2023-04-13
0.9961,0.9961,0.9961,0.0010049241,2023-04-14
0.996,0.996,0.996,-0.0001003915,2023-04-17
0.996,0.996,0.996,0.0,2023-04-18
0.996,0.996,0.996,0.0,2023-04-19
0.9959,0.9959,0.9959,-0.0001004016,2023-04-20
0.991,0.991,0.991,-0.0049201727,2023-04-21
0.9909,0.9909,0.9909,-0.0001009082,2023-04-24
0.9968,0.9968,0.9968,0.0059541831,2023-04-25
0.9968,0.9968,0.9968,0.0,2023-04-26
0.9967,0.9967,0.9967,-0.000100321,2023-04-27
0.9987,0.9987,0.9987,0.0020066219,2023-04-28
0.9985,0.9985,0.9985,-0.0002002603,2023-05-04
0.9985,0.9985,0.9985,0.0,2023-05-05
0.9984,0.9984,0.9984,-0.0001001502,2023-05-08
0.9984,0.9984,0.9984,0.0,2023-05-09
0.9984,0.9984,0.9984,0.0,2023-05-10
0.9984,0.9984,0.9984,0.0,2023-05-11
1.0013,1.0013,1.0013,0.0029046474,2023-05-12
1.0012,1.0012,1.0012,-9.98702e-05,2023-05-15
1.0012,1.0012,1.0012,0.0,2023-05-16
1.0012,1.0012,1.0012,0.0,2023-05-17
1.0011,1.0011,1.0011,-9.98801e-05,2023-05-18
1.0001,1.0001,1.0001,-0.0009989012,2023-05-19
1.0,1.0,1.0,-9.999e-05,2023-05-22
1.0,1.0,1.0,0.0,2023-05-23
1.0,1.0,1.0,0.0,2023-05-24
0.9999,0.9999,0.9999,-0.0001,2023-05-25
1.0019,1.0019,1.0019,0.0020002,2023-05-26
1.0018,1.0018,1.0018,-9.98104e-05,2023-05-29
1.0018,1.0018,1.0018,0.0,2023-05-30
1.0018,1.0018,1.0018,0.0,2023-05-31
1.0017,1.0017,1.0017,-9.98203e-05,2023-06-01
0.9997,0.9997,0.9997,-0.0019966058,2023-06-02
0.9996,0.9996,0.9996,-0.00010003,2023-06-05
0.9996,0.9996,0.9996,0.0,2023-06-06
0.9996,0.9996,0.9996,0.0,2023-06-07
0.9996,0.9996,0.9996,0.0,2023-06-08
1.0005,1.0005,1.0005,0.0009003601,2023-06-09
1.0014,1.0014,1.0014,0.0008995502,2023-06-12
1.0014,1.0014,1.0014,0.0,2023-06-13
1.0014,1.0014,1.0014,0.0,2023-06-14
1.0013,1.0013,1.0013,-9.98602e-05,2023-06-15
1.0033,1.0033,1.0033,0.0019974034,2023-06-16
1.0032,1.0032,1.0032,-9.96711e-05,2023-06-19
1.0032,1.0032,1.0032,0.0,2023-06-20
1.0071,1.0071,1.0071,0.0038875598,2023-06-21
1.007,1.007,1.007,-9.9295e-05,2023-06-26
1.0069,1.0069,1.0069,-9.93049e-05,2023-06-27
1.0069,1.0069,1.0069,0.0,2023-06-28
1.0069,1.0069,1.0069,0.0,2023-06-29
1.0069,1.0069,1.0069,0.0,2023-06-30
1.0068,1.0068,1.0068,-9.93147e-05,2023-07-03
1.0067,1.0067,1.0067,-9.93246e-05,2023-07-04
1.0067,1.0067,1.0067,0.0,2023-07-05
1.0067,1.0067,1.0067,0.0,2023-07-06
1.0047,1.0047,1.0047,-0.0019866892,2023-07-07
1.0046,1.0046,1.0046,-9.95322e-05,2023-07-10
1.0046,1.0046,1.0046,0.0,2023-07-11
1.0045,1.0045,1.0045,-9.95421e-05,2023-07-12
1.0045,1.0045,1.0045,0.0,2023-07-13
1.0065,1.0065,1.0065,0.0019910403,2023-07-14
1.0064,1.0064,1.0064,-9.93542e-05,2023-07-17
1.0064,1.0064,1.0064,0.0,2023-07-18
1.0063,1.0063,1.0063,-9.93641e-05,2023-07-19
1.0063,1.0063,1.0063,0.0,2023-07-20
1.0092,1.0092,1.0092,0.0028818444,2023-07-21
1.0092,1.0092,1.0092,0.0,2023-07-24
1.0091,1.0091,1.0091,-9.90884e-05,2023-07-25
1.0091,1.0091,1.0091,0.0,2023-07-26
1.0091,1.0091,1.0091,0.0,2023-07-27
1.012,1.012,1.012,0.002873848,2023-07-28
1.0119,1.0119,1.0119,-9.88142e-05,2023-07-31
1.0119,1.0119,1.0119,0.0,2023-08-01
1.0119,1.0119,1.0119,0.0,2023-08-02
1.0118,1.0118,1.0118,-9.8824e-05,2023-08-03
1.0118,1.0118,1.0118,0.0,2023-08-04
1.0117,1.0117,1.0117,-9.88338e-05,2023-08-07
1.0117,1.0117,1.0117,0.0,2023-08-08
1.0117,1.0117,1.0117,0.0,2023-08-09
1.0117,1.0117,1.0117,0.0,2023-08-10
1.0067,1.0067,1.0067,-0.0049421765,2023-08-11
1.0066,1.0066,1.0066,-9.93345e-05,2023-08-14
1.0066,1.0066,1.0066,0.0,2023-08-15
1.0065,1.0065,1.0065,-9.93443e-05,2023-08-16
1.0065,1.0065,1.0065,0.0,2023-08-17
1.0025,1.0025,1.0025,-0.0039741679,2023-08-18
1.0024,1.0024,1.0024,-9.97506e-05,2023-08-21
1.0024,1.0024,1.0024,0.0,2023-08-22
1.0024,1.0024,1.0024,0.0,2023-08-23
1.0024,1.0024,1.0024,0.0,2023-08-24
1.0023,1.0023,1.0023,-9.97606e-05,2023-08-25
1.0022,1.0022,1.0022,-9.97705e-05,2023-08-28
1.0022,1.0022,1.0022,0.0,2023-08-29
1.0022,1.0022,1.0022,0.0,2023-08-30
1.0022,1.0022,1.0022,0.0,2023-08-31
1.0061,1.0061,1.0061,0.0038914388,2023-09-01
1.006,1.006,1.006,-9.93937e-05,2023-09-04
1.006,1.006,1.006,0.0,2023-09-05
1.0059,1.0059,1.0059,-9.94036e-05,2023-09-06
1.0059,1.0059,1.0059,0.0,2023-09-07
1.0,1.0,1.0,-0.0058653942,2023-09-08
0.9999,0.9999,0.9999,-0.0001,2023-09-11
0.9998,0.9998,0.9998,-0.00010001,2023-09-12
0.9998,0.9998,0.9998,0.0,2023-09-13
1.0077,1.0077,1.0077,0.0079015803,2023-09-14
1.0067,1.0067,1.0067,-0.0009923588,2023-09-15
1.0066,1.0066,1.0066,-9.93345e-05,2023-09-18
1.0066,1.0066,1.0066,0.0,2023-09-19
1.0065,1.0065,1.0065,-9.93443e-05,2023-09-20
1.0065,1.0065,1.0065,0.0,2023-09-21
0.9996,0.9996,0.9996,-0.0068554396,2023-09-22
0.9995,0.9995,0.9995,-0.00010004,2023-09-25
0.9995,0.9995,0.9995,0.0,2023-09-26
0.9994,0.9994,0.9994,-0.00010005,2023-09-27
1.0034,1.0034,1.0034,0.0040024014,2023-09-28
1.005,1.005,1.005,0.0015945784,2023-10-09
1.006,1.006,1.006,0.0009950249,2023-10-10
1.006,1.006,1.006,0.0,2023-10-11
1.0059,1.0059,1.0059,-9.94036e-05,2023-10-12
1.0049,1.0049,1.0049,-0.0009941346,2023-10-13
1.0048,1.0048,1.0048,-9.95124e-05,2023-10-16
1.0048,1.0048,1.0048,0.0,2023-10-17
1.0048,1.0048,1.0048,0.0,2023-10-18
1.0048,1.0048,1.0048,0.0,2023-10-19
0.9998,0.9998,0.9998,-0.0049761146,2023-10-20
0.9997,0.9997,0.9997,-0.00010002,2023-10-23
0.9997,0.9997,0.9997,0.0,2023-10-24
0.9996,0.9996,0.9996,-0.00010003,2023-10-25
0.9996,0.9996,0.9996,0.0,2023-10-26
1.0035,1.0035,1.0035,0.0039015606,2023-10-27
1.0035,1.0035,1.0035,0.0,2023-10-30
1.0034,1.0034,1.0034,-9.96512e-05,2023-10-31
1.0034,1.0034,1.0034,0.0,2023-11-01
1.0034,1.0034,1.0034,0.0,2023-11-02
1.0053,1.0053,1.0053,0.0018935619,2023-11-03
1.0052,1.0052,1.0052,-9.94728e-05,2023-11-06
1.0052,1.0052,1.0052,0.0,2023-11-07
1.0052,1.0052,1.0052,0.0,2023-11-08
1.0052,1.0052,1.0052,0.0,2023-11-09
1.0091,1.0091,1.0091,0.0038798249,2023-11-10
1.009,1.009,1.009,-9.90982e-05,2023-11-13
1.009,1.009,1.009,0.0,2023-11-14
1.0089,1.0089,1.0089,-9.9108e-05,2023-11-15
1.0089,1.0089,1.0089,0.0,2023-11-16
1.0158,1.0158,1.0158,0.0068391317,2023-11-17
1.0157,1.0157,1.0157,-9.84446e-05,2023-11-20
1.0157,1.0157,1.0157,0.0,2023-11-21
1.0157,1.0157,1.0157,0.0,2023-11-22
1.0156,1.0156,1.0156,-9.84543e-05,2023-11-23
1.0245,1.0245,1.0245,0.0087632926,2023-11-24
1.0244,1.0244,1.0244,-9.76086e-05,2023-11-27
1.0244,1.0244,1.0244,0.0,2023-11-28
1.0244,1.0244,1.0244,0.0,2023-11-29
1.0244,1.0244,1.0244,0.0,2023-11-30
1.0233,1.0233,1.0233,-0.0010737993,2023-12-01
1.0233,1.0233,1.0233,0.0,2023-12-04
1.0252,1.0252,1.0252,0.001856738,2023-12-05
1.0252,1.0252,1.0252,0.0,2023-12-06
1.0252,1.0252,1.0252,0.0,2023-12-07
1.0238,1.0238,1.0238,-0.0013655872,2023-12-08
1.0237,1.0237,1.0237,-9.76753e-05,2023-12-11
1.0237,1.0237,1.0237,0.0,2023-12-12
1.0237,1.0237,1.0237,0.0,2023-12-13
1.0236,1.0236,1.0236,-9.76849e-05,2023-12-14
1.0229,1.0229,1.0229,-0.0006838609,2023-12-15
1.0228,1.0228,1.0228,-9.77613e-05,2023-12-18
1.0228,1.0228,1.0228,0.0,2023-12-19
1.0228,1.0228,1.0228,0.0,2023-12-20
1.0228,1.0228,1.0228,0.0,2023-12-21
1.0247,1.0247,1.0247,0.0018576457,2023-12-22
1.0253,1.0253,1.0253,0.0005855372,2023-12-25
1.0253,1.0253,1.0253,0.0,2023-12-26
1.0253,1.0253,1.0253,0.0,2023-12-27
1.0453,1.0453,1.0453,0.0195064859,2023-12-28
1.0439,1.0439,1.0439,-0.0013393284,2023-12-29
1.0438,1.0438,1.0438,-9.57946e-05,2024-01-02
1.0437,1.0437,1.0437,-9.58038e-05,2024-01-03
1.0437,1.0437,1.0437,0.0,2024-01-04
1.029,1.029,1.029,-0.014084507,2024-01-05
1.0289,1.0289,1.0289,-9.71817e-05,2024-01-08
1.0289,1.0289,1.0289,0.0,2024-01-09
1.0289,1.0289,1.0289,0.0,2024-01-10
1.0289,1.0289,1.0289,0.0,2024-01-11
1.0296,1.0296,1.0296,0.0006803382,2024-01-12
1.0295,1.0295,1.0295,-9.71251e-05,2024-01-15
1.0295,1.0295,1.0295,0.0,2024-01-16
1.0297,1.0297,1.0297,0.0001942691,2024-01-17
1.0364,1.0364,1.0364,0.0065067495,2024-01-18
1.0296,1.0296,1.0296,-0.0065611733,2024-01-19
1.0363,1.0363,1.0363,0.0065073815,2024-01-22
1.0363,1.0363,1.0363,0.0,2024-01-23
1.0362,1.0362,1.0362,-9.64972e-05,2024-01-24
1.0362,1.0362,1.0362,0.0,2024-01-25
1.0362,1.0362,1.0362,0.0,2024-01-26
1.0361,1.0361,1.0361,-9.65065e-05,2024-01-29
1.036,1.036,1.036,-9.65158e-05,2024-01-30
1.034,1.034,1.034,-0.0019305019,2024-01-31
1.0342,1.0342,1.0342,0.0001934236,2024-02-01
1.0315,1.0315,1.0315,-0.0026107136,2024-02-02
1.031,1.031,1.031,-0.000484731,2024-02-05
1.0347,1.0347,1.0347,0.0035887488,2024-02-06
1.0344,1.0344,1.0344,-0.0002899391,2024-02-07
1.0333,1.0333,1.0333,-0.0010634184,2024-02-08
1.0364,1.0364,1.0364,0.0030000968,2024-02-19
1.0378,1.0378,1.0378,0.0013508298,2024-02-20
1.0347,1.0347,1.0347,-0.0029870881,2024-02-21
1.0298,1.0298,1.0298,-0.0047356722,2024-02-22
1.0324,1.0324,1.0324,0.0025247621,2024-02-23
1.0416,1.0416,1.0416,0.0089112747,2024-02-26
1.0414,1.0414,1.0414,-0.0001920123,2024-02-27
1.0413,1.0413,1.0413,-9.60246e-05,2024-02-28
1.0413,1.0413,1.0413,0.0,2024-02-29
1.0414,1.0414,1.0414,9.60338e-05,2024-03-01
1.0457,1.0457,1.0457,0.004129057,2024-03-08
1.0479,1.0479,1.0479,0.0021038539,2024-03-15
1.0447,1.0447,1.0447,-0.0030537265,2024-03-22
1.0549,1.0549,1.0549,0.0097635685,2024-03-29
1.0579,1.0579,1.0579,0.0028438715,2024-04-03
1.0474,1.0474,1.0474,-0.0099253238,2024-04-12
1.0584,1.0584,1.0584,0.0105021959,2024-04-19
1.0648,1.0648,1.0648,0.0060468632,2024-04-26
1.0667,1.0667,1.0667,0.0017843727,2024-04-30
1.0705,1.0705,1.0705,0.0035623887,2024-05-10
