nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2026-02-10
1.0,1.0,1.0,0.0,2026-02-11
1.0,1.0,1.0,0.0,2026-02-12
1.0,1.0,1.0,0.0,2026-02-13
1.0001,1.0001,1.0001,0.0001,2026-02-24
1.0002,1.0002,1.0002,9.999e-05,2026-02-25
1.0002,1.0002,1.0002,0.0,2026-02-26
1.0002,1.0002,1.0002,0.0,2026-02-27
1.0002,1.0002,1.0002,0.0,2026-03-02
1.0002,1.0002,1.0002,0.0,2026-03-03
1.0002,1.0002,1.0002,0.0,2026-03-04
1.0002,1.0002,1.0002,0.0,2026-03-05
1.0003,1.0003,1.0003,9.998e-05,2026-03-06
1.0003,1.0003,1.0003,0.0,2026-03-09
1.0003,1.0003,1.0003,0.0,2026-03-10
1.0003,1.0003,1.0003,0.0,2026-03-11
1.0003,1.0003,1.0003,0.0,2026-03-12
1.0003,1.0003,1.0003,0.0,2026-03-13
1.0004,1.0004,1.0004,9.997e-05,2026-03-16
1.0004,1.0004,1.0004,0.0,2026-03-17
1.0004,1.0004,1.0004,0.0,2026-03-18
1.0004,1.0004,1.0004,0.0,2026-03-19
1.0004,1.0004,1.0004,0.0,2026-03-20
1.0004,1.0004,1.0004,0.0,2026-03-23
1.0004,1.0004,1.0004,0.0,2026-03-24
1.0004,1.0004,1.0004,0.0,2026-03-25
1.0004,1.0004,1.0004,0.0,2026-03-26
1.0004,1.0004,1.0004,0.0,2026-03-27
1.0004,1.0004,1.0004,0.0,2026-03-30
1.0004,1.0004,1.0004,0.0,2026-03-31
1.0003,1.0003,1.0003,-9.996e-05,2026-04-01
1.0003,1.0003,1.0003,0.0,2026-04-02
1.0003,1.0003,1.0003,0.0,2026-04-03
1.0002,1.0002,1.0002,-9.997e-05,2026-04-07
1.0014,1.0014,1.0014,0.00119976,2026-04-08
0.9944,0.9944,0.9944,-0.0069902137,2026-04-09
1.0039,1.0039,1.0039,0.0095534996,2026-04-10
1.0009,1.0009,1.0009,-0.0029883455,2026-04-13
1.0134,1.0134,1.0134,0.0124887601,2026-04-14
1.0281,1.0281,1.0281,0.0145056246,2026-04-15
1.0427,1.0427,1.0427,0.0142009532,2026-04-16
1.0428,1.0428,1.0428,9.59049e-05,2026-04-17
1.0484,1.0484,1.0484,0.0053701573,2026-04-20
1.0482,1.0482,1.0482,-0.0001907669,2026-04-21
1.0536,1.0536,1.0536,0.0051516886,2026-04-22
1.0502,1.0502,1.0502,-0.0032270311,2026-04-23
1.0458,1.0458,1.0458,-0.0041896782,2026-04-24
1.0477,1.0477,1.0477,0.001816791,2026-04-27
1.0409,1.0409,1.0409,-0.0064904076,2026-04-28
1.0408,1.0408,1.0408,-9.60707e-05,2026-04-29
1.0387,1.0387,1.0387,-0.0020176787,2026-04-30
1.0672,1.0672,1.0672,0.0274381438,2026-05-06
1.0808,1.0808,1.0808,0.0127436282,2026-05-07
1.0812,1.0812,1.0812,0.0003700962,2026-05-08
1.0921,1.0921,1.0921,0.010081391,2026-05-11
1.0933,1.0933,1.0933,0.0010988005,2026-05-12
1.1027,1.1027,1.1027,0.0085978231,2026-05-13
1.0958,1.0958,1.0958,-0.0062573683,2026-05-14
1.076,1.076,1.076,-0.0180689907,2026-05-15
1.0574,1.0574,1.0574,-0.0172862454,2026-05-18
1.0667,1.0667,1.0667,0.0087951579,2026-05-19
1.0625,1.0625,1.0625,-0.003937377,2026-05-20
1.0579,1.0579,1.0579,-0.0043294118,2026-05-21
1.0654,1.0654,1.0654,0.007089517,2026-05-22
1.0868,1.0868,1.0868,0.0200863525,2026-05-25
1.0773,1.0773,1.0773,-0.0087412587,2026-05-26
1.0735,1.0735,1.0735,-0.0035273369,2026-05-27
