nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0079,1.0079,1.0079,0.0,2023-02-17
1.0116,1.0116,1.0116,0.0036709991,2023-02-24
1.0119,1.0119,1.0119,0.0002965599,2023-02-28
1.0128,1.0128,1.0128,0.000889416,2023-03-03
1.0143,1.0143,1.0143,0.0014810427,2023-03-10
1.0153,1.0153,1.0153,0.0009859016,2023-03-17
1.0267,1.0267,1.0267,0.0112282084,2023-03-24
1.0268,1.0268,1.0268,9.73994e-05,2023-03-31
1.0257,1.0257,1.0257,-0.0010712894,2023-04-07
1.0246,1.0246,1.0246,-0.0010724383,2023-04-14
1.0272,1.0272,1.0272,0.0025375756,2023-04-21
1.0293,1.0293,1.0293,0.0020443925,2023-04-28
1.0294,1.0294,1.0294,9.71534e-05,2023-05-05
1.0295,1.0295,1.0295,9.7144e-05,2023-05-12
1.0296,1.0296,1.0296,9.71345e-05,2023-05-19
1.0297,1.0297,1.0297,9.71251e-05,2023-05-26
1.0298,1.0298,1.0298,9.71157e-05,2023-05-31
1.0299,1.0299,1.0299,9.71062e-05,2023-06-02
1.03,1.03,1.03,9.70968e-05,2023-06-09
1.0287,1.0287,1.0287,-0.0012621359,2023-06-16
1.0304,1.0304,1.0304,0.0016525712,2023-06-21
1.0292,1.0292,1.0292,-0.0011645963,2023-06-30
1.0298,1.0298,1.0298,0.0005829771,2023-07-07
1.0317,1.0317,1.0317,0.0018450185,2023-07-14
1.0382,1.0382,1.0382,0.0063002811,2023-07-21
1.0379,1.0379,1.0379,-0.0002889617,2023-07-28
1.0377,1.0377,1.0377,-0.0001926968,2023-07-31
1.0366,1.0366,1.0366,-0.0010600366,2023-08-04
1.0374,1.0374,1.0374,0.0007717538,2023-08-11
1.0368,1.0368,1.0368,-0.000578369,2023-08-18
1.0379,1.0379,1.0379,0.0010609568,2023-08-25
1.0382,1.0382,1.0382,0.0002890452,2023-08-31
1.0361,1.0361,1.0361,-0.0020227317,2023-09-01
1.0353,1.0353,1.0353,-0.0007721262,2023-09-08
1.0321,1.0321,1.0321,-0.0030908915,2023-09-15
1.036,1.036,1.036,0.0037787036,2023-09-22
1.0247,1.0247,1.0247,-0.0109073359,2023-09-28
1.025,1.025,1.025,0.0002927686,2023-10-13
1.0202,1.0202,1.0202,-0.0046829268,2023-10-20
1.0261,1.0261,1.0261,0.0057831798,2023-10-27
1.0279,1.0279,1.0279,0.001754215,2023-10-31
1.0296,1.0296,1.0296,0.0016538574,2023-11-03
1.0313,1.0313,1.0313,0.0016511267,2023-11-10
1.0365,1.0365,1.0365,0.0050421798,2023-11-17
1.0374,1.0374,1.0374,0.0008683068,2023-11-24
1.0341,1.0341,1.0341,-0.0031810295,2023-11-30
1.0358,1.0358,1.0358,0.0016439416,2023-12-01
1.0234,1.0234,1.0234,-0.0119714231,2023-12-08
1.0287,1.0287,1.0287,0.0051788157,2023-12-15
1.0253,1.0253,1.0253,-0.0033051424,2023-12-22
1.0321,1.0321,1.0321,0.0066322052,2023-12-29
1.0358,1.0358,1.0358,0.0035849239,2024-01-05
1.0374,1.0374,1.0374,0.0015446997,2024-01-12
1.033,1.033,1.033,-0.0042413727,2024-01-19
1.0389,1.0389,1.0389,0.0057115198,2024-01-26
1.0194,1.0194,1.0194,-0.0187698527,2024-01-31
1.0114,1.0114,1.0114,-0.0078477536,2024-02-02
1.0034,1.0034,1.0034,-0.007909828,2024-02-08
1.0192,1.0192,1.0192,0.015746462,2024-02-23
1.0216,1.0216,1.0216,0.0023547881,2024-02-29
1.0213,1.0213,1.0213,-0.000293657,2024-03-01
1.0189,1.0189,1.0189,-0.0023499461,2024-03-08
1.0287,1.0287,1.0287,0.0096182157,2024-03-15
1.0341,1.0341,1.0341,0.0052493438,2024-03-22
1.0325,1.0325,1.0325,-0.0015472391,2024-03-29
1.0335,1.0335,1.0335,0.000968523,2024-04-03
1.0226,1.0226,1.0226,-0.010546686,2024-04-12
1.0194,1.0194,1.0194,-0.0031292783,2024-04-19
1.0219,1.0219,1.0219,0.002452423,2024-04-26
1.0296,1.0296,1.0296,0.0075349839,2024-04-30
