nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2019-09-04
1.0,1.0,1.0,0.0,2019-09-06
0.9998,0.9998,0.9998,-0.0002,2019-09-12
0.9991,0.9991,0.9991,-0.00070014,2019-09-20
0.9816,0.9816,0.9816,-0.0175157642,2019-09-27
0.966,0.966,0.966,-0.0158924205,2019-09-30
0.9918,0.9918,0.9918,0.0267080745,2019-10-11
0.9777,0.9777,0.9777,-0.0142165759,2019-10-18
0.9814,0.9814,0.9814,0.0037843919,2019-10-25
0.9723,0.9723,0.9723,-0.0092724679,2019-10-31
0.9817,0.9817,0.9817,0.009667798,2019-11-01
0.9979,0.9979,0.9979,0.0165019864,2019-11-08
0.9747,0.9747,0.9747,-0.0232488225,2019-11-15
0.987,0.987,0.987,0.0126192675,2019-11-22
0.9797,0.9797,0.9797,-0.0073961499,2019-11-29
1.004,1.004,1.004,0.0248035113,2019-12-06
1.016,1.016,1.016,0.0119521912,2019-12-13
1.0342,1.0342,1.0342,0.0179133858,2019-12-20
1.0394,1.0394,1.0394,0.005028041,2019-12-27
1.0602,1.0602,1.0602,0.0200115451,2019-12-31
1.0799,1.0799,1.0799,0.0185813997,2020-01-03
1.104,1.104,1.104,0.0223168812,2020-01-10
1.1158,1.1158,1.1158,0.0106884058,2020-01-17
1.0812,1.0812,1.0812,-0.0310091414,2020-01-23
1.0324,1.0324,1.0324,-0.0451350351,2020-02-07
1.0526,1.0526,1.0526,0.0195660597,2020-02-14
1.1381,1.1381,1.1381,0.0812274368,2020-02-21
1.0763,1.0763,1.0763,-0.054301028,2020-02-28
1.1489,1.1489,1.1489,0.0674533123,2020-03-06
1.0908,1.0908,1.0908,-0.0505701105,2020-03-13
1.0537,1.0537,1.0537,-0.0340117345,2020-03-20
1.0512,1.0512,1.0512,-0.0023725918,2020-03-27
1.0368,1.0368,1.0368,-0.0136986301,2020-03-31
1.0509,1.0509,1.0509,0.013599537,2020-04-03
1.0654,1.0654,1.0654,0.0137976972,2020-04-10
1.081,1.081,1.081,0.0146423878,2020-04-17
1.0709,1.0709,1.0709,-0.0093432007,2020-04-24
1.0941,1.0941,1.0941,0.0216640209,2020-04-30
1.1197,1.1197,1.1197,0.0233982269,2020-05-08
1.113,1.113,1.113,-0.0059837456,2020-05-15
1.0693,1.0693,1.0693,-0.0392632525,2020-05-22
1.0817,1.0817,1.0817,0.0115963715,2020-05-29
1.1377,1.1377,1.1377,0.0517703615,2020-06-05
1.1546,1.1546,1.1546,0.0148545311,2020-06-12
1.1968,1.1968,1.1968,0.0365494544,2020-06-19
1.211,1.211,1.211,0.0118649733,2020-06-24
1.2282,1.2282,1.2282,0.0142031379,2020-06-30
1.2698,1.2698,1.2698,0.0338707051,2020-07-03
1.3934,1.3934,1.3934,0.0973381635,2020-07-10
1.3311,1.3311,1.3311,-0.0447107794,2020-07-17
1.3191,1.3191,1.3191,-0.0090151003,2020-07-24
1.4067,1.4067,1.4067,0.0664089152,2020-07-31
1.4146,1.4146,1.4146,0.0056159807,2020-08-07
1.4141,1.4141,1.4141,-0.0003534568,2020-08-14
1.4423,1.4423,1.4423,0.0199420126,2020-08-21
1.4999,1.4999,1.4999,0.039936213,2020-08-28
1.4999,1.4999,1.4999,0.0,2020-08-31
1.5234,1.5234,1.5234,0.0156677112,2020-09-04
1.4618,1.4618,1.4618,-0.0404358671,2020-09-11
1.506,1.506,1.506,0.0302366945,2020-09-18
1.4528,1.4528,1.4528,-0.0353253652,2020-09-25
1.4496,1.4496,1.4496,-0.0022026432,2020-09-30
1.5001,1.5001,1.5001,0.0348371965,2020-10-09
1.5529,1.5529,1.5529,0.0351976535,2020-10-16
1.508,1.508,1.508,-0.0289136454,2020-10-23
1.4904,1.4904,1.4904,-0.0116710875,2020-10-30
1.5278,1.5278,1.5278,0.0250939345,2020-11-06
1.5166,1.5166,1.5166,-0.0073308025,2020-11-13
1.5388,1.5388,1.5388,0.0146380061,2020-11-20
1.5321,1.5321,1.5321,-0.0043540421,2020-11-27
1.5282,1.5282,1.5282,-0.0025455257,2020-11-30
1.5651,1.5651,1.5651,0.0241460542,2020-12-04
1.4811,1.4811,1.4811,-0.053670692,2020-12-11
1.4917,1.4917,1.4917,0.0071568429,2020-12-18
1.4683,1.4683,1.4683,-0.0156868003,2020-12-25
1.47,1.47,1.47,0.0011578015,2020-12-31
1.4523,1.4523,1.4523,-0.0120408163,2021-01-08
1.4558,1.4558,1.4558,0.0024099704,2021-01-15
1.4837,1.4837,1.4837,0.0191647204,2021-01-22
1.4085,1.4085,1.4085,-0.0506841006,2021-01-29
1.3688,1.3688,1.3688,-0.0281860135,2021-02-05
1.4194,1.4194,1.4194,0.0369666861,2021-02-10
1.48,1.48,1.48,0.0426940961,2021-02-19
1.427,1.427,1.427,-0.0358108108,2021-02-26
1.4532,1.4532,1.4532,0.0183601962,2021-03-05
1.4239,1.4239,1.4239,-0.0201624002,2021-03-12
1.4271,1.4271,1.4271,0.0022473488,2021-03-19
1.441,1.441,1.441,0.0097400322,2021-03-26
1.4377,1.4377,1.4377,-0.0022900763,2021-03-31
1.4514,1.4514,1.4514,0.009529109,2021-04-02
1.4574,1.4574,1.4574,0.0041339396,2021-04-09
1.4532,1.4532,1.4532,-0.0028818444,2021-04-16
1.48,1.48,1.48,0.0184420589,2021-04-23
1.4634,1.4634,1.4634,-0.0112162162,2021-04-30
1.4502,1.4502,1.4502,-0.0090200902,2021-05-07
1.4709,1.4709,1.4709,0.0142738933,2021-05-14
1.4642,1.4642,1.4642,-0.0045550343,2021-05-21
1.4965,1.4965,1.4965,0.0220598279,2021-05-28
1.5097,1.5097,1.5097,0.0088205814,2021-05-31
1.5098,1.5098,1.5098,6.62383e-05,2021-06-04
1.5146,1.5146,1.5146,0.003179229,2021-06-11
1.4962,1.4962,1.4962,-0.012148422,2021-06-18
1.5258,1.5258,1.5258,0.0197834514,2021-06-25
1.5307,1.5307,1.5307,0.0032114301,2021-06-30
1.4966,1.4966,1.4966,-0.0222773894,2021-07-02
1.5287,1.5287,1.5287,0.0214486169,2021-07-09
1.565,1.565,1.565,0.0237456663,2021-07-16
1.5765,1.5765,1.5765,0.0073482428,2021-07-23
1.5436,1.5436,1.5436,-0.0208690136,2021-07-30
1.5913,1.5913,1.5913,0.030901788,2021-08-06
1.6387,1.6387,1.6387,0.0297869666,2021-08-13
1.5995,1.5995,1.5995,-0.0239214011,2021-08-20
1.6281,1.6281,1.6281,0.0178805877,2021-08-27
1.635,1.635,1.635,0.0042380689,2021-08-31
1.6438,1.6438,1.6438,0.005382263,2021-09-03
1.7124,1.7124,1.7124,0.0417325709,2021-09-10
1.6832,1.6832,1.6832,-0.0170520906,2021-09-17
1.6569,1.6569,1.6569,-0.015625,2021-09-24
1.5982,1.5982,1.5982,-0.0354276058,2021-09-30
1.6153,1.6153,1.6153,0.010699537,2021-10-08
1.6112,1.6112,1.6112,-0.0025382282,2021-10-15
1.6051,1.6051,1.6051,-0.003785998,2021-10-22
1.5912,1.5912,1.5912,-0.0086598966,2021-10-29
1.6144,1.6144,1.6144,0.0145801911,2021-11-05
1.6809,1.6809,1.6809,0.041191774,2021-11-12
1.6856,1.6856,1.6856,0.0027961211,2021-11-19
1.7017,1.7017,1.7017,0.009551495,2021-11-26
1.7168,1.7168,1.7168,0.0088734795,2021-11-30
1.7269,1.7269,1.7269,0.0058830382,2021-12-03
1.7285,1.7285,1.7285,0.0009265157,2021-12-10
1.7231,1.7231,1.7231,-0.003124096,2021-12-17
1.6861,1.6861,1.6861,-0.0214729267,2021-12-24
1.7351,1.7351,1.7351,0.029061147,2021-12-31
1.6928,1.6928,1.6928,-0.0243789983,2022-01-07
1.6896,1.6896,1.6896,-0.0018903592,2022-01-14
1.6605,1.6605,1.6605,-0.0172230114,2022-01-21
1.565,1.565,1.565,-0.0575127974,2022-01-28
1.6188,1.6188,1.6188,0.0343769968,2022-02-11
1.155,1.6383,1.6383,0.01204596,2022-02-18
1.1491,1.6324,1.62993119,-0.0051082251,2022-02-25
1.1514,1.6347,1.63319361,0.0020015664,2022-02-28
1.1547,1.638,1.63787447,0.0028660761,2022-03-04
1.11,1.5933,1.57447013,-0.0387113536,2022-03-11
1.0808,1.5641,1.53305164,-0.0263063063,2022-03-18
1.086,1.5693,1.54042753,0.0048112509,2022-03-25
1.0994,1.5827,1.55943465,0.0123388582,2022-03-31
1.1014,1.5847,1.56227153,0.0018191741,2022-04-01
1.0843,1.5676,1.53801618,-0.0155256946,2022-04-08
