nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0001,1.0001,1.0001,0.0,2020-03-09
1.0001,1.0001,1.0001,0.0,2020-03-10
1.0001,1.0001,1.0001,0.0,2020-03-11
1.0071,1.0071,1.0071,0.0069993001,2020-03-12
1.0083,1.0083,1.0083,0.0011915401,2020-03-13
1.0114,1.0114,1.0114,0.0030744818,2020-03-16
1.0068,1.0068,1.0068,-0.0045481511,2020-03-17
1.0101,1.0101,1.0101,0.0032777116,2020-03-18
1.0118,1.0118,1.0118,0.0016830017,2020-03-19
1.0134,1.0134,1.0134,0.0015813402,2020-03-20
1.0147,1.0147,1.0147,0.0012828103,2020-03-23
1.0131,1.0131,1.0131,-0.0015768207,2020-03-24
1.0124,1.0124,1.0124,-0.0006909486,2020-03-25
1.0134,1.0134,1.0134,0.0009877519,2020-03-26
1.0145,1.0145,1.0145,0.0010854549,2020-03-27
1.0154,1.0154,1.0154,0.0008871365,2020-03-30
1.015,1.015,1.015,-0.0003939334,2020-03-31
1.0157,1.0157,1.0157,0.0006896552,2020-04-01
1.0404,1.0404,1.0404,0.0243182042,2020-04-02
1.0363,1.0363,1.0363,-0.003940792,2020-04-03
1.0706,1.0706,1.0706,0.0330985236,2020-04-07
1.0727,1.0727,1.0727,0.0019615169,2020-04-08
1.0821,1.0821,1.0821,0.0087629347,2020-04-09
1.062,1.062,1.062,-0.0185749931,2020-04-10
1.0537,1.0537,1.0537,-0.0078154426,2020-04-13
1.0734,1.0734,1.0734,0.0186960235,2020-04-14
1.0742,1.0742,1.0742,0.0007452953,2020-04-15
1.086,1.086,1.086,0.010984919,2020-04-16
1.0857,1.0857,1.0857,-0.0002762431,2020-04-17
1.0941,1.0941,1.0941,0.0077369439,2020-04-20
1.0821,1.0821,1.0821,-0.0109679188,2020-04-21
1.091,1.091,1.091,0.0082247482,2020-04-22
1.0921,1.0921,1.0921,0.0010082493,2020-04-23
1.0764,1.0764,1.0764,-0.0143759729,2020-04-24
1.0765,1.0765,1.0765,9.29023e-05,2020-04-27
1.0678,1.0678,1.0678,-0.0080817464,2020-04-28
1.0712,1.0712,1.0712,0.0031841169,2020-04-29
1.1021,1.1021,1.1021,0.0288461538,2020-04-30
1.1171,1.1171,1.1171,0.0136103802,2020-05-06
1.116,1.116,1.116,-0.0009846925,2020-05-07
1.1297,1.1297,1.1297,0.0122759857,2020-05-08
1.1254,1.1254,1.1254,-0.0038063203,2020-05-11
1.1292,1.1292,1.1292,0.0033765772,2020-05-12
1.1355,1.1355,1.1355,0.0055791711,2020-05-13
1.1293,1.1293,1.1293,-0.0054601497,2020-05-14
1.1347,1.1347,1.1347,0.0047817232,2020-05-15
1.1301,1.1301,1.1301,-0.004053935,2020-05-18
1.1399,1.1399,1.1399,0.008671799,2020-05-19
1.1292,1.1292,1.1292,-0.0093867883,2020-05-20
1.119,1.119,1.119,-0.0090329437,2020-05-21
1.1042,1.1042,1.1042,-0.0132260947,2020-05-22
1.0957,1.0957,1.0957,-0.0076978808,2020-05-25
1.116,1.116,1.116,0.0185269691,2020-05-26
1.1063,1.1063,1.1063,-0.0086917563,2020-05-27
1.1017,1.1017,1.1017,-0.0041580042,2020-05-28
1.1133,1.1133,1.1133,0.0105291822,2020-05-29
1.155,1.155,1.155,0.0374562113,2020-06-01
1.1556,1.1556,1.1556,0.0005194805,2020-06-02
1.1588,1.1588,1.1588,0.0027691243,2020-06-03
1.1571,1.1571,1.1571,-0.0014670349,2020-06-04
1.1588,1.1588,1.1588,0.0014691902,2020-06-05
1.1566,1.1566,1.1566,-0.0018985157,2020-06-08
1.1642,1.1642,1.1642,0.0065709839,2020-06-09
1.1654,1.1654,1.1654,0.0010307507,2020-06-10
1.1618,1.1618,1.1618,-0.0030890681,2020-06-11
1.1709,1.1709,1.1709,0.0078326734,2020-06-12
1.1679,1.1679,1.1679,-0.0025621317,2020-06-15
1.1882,1.1882,1.1882,0.0173816251,2020-06-16
1.1938,1.1938,1.1938,0.0047130113,2020-06-17
1.201,1.201,1.201,0.006031161,2020-06-18
1.2162,1.2162,1.2162,0.0126561199,2020-06-19
1.2148,1.2148,1.2148,-0.0011511265,2020-06-22
1.22,1.22,1.22,0.00428054,2020-06-23
1.2184,1.2184,1.2184,-0.0013114754,2020-06-24
1.2102,1.2102,1.2102,-0.0067301379,2020-06-29
1.2323,1.2323,1.2323,0.0182614444,2020-06-30
1.2356,1.2356,1.2356,0.0026779193,2020-07-01
1.2617,1.2617,1.2617,0.0211233409,2020-07-02
1.2773,1.2773,1.2773,0.0123642704,2020-07-03
1.3496,1.3496,1.3496,0.0566037736,2020-07-06
1.3721,1.3721,1.3721,0.0166716064,2020-07-07
1.3856,1.3856,1.3856,0.009838933,2020-07-08
1.4144,1.4144,1.4144,0.0207852194,2020-07-09
1.4198,1.4198,1.4198,0.0038178733,2020-07-10
1.4595,1.4595,1.4595,0.0279616847,2020-07-13
1.4314,1.4314,1.4314,-0.0192531689,2020-07-14
1.4157,1.4157,1.4157,-0.0109682828,2020-07-15
1.3463,1.3463,1.3463,-0.0490216854,2020-07-16
1.349,1.349,1.349,0.0020054965,2020-07-17
1.3716,1.3716,1.3716,0.0167531505,2020-07-20
1.3818,1.3818,1.3818,0.0074365704,2020-07-21
1.4004,1.4004,1.4004,0.0134607034,2020-07-22
1.3981,1.3981,1.3981,-0.0016423879,2020-07-23
1.326,1.326,1.326,-0.0515699878,2020-07-24
1.3235,1.3235,1.3235,-0.0018853695,2020-07-27
1.3289,1.3289,1.3289,0.0040800907,2020-07-28
1.3821,1.3821,1.3821,0.0400331101,2020-07-29
1.3784,1.3784,1.3784,-0.0026770856,2020-07-30
1.3911,1.3911,1.3911,0.009213581,2020-07-31
1.4264,1.4264,1.4264,0.025375602,2020-08-03
1.4202,1.4202,1.4202,-0.0043466068,2020-08-04
1.4314,1.4314,1.4314,0.0078862132,2020-08-05
1.4308,1.4308,1.4308,-0.00041917,2020-08-06
1.4137,1.4137,1.4137,-0.0119513559,2020-08-07
1.4291,1.4291,1.4291,0.0108934003,2020-08-10
1.4023,1.4023,1.4023,-0.0187530614,2020-08-11
1.3742,1.3742,1.3742,-0.0200385082,2020-08-12
1.3811,1.3811,1.3811,0.0050211032,2020-08-13
1.4071,1.4071,1.4071,0.0188255738,2020-08-14
1.4331,1.4331,1.4331,0.0184777201,2020-08-17
1.444,1.444,1.444,0.0076058893,2020-08-18
1.4205,1.4205,1.4205,-0.0162742382,2020-08-19
1.4076,1.4076,1.4076,-0.0090813094,2020-08-20
1.4141,1.4141,1.4141,0.0046177891,2020-08-21
1.429,1.429,1.429,0.0105367371,2020-08-24
1.5954,1.5954,1.5954,0.1164450665,2020-08-25
1.5674,1.5674,1.5674,-0.0175504576,2020-08-26
1.5879,1.5879,1.5879,0.0130789843,2020-08-27
1.6222,1.6222,1.6222,0.0216008565,2020-08-28
1.6178,1.6178,1.6178,-0.0027123659,2020-08-31
1.6201,1.6201,1.6201,0.0014216838,2020-09-01
1.6212,1.6212,1.6212,0.0006789704,2020-09-02
1.6069,1.6069,1.6069,-0.0088206267,2020-09-03
1.6079,1.6079,1.6079,0.0006223163,2020-09-04
1.5798,1.5798,1.5798,-0.0174762112,2020-09-07
1.5908,1.5908,1.5908,0.0069629067,2020-09-08
1.5566,1.5566,1.5566,-0.021498617,2020-09-09
1.5316,1.5316,1.5316,-0.016060645,2020-09-10
1.5413,1.5413,1.5413,0.0063332463,2020-09-11
1.5449,1.5449,1.5449,0.0023356907,2020-09-14
1.558,1.558,1.558,0.0084795132,2020-09-15
1.5528,1.5528,1.5528,-0.0033376123,2020-09-16
1.5685,1.5685,1.5685,0.0101107676,2020-09-17
1.5807,1.5807,1.5807,0.007778132,2020-09-18
1.5732,1.5732,1.5732,-0.0047447333,2020-09-21
1.5591,1.5591,1.5591,-0.008962624,2020-09-22
1.5649,1.5649,1.5649,0.0037200949,2020-09-23
1.5398,1.5398,1.5398,-0.0160393635,2020-09-24
1.5401,1.5401,1.5401,0.0001948305,2020-09-25
1.5295,1.5295,1.5295,-0.00688267,2020-09-28
1.5466,1.5466,1.5466,0.0111801242,2020-09-29
1.5366,1.5366,1.5366,-0.0064657959,2020-09-30
1.5864,1.5864,1.5864,0.0324092152,2020-10-09
1.6415,1.6415,1.6415,0.0347327282,2020-10-12
1.6453,1.6453,1.6453,0.0023149558,2020-10-13
1.6346,1.6346,1.6346,-0.0065033732,2020-10-14
1.6254,1.6254,1.6254,-0.0056282883,2020-10-15
1.6139,1.6139,1.6139,-0.0070751815,2020-10-16
1.595,1.595,1.595,-0.0117107627,2020-10-19
1.6145,1.6145,1.6145,0.0122257053,2020-10-20
1.5905,1.5905,1.5905,-0.0148652834,2020-10-21
1.5809,1.5809,1.5809,-0.0060358378,2020-10-22
1.548,1.548,1.548,-0.0208109305,2020-10-23
1.5495,1.5495,1.5495,0.0009689922,2020-10-26
1.5601,1.5601,1.5601,0.0068409164,2020-10-27
1.5696,1.5696,1.5696,0.0060893532,2020-10-28
1.5747,1.5747,1.5747,0.0032492355,2020-10-29
1.5307,1.5307,1.5307,-0.0279418302,2020-10-30
1.5385,1.5385,1.5385,0.0050957078,2020-11-02
1.554,1.554,1.554,0.0100747481,2020-11-03
1.552,1.552,1.552,-0.0012870013,2020-11-04
1.5981,1.5981,1.5981,0.0297036082,2020-11-05
1.5752,1.5752,1.5752,-0.0143295163,2020-11-06
1.6176,1.6176,1.6176,0.0269172169,2020-11-09
1.5989,1.5989,1.5989,-0.0115603363,2020-11-10
1.5806,1.5806,1.5806,-0.0114453687,2020-11-11
1.5822,1.5822,1.5822,0.0010122738,2020-11-12
1.5757,1.5757,1.5757,-0.0041082038,2020-11-13
1.6036,1.6036,1.6036,0.0177064162,2020-11-16
1.5911,1.5911,1.5911,-0.0077949613,2020-11-17
1.5948,1.5948,1.5948,0.0023254352,2020-11-18
1.6071,1.6071,1.6071,0.0077125658,2020-11-19
1.6304,1.6304,1.6304,0.0144981644,2020-11-20
1.6517,1.6517,1.6517,0.0130642787,2020-11-23
1.6462,1.6462,1.6462,-0.0033299025,2020-11-24
1.6121,1.6121,1.6121,-0.0207143725,2020-11-25
1.6049,1.6049,1.6049,-0.0044662242,2020-11-26
1.6088,1.6088,1.6088,0.0024300579,2020-11-27
1.6042,1.6042,1.6042,-0.002859274,2020-11-30
1.6415,1.6415,1.6415,0.0232514649,2020-12-01
1.6401,1.6401,1.6401,-0.0008528785,2020-12-02
1.6433,1.6433,1.6433,0.0019511005,2020-12-03
1.6508,1.6508,1.6508,0.0045639871,2020-12-04
1.6367,1.6367,1.6367,-0.0085413133,2020-12-07
