nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.043,1.043,1.043,0.0,2025-01-09
1.043,1.043,1.043,0.0,2025-01-10
1.043,1.043,1.043,0.0,2025-01-13
1.044,1.044,1.044,0.0009587728,2025-01-14
1.044,1.044,1.044,0.0,2025-01-15
1.044,1.044,1.044,0.0,2025-01-16
1.043,1.043,1.043,-0.0009578544,2025-01-17
1.043,1.043,1.043,0.0,2025-01-20
1.044,1.044,1.044,0.0009587728,2025-01-21
1.044,1.044,1.044,0.0,2025-01-22
1.044,1.044,1.044,0.0,2025-01-23
1.044,1.044,1.044,0.0,2025-01-24
1.046,1.046,1.046,0.0019157088,2025-01-27
1.045,1.045,1.045,-0.0009560229,2025-02-05
1.045,1.045,1.045,0.0,2025-02-06
1.047,1.047,1.047,0.0019138756,2025-02-07
1.045,1.045,1.045,-0.0019102197,2025-02-10
1.046,1.046,1.046,0.0009569378,2025-02-11
1.046,1.046,1.046,0.0,2025-02-12
1.044,1.044,1.044,-0.0019120459,2025-02-13
1.045,1.045,1.045,0.0009578544,2025-02-14
1.046,1.046,1.046,0.0009569378,2025-02-17
1.044,1.044,1.044,-0.0019120459,2025-02-18
1.044,1.044,1.044,0.0,2025-02-19
1.045,1.045,1.045,0.0009578544,2025-02-20
1.044,1.044,1.044,-0.0009569378,2025-02-21
1.043,1.043,1.043,-0.0009578544,2025-02-24
1.043,1.043,1.043,0.0,2025-02-25
1.044,1.044,1.044,0.0009587728,2025-02-26
1.043,1.043,1.043,-0.0009578544,2025-02-27
1.044,1.044,1.044,0.0009587728,2025-02-28
1.045,1.045,1.045,0.0009578544,2025-03-03
1.045,1.045,1.045,0.0,2025-03-04
1.046,1.046,1.046,0.0009569378,2025-03-05
1.045,1.045,1.045,-0.0009560229,2025-03-06
1.045,1.045,1.045,0.0,2025-03-07
1.045,1.045,1.045,0.0,2025-03-10
1.046,1.046,1.046,0.0009569378,2025-03-11
1.044,1.044,1.044,-0.0019120459,2025-03-12
1.045,1.045,1.045,0.0009578544,2025-03-13
1.043,1.043,1.043,-0.0019138756,2025-03-14
1.04,1.04,1.04,-0.0028763183,2025-03-17
1.04,1.04,1.04,0.0,2025-03-18
1.04,1.04,1.04,0.0,2025-03-19
1.042,1.042,1.042,0.0019230769,2025-03-20
1.042,1.042,1.042,0.0,2025-03-21
1.043,1.043,1.043,0.0009596929,2025-03-24
1.042,1.042,1.042,-0.0009587728,2025-03-25
1.043,1.043,1.043,0.0009596929,2025-03-26
1.043,1.043,1.043,0.0,2025-03-27
1.042,1.042,1.042,-0.0009587728,2025-03-28
1.042,1.042,1.042,0.0,2025-03-31
1.042,1.042,1.042,0.0,2025-04-01
1.043,1.043,1.043,0.0009596929,2025-04-02
1.046,1.046,1.046,0.0028763183,2025-04-03
1.056,1.056,1.056,0.0095602294,2025-04-07
1.054,1.054,1.054,-0.0018939394,2025-04-08
1.055,1.055,1.055,0.0009487666,2025-04-09
1.054,1.054,1.054,-0.0009478673,2025-04-10
1.054,1.054,1.054,0.0,2025-04-11
1.054,1.054,1.054,0.0,2025-04-14
1.055,1.055,1.055,0.0009487666,2025-04-15
1.057,1.057,1.057,0.0018957346,2025-04-16
1.055,1.055,1.055,-0.0018921476,2025-04-17
1.055,1.055,1.055,0.0,2025-04-18
1.054,1.054,1.054,-0.0009478673,2025-04-21
1.054,1.054,1.054,0.0,2025-04-22
1.054,1.054,1.054,0.0,2025-04-23
1.053,1.053,1.053,-0.0009487666,2025-04-24
1.053,1.053,1.053,0.0,2025-04-25
1.054,1.054,1.054,0.0009496676,2025-04-28
1.055,1.055,1.055,0.0009487666,2025-04-29
1.055,1.055,1.055,0.0,2025-04-30
1.055,1.055,1.055,0.0,2025-05-06
1.055,1.055,1.055,0.0,2025-05-07
1.053,1.053,1.053,-0.0018957346,2025-05-08
1.053,1.053,1.053,0.0,2025-05-09
1.052,1.052,1.052,-0.0009496676,2025-05-12
1.053,1.053,1.053,0.0009505703,2025-05-13
1.053,1.053,1.053,0.0,2025-05-14
1.053,1.053,1.053,0.0,2025-05-15
1.054,1.054,1.054,0.0009496676,2025-05-16
1.053,1.053,1.053,-0.0009487666,2025-05-19
1.052,1.052,1.052,-0.0009496676,2025-05-20
1.053,1.053,1.053,0.0009505703,2025-05-21
1.053,1.053,1.053,0.0,2025-05-22
