nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2025-05-14
1.0,1.0,1.0,0.0,2025-05-16
1.0103,1.0103,1.0103,0.0103,2025-05-23
3.5821,3.5821,3.5821,2.5455805206,2025-05-30
3.5829,3.5829,3.5829,0.0002233327,2025-06-06
3.5837,3.5837,3.5837,0.0002232828,2025-06-13
3.5845,3.5845,3.5845,0.000223233,2025-06-20
3.5854,3.5854,3.5854,0.000251081,2025-06-27
3.5857,3.5857,3.5857,8.36727e-05,2025-06-30
3.5862,3.5862,3.5862,0.0001394428,2025-07-04
3.587,3.587,3.587,0.0002230774,2025-07-11
3.5878,3.5878,3.5878,0.0002230276,2025-07-18
3.5881,3.5881,3.5881,8.36167e-05,2025-07-25
3.5915,3.5915,3.5915,0.0009475767,2025-07-31
3.5915,3.5915,3.5915,0.0,2025-08-01
3.5945,3.5945,3.5945,0.0008353056,2025-08-08
1.0,6.4302,6.4302,0.7888997079,2025-08-15
1.083,6.5132,6.9639066,0.083,2025-08-22
1.0435,6.4737,6.7099137,-0.0364727608,2025-08-29
0.9889,6.4191,6.35882478,-0.0523239099,2025-09-05
0.9938,6.424,6.39033276,0.0049550005,2025-09-12
1.0224,6.4526,6.57423648,0.0287784262,2025-09-19
1.0577,6.4879,6.80122254,0.0345266041,2025-09-26
1.0786,6.5088,6.93561372,0.0197598563,2025-09-30
1.0992,6.5294,7.06807584,0.0190988318,2025-10-10
1.0704,6.5006,6.88288608,-0.0262008734,2025-10-17
1.1143,6.5445,7.16517186,0.0410127055,2025-10-24
1.1252,6.5554,7.23526104,0.0097819259,2025-10-31
1.1143,6.5445,7.16517186,-0.0096871667,2025-11-07
1.0999,6.5301,7.07257698,-0.0129229112,2025-11-14
1.0596,6.4898,6.81343992,-0.0366396945,2025-11-21
1.0912,6.5214,7.01663424,0.0298225746,2025-11-28
1.1259,6.5561,7.23976218,0.0317998534,2025-12-05
1.1758,6.606,7.56062916,0.0443200995,2025-12-12
1.1673,6.5975,7.50597246,-0.0072291206,2025-12-19
0.9972,6.6039,7.54712574,0.0054827379,2025-12-23
1.0183,6.625,7.70681723,0.0211592459,2025-12-26
1.028,6.6347,7.7802299,0.0095256801,2025-12-31
1.0992,6.7059,8.31909408,0.0692607004,2026-01-09
1.1103,6.717,8.4031024,0.0100982533,2026-01-16
1.1679,6.7746,8.83903746,0.0518778708,2026-01-23
1.1573,6.764,8.7588133,-0.0090761195,2026-01-30
1.1333,6.74,8.57717369,-0.0207379245,2026-02-06
1.1433,6.75,8.65285686,0.0088237889,2026-02-13
1.2043,6.811,9.1145242,0.0533543252,2026-02-27
1.1934,6.8001,9.03202954,-0.0090509009,2026-03-06
1.1595,6.7662,8.77546359,-0.0284062343,2026-03-13
1.1227,6.7294,8.49694953,-0.031737818,2026-03-20
1.1443,6.751,8.66042517,0.0192393337,2026-03-27
1.1474,6.7541,8.68388696,0.0027090798,2026-04-03
1.1932,6.7999,9.03051588,0.0399163326,2026-04-10
1.23,6.8367,9.30902994,0.0308414348,2026-04-17
1.2277,6.8344,9.29162281,-0.0018699187,2026-04-24
1.2441,6.8508,9.41574321,0.0133583123,2026-04-30
1.2741,6.8808,9.64279272,0.0241138172,2026-05-08
1.3513,6.958,10.2270668,0.0605917903,2026-05-15
1.3413,6.948,10.15138363,-0.0074002812,2026-05-22
