nav,cumulative_nav_withdrawal,cumulative_nav,price_change,price_date
1.0,1.0,1.0,0.0,2015-05-06
1.0,1.0,1.0,0.0,2015-05-19
0.9999,0.9999,0.9999,-0.0001,2015-05-22
1.0,1.0,1.0,0.00010001,2015-05-27
0.9628,0.9628,0.9628,-0.0372,2015-05-29
1.132,1.132,1.132,0.1757374325,2015-06-05
1.2095,1.2095,1.2095,0.0684628975,2015-06-12
1.0649,1.0649,1.0649,-0.1195535345,2015-06-19
1.0474,1.0474,1.0474,-0.0164334679,2015-06-26
1.1212,1.1212,1.1212,0.0704601871,2015-06-30
1.1559,1.1559,1.1559,0.0309489832,2015-07-01
1.0557,1.0557,1.0557,-0.0866856995,2015-07-03
0.9912,0.9912,0.9912,-0.0610969025,2015-07-10
0.9874,0.9874,0.9874,-0.0038337369,2015-07-17
1.0875,1.0875,1.0875,0.1013773547,2015-07-24
1.0697,1.0697,1.0697,-0.0163678161,2015-07-31
1.0993,1.0993,1.0993,0.0276713097,2015-08-07
1.1651,1.1651,1.1651,0.0598562722,2015-08-14
1.0532,1.0532,1.0532,-0.0960432581,2015-08-21
0.9895,0.9895,0.9895,-0.0604823395,2015-08-28
0.9902,0.9902,0.9902,0.000707428,2015-08-31
0.9236,0.9236,0.9236,-0.0672591396,2015-09-02
0.9344,0.9344,0.9344,0.0116933738,2015-09-11
0.9307,0.9307,0.9307,-0.0039597603,2015-09-18
0.9744,0.9744,0.9744,0.0469539057,2015-09-25
0.9343,0.9343,0.9343,-0.0411535304,2015-09-30
0.9585,0.9585,0.9585,0.0259017446,2015-10-09
1.1704,1.1704,1.1704,0.2210745957,2015-10-16
1.2838,1.2838,1.2838,0.0968899522,2015-10-23
1.1785,1.1785,1.1785,-0.0820221218,2015-10-30
1.2198,1.2198,1.2198,0.0350445482,2015-11-06
1.1875,1.1875,1.1875,-0.0264797508,2015-11-13
1.2047,1.2047,1.2047,0.0144842105,2015-11-20
1.1723,1.1723,1.1723,-0.0268946626,2015-11-27
1.1436,1.1436,1.1436,-0.0244817879,2015-11-30
1.3475,1.3475,1.3475,0.1782966072,2015-12-04
1.3471,1.3471,1.3471,-0.000296846,2015-12-11
1.3274,1.3274,1.3274,-0.0146240071,2015-12-18
1.3145,1.3145,1.3145,-0.0097182462,2015-12-25
1.2854,1.2854,1.2854,-0.0221376949,2015-12-31
1.2755,1.2755,1.2755,-0.0077018827,2016-01-08
1.2657,1.2657,1.2657,-0.0076832615,2016-01-15
1.2792,1.2792,1.2792,0.0106660346,2016-01-22
1.2703,1.2703,1.2703,-0.0069574734,2016-01-29
1.2784,1.2784,1.2784,0.0063764465,2016-02-05
1.2766,1.2766,1.2766,-0.00140801,2016-02-19
1.2815,1.2815,1.2815,0.0038383205,2016-02-26
1.2761,1.2761,1.2761,-0.0042138119,2016-02-29
1.2761,1.2761,1.2761,0.0,2016-03-04
1.2704,1.2704,1.2704,-0.0044667346,2016-03-11
1.2854,1.2854,1.2854,0.0118073048,2016-03-18
1.2844,1.2844,1.2844,-0.0007779679,2016-03-25
1.284,1.284,1.284,-0.0003114295,2016-03-31
1.281,1.281,1.281,-0.0023364486,2016-04-01
1.279,1.279,1.279,-0.0015612802,2016-04-08
1.2817,1.2817,1.2817,0.0021110242,2016-04-15
1.2752,1.2752,1.2752,-0.0050713896,2016-04-22
1.2772,1.2772,1.2772,0.0015683814,2016-04-29
1.2742,1.2742,1.2742,-0.0023488882,2016-05-06
1.2723,1.2723,1.2723,-0.0014911317,2016-05-13
1.2654,1.2654,1.2654,-0.0054232492,2016-05-20
1.2628,1.2628,1.2628,-0.0020546863,2016-05-26
1.2606,1.2606,1.2606,-0.0017421603,2016-05-27
1.2623,1.2623,1.2623,0.0013485642,2016-05-31
1.2101,1.2101,1.2101,-0.0413530856,2016-06-03
1.1176,1.1176,1.1176,-0.0764399636,2016-06-08
1.036,1.036,1.036,-0.0730136006,2016-06-17
0.9977,0.9977,0.9977,-0.036969112,2016-06-24
1.0428,1.0428,1.0428,0.0452039691,2016-06-30
1.0242,1.0242,1.0242,-0.0178365938,2016-07-01
1.0249,1.0249,1.0249,0.0006834603,2016-07-08
0.9972,0.9972,0.9972,-0.027027027,2016-07-15
0.9455,0.9455,0.9455,-0.0518451665,2016-07-22
0.9351,0.9351,0.9351,-0.0109994712,2016-07-25
0.9179,0.9179,0.9179,-0.0183937547,2016-07-29
0.9094,0.9094,0.9094,-0.009260268,2016-08-05
0.9074,0.9074,0.9074,-0.0021992523,2016-08-12
1.0033,1.0033,1.0033,0.105686577,2016-08-19
1.0324,1.0324,1.0324,0.0290042859,2016-08-26
1.0849,1.0849,1.0849,0.0508523828,2016-08-31
1.107,1.107,1.107,0.0203705411,2016-09-02
1.1885,1.1885,1.1885,0.0736224029,2016-09-09
1.1673,1.1673,1.1673,-0.0178376104,2016-09-14
1.1614,1.1614,1.1614,-0.005054399,2016-09-19
1.1607,1.1607,1.1607,-0.0006027209,2016-09-23
1.0703,1.0703,1.0703,-0.0778840355,2016-09-30
